DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,15,352024,0,0,352024
KNR00-028-AE PWD SUB DIV  KALPA,Total, ,15,352024,0,0,352024
 ,31-3054-04-796-03-S00N-V-N-02-WAGES,Total,15,352024,0,0,352024
 , ,"[TRVch# 10 Dt:06/07/2017] , Billno-KNR000282017000004",1,17731,0,0,17731
 , ,"[TRVch# 13 Dt:06/01/2018] , Billno-KNR000282017000010",1,6615,0,0,6615
 , ,"[TRVch# 15 Dt:07/08/2018] , Billno-KNR000282018000002",1,6675,0,0,6675
 , ,"[TRVch# 20 Dt:11/07/2018] , Billno-KNR000282018000001",1,24363,0,0,24363
 , ,"[TRVch# 21 Dt:15/02/2018] , Billno-KNR000282017000011",1,9135,0,0,9135
 , ,"[TRVch# 24 Dt:14/12/2017] , Billno-KNR000282017000009",1,9938,0,0,9938
 , ,"[TRVch# 29 Dt:08/08/2017] , Billno-KNR000282017000005",1,16536,0,0,16536
 , ,"[TRVch# 29 Dt:16/10/2017] , Billno-KNR000282017000007",1,13088,0,0,13088
 , ,"[TRVch# 34 Dt:15/06/2017] , Billno-KNR000282017000001",1,75155,0,0,75155
 , ,"[TRVch# 35 Dt:15/06/2017] , Billno-KNR000282017000002",1,54666,0,0,54666
 , ,"[TRVch# 36 Dt:15/06/2017] , Billno-KNR000282017000003",1,69234,0,0,69234
 , ,"[TRVch# 52 Dt:31/03/2018] , Billno-KNR000282017000013",1,9765,0,0,9765
 , ,"[TRVch# 9 Dt:05/09/2017] , Billno-KNR000282017000006",1,12789,0,0,12789
 , ,"[TRVch# 9 Dt:06/03/2018] , Billno-KNR000282017000012",1,8820,0,0,8820
 , ,"[TRVch# 9 Dt:07/11/2017] , Billno-KNR000282017000008",1,17514,0,0,17514
