,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,898453,223437,39794,635222
1,KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,Total, ,6,898453,223437,39794,635222
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,50000,0,0,50000
3, , ,"[TRVch# 33 Dt:10/04/2017] , Billno-KNR005282017100001",1,50000,0,0,50000
4, ,31-2070-00-796-01-S00N-V-N-01-SALARIES,Total,3,436463,61437,17579,357447
5, , ,"[TRVch# 1 Dt:03/04/2017] , Billno-KNR00528032017-001",1,250118,61437,3352,185329
6, , ,"[TRVch# 2 Dt:03/04/2017] , Billno-KNR00528032017-002",1,150666,0,10971,139695
7, , ,"[TRVch# 3 Dt:03/04/2017] , Billno-KNR00528032017-003",1,35679,0,3256,32423
8, ,31-2070-00-796-03-S75N-V-N-01-SALARIES,Total,2,411990,162000,22215,227775
9, , ,"[TRVch# 4 Dt:03/04/2017] , Billno-KNR00528032017-004",1,347743,162000,14675,171068
10, , ,"[TRVch# 5 Dt:03/04/2017] , Billno-KNR00528032017-005",1,64247,0,7540,56707
0,Grand Total, , ,38,5356717,377570,43838,4935309
1,KNR00-528-CO. HOME GAURD 1ST BN. RECKONG PEO,Total, ,38,5356717,377570,43838,4935309
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,800000,0,0,800000
3, , ,"[TRVch# 15 Dt:05/05/2017] , Billno-KNR005282017100010",1,200000,0,0,200000
4, , ,"[TRVch# 16 Dt:05/05/2017] , Billno-KNR005282017100011",1,200000,0,0,200000
5, , ,"[TRVch# 17 Dt:05/05/2017] , Billno-KNR005282017100012",1,400000,0,0,400000
6, ,19-2235-60-800-21-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,15192,0,0,15192
7, , ,"[TRVch# 41 Dt:29/05/2017] , Billno-KNR005282017100037",1,15192,0,0,15192
8, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,847193,103100,0,744093
9, , ,"[TRVch# 7 Dt:03/05/2017] , Billno-KNR005282017100014",1,847193,103100,0,744093
10, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,456628,0,0,456628
11, , ,"[TRVch# 6 Dt:03/05/2017] , Billno-KNR005282017100013",1,456628,0,0,456628
12, ,31-2070-00-796-01-S00N-V-N-01-SALARIES,Total,11,503751,75712,21324,406715
13, , ,"[TRVch# 1 Dt:01/05/2017] , Billno-KNR00528042017-001",1,197115,60000,3322,133793
14, , ,"[TRVch# 10 Dt:05/05/2017] , Billno-KNR005282017100003",1,21986,0,1976,20010
15, , ,"[TRVch# 12 Dt:09/05/2017] , Billno-KNR005282017100026",1,5100,0,0,5100
16, , ,"[TRVch# 15 Dt:09/05/2017] , Billno-KNR005282017100022",1,7500,0,0,7500
17, , ,"[TRVch# 18 Dt:09/05/2017] , Billno-KNR005282017100007",1,10628,0,1053,9575
