,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,298872,65000,7679,226193
1,KNR01-002-B.D.O POOH,Total, ,3,298872,65000,7679,226193
2, ,31-2515-00-796-02-S00N-V-N-01-SALARIES,Total,3,298872,65000,7679,226193
3, , ,"[TRVch# 6 Dt:10/04/2017] , Billno-KNR01002032017-001",1,52023,0,5673,46350
4, , ,"[TRVch# 7 Dt:10/04/2017] , Billno-KNR01002032017-002",1,133434,55000,1079,77355
5, , ,"[TRVch# 8 Dt:10/04/2017] , Billno-KNR01002032017-003",1,113415,10000,927,102488
0,Grand Total, , ,12,367705,82645,11569,273491
1,KNR01-002-B.D.O POOH,Total, ,12,367705,82645,11569,273491
2, ,31-2515-00-796-02-S00N-V-N-01-SALARIES,Total,9,347180,82645,11569,252966
3, , ,"[TRVch# 10 Dt:08/05/2017] , Billno-KNR01002042017-002",1,135122,55000,3279,76843
4, , ,"[TRVch# 11 Dt:08/05/2017] , Billno-KNR01002042017-003",1,116016,10000,957,105059
5, , ,"[TRVch# 32 Dt:31/05/2017] , Billno-KNR010022017100001",1,5958,0,594,5364
6, , ,"[TRVch# 33 Dt:31/05/2017] , Billno-KNR010022017100002",1,15364,14908,0,456
7, , ,"[TRVch# 34 Dt:31/05/2017] , Billno-KNR010022017100003",1,10035,2737,0,7298
8, , ,"[TRVch# 35 Dt:31/05/2017] , Billno-KNR010022017100004",1,1500,0,0,1500
9, , ,"[TRVch# 36 Dt:31/05/2017] , Billno-KNR010022017100005",1,4500,0,0,4500
10, , ,"[TRVch# 37 Dt:31/05/2017] , Billno-KNR010022017100006",1,6000,0,0,6000
11, , ,"[TRVch# 9 Dt:08/05/2017] , Billno-KNR01002042017-001",1,52685,0,6739,45946
12, ,31-2515-00-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2314,0,0,2314
13, , ,"[TRVch# 38 Dt:31/05/2017] , Billno-KNR010022017100007",1,2314,0,0,2314
14, ,31-2515-00-796-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,6141,0,0,6141
15, , ,"[TRVch# 40 Dt:31/05/2017] , Billno-KNR010022017100009",1,6141,0,0,6141
16, ,"31-2515-00-796-02-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR",Total,1,12070,0,0,12070
17, , ,"[TRVch# 39 Dt:31/05/2017] , Billno-KNR010022017100008",1,12070,0,0,12070
