,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,650914,186000,15283,449631
1,KNR02-203-GSSS KILBA,Total, ,7,650914,186000,15283,449631
2, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,16547,0,0,16547
3, , ,"[TRVch# 110 Dt:10/04/2017] , Billno-KNR02203032017-007",1,16547,0,0,16547
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,264423,105000,2208,157215
5, , ,"[TRVch# 111 Dt:10/04/2017] , Billno-KNR02203032017-006",1,223075,105000,2208,115867
6, , ,"[TRVch# 112 Dt:10/04/2017] , Billno-KNR02203032017-005",1,41348,0,0,41348
7, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,318427,81000,11536,225891
8, , ,"[TRVch# 113 Dt:10/04/2017] , Billno-KNR02203032017-001",1,75953,25000,60,50893
9, , ,"[TRVch# 114 Dt:10/04/2017] , Billno-KNR02203032017-004",1,154216,56000,3483,94733
10, , ,"[TRVch# 115 Dt:10/04/2017] , Billno-KNR02203032017-003",1,88258,0,7993,80265
11, ,31-2202-02-796-10-S00N-V-P-01-SALARIES,Total,1,51517,0,1539,49978
12, , ,"[TRVch# 116 Dt:10/04/2017] , Billno-KNR02203032017-002",1,51517,0,1539,49978
0,Grand Total, , ,11,1070780,237597,32174,801009
1,KNR02-203-GSSS KILBA,Total, ,11,1070780,237597,32174,801009
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 156 Dt:31/05/2017] , Billno-KNR022032017100009",1,300000,0,0,300000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,17447,0,0,17447
5, , ,"[TRVch# 144 Dt:08/05/2017] , Billno-KNR02203042017-001",1,17447,0,0,17447
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,5,338971,131597,8238,199136
7, , ,"[TRVch# 145 Dt:08/05/2017] , Billno-KNR02203042017-002",1,228967,110000,8208,110759
8, , ,"[TRVch# 146 Dt:08/05/2017] , Billno-KNR02203042017-003",1,78294,0,30,78264
9, , ,"[TRVch# 369 Dt:31/05/2017] , Billno-KNR022032017100001",1,23979,21597,0,2382
10, , ,"[TRVch# 370 Dt:31/05/2017] , Billno-KNR022032017100008",1,834,0,0,834
11, , ,"[TRVch# 371 Dt:31/05/2017] , Billno-KNR022032017100007",1,6897,0,0,6897
12, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,4,414362,106000,23936,284426
13, , ,"[TRVch# 147 Dt:08/05/2017] , Billno-KNR02203042017-004",1,76756,30000,7060,39696
