,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,9,1812443,188000,41729,1582714
1,KNR03-200-GSSS MOORANG,Total, ,9,1812443,188000,41729,1582714
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,1125000,0,0,1125000
3, , ,"[TRVch# 125 Dt:29/04/2017] , Billno-KNR032002017100007",1,375000,0,0,375000
4, , ,"[TRVch# 37 Dt:10/04/2017] , Billno-KNR032002017100001",1,750000,0,0,750000
5, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,233039,55000,17958,160081
6, , ,"[TRVch# 144 Dt:10/04/2017] , Billno-KNR03200032017-006",1,101568,55000,8178,38390
7, , ,"[TRVch# 146 Dt:10/04/2017] , Billno-KNR03200032017-005",1,131471,0,9780,121691
8, ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1544,0,0,1544
9, , ,"[TRVch# 283 Dt:29/04/2017] , Billno-KNR032002017100008",1,1544,0,0,1544
10, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,419470,133000,23437,263033
11, , ,"[TRVch# 141 Dt:10/04/2017] , Billno-KNR03200032017-002",1,116602,0,11061,105541
12, , ,"[TRVch# 142 Dt:10/04/2017] , Billno-KNR03200032017-003",1,246232,118000,12210,116022
13, , ,"[TRVch# 143 Dt:10/04/2017] , Billno-KNR03200032017-004",1,56636,15000,166,41470
14, ,31-2202-02-796-10-S00N-V-P-01-SALARIES,Total,1,33390,0,334,33056
15, , ,"[TRVch# 140 Dt:10/04/2017] , Billno-KNR03200032017-001",1,33390,0,334,33056
0,Grand Total, , ,10,939592,199394,43136,697062
1,KNR03-200-GSSS MOORANG,Total, ,10,939592,199394,43136,697062
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 159 Dt:31/05/2017] , Billno-KNR032002017100010",1,200000,0,0,200000
4, ,31-2202-01-796-10-S00N-V-P-01-SALARIES,Total,1,35240,0,334,34906
5, , ,"[TRVch# 185 Dt:08/05/2017] , Billno-KNR03200042017-006",1,35240,0,334,34906
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,5,262660,66394,19086,177180
7, , ,"[TRVch# 183 Dt:08/05/2017] , Billno-KNR03200042017-004",1,134010,0,9900,124110
8, , ,"[TRVch# 184 Dt:08/05/2017] , Billno-KNR03200042017-005",1,104041,55000,8178,40863
9, , ,"[TRVch# 385 Dt:31/05/2017] , Billno-KNR032002017100002",1,11394,11394,0,0
10, , ,"[TRVch# 386 Dt:31/05/2017] , Billno-KNR032002017100004",1,10049,0,1008,9041
