DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,32,6256100,0,0,6256100
KNR04-007-S P M NICHAR,Total, ,32,6256100,0,0,6256100
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,32,6256100,0,0,6256100
 , ,"[TRVch# 10 Dt:21/09/2017] , Billno-KNR040071798658001",1,300000,0,0,300000
 , ,"[TRVch# 10 Dt:27/04/2018] , Billno-KNR040071848658001",1,200000,0,0,200000
 , ,"[TRVch# 10 Dt:31/10/2017] , Billno-KNR040071708658001",1,300000,0,0,300000
 , ,"[TRVch# 11 Dt:21/08/2018] , Billno-KNR040071888658001",1,200000,0,0,200000
 , ,"[TRVch# 11 Dt:21/09/2017] , Billno-KNR040071798658002",1,50000,0,0,50000
 , ,"[TRVch# 11 Dt:31/08/2017] , Billno-KNR040071788658002",1,100000,0,0,100000
 , ,"[TRVch# 11 Dt:31/10/2017] , Billno-KNR040071708658002",1,200000,0,0,200000
 , ,"[TRVch# 12 Dt:31/08/2017] , Billno-KNR040071788658003",1,100000,0,0,100000
 , ,"[TRVch# 13 Dt:21/05/2018] , Billno-KNR040071858658001",1,500000,0,0,500000
 , ,"[TRVch# 15 Dt:29/09/2017] , Billno-KNR040071798658003",1,100000,0,0,100000
 , ,"[TRVch# 16 Dt:29/09/2017] , Billno-KNR040071798658004",1,100000,0,0,100000
 , ,"[TRVch# 17 Dt:30/06/2018] , Billno-KNR040071868658001",1,100000,0,0,100000
 , ,"[TRVch# 17 Dt:31/05/2017] , Billno-KNR040071758658001",1,100000,0,0,100000
 , ,"[TRVch# 18 Dt:29/05/2018] , Billno-KNR040071858658002",1,300000,0,0,300000
 , ,"[TRVch# 18 Dt:30/06/2018] , Billno-KNR040071868658002",1,150000,0,0,150000
 , ,"[TRVch# 18 Dt:31/05/2017] , Billno-KNR040071758658002",1,50000,0,0,50000
 , ,"[TRVch# 19 Dt:31/05/2017] , Billno-KNR040071758658003",1,200000,0,0,200000
 , ,"[TRVch# 19 Dt:31/08/2018] , Billno-KNR040071888658003",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:21/12/2017] , Billno-KNR0400717B8658001",1,150000,0,0,150000
 , ,"[TRVch# 20 Dt:31/05/2017] , Billno-KNR040071758658004",1,450000,0,0,450000
 , ,"[TRVch# 20 Dt:31/08/2018] , Billno-KNR040071888658004",1,300000,0,0,300000
 , ,"[TRVch# 21 Dt:31/08/2018] , Billno-KNR040071888658005",1,100000,0,0,100000
 , ,"[TRVch# 3 Dt:07/08/2017] , Billno-KNR040071788658001",1,200000,0,0,200000
 , ,"[TRVch# 3 Dt:30/01/2018] , Billno-KNR040071718658001",1,150000,0,0,150000
 , ,"[TRVch# 4 Dt:08/06/2017] , Billno-KNR040071768658001",1,70000,0,0,70000
 , ,"[TRVch# 4 Dt:21/07/2017] , Billno-KNR040071778658001",1,50000,0,0,50000
 , ,"[TRVch# 4 Dt:22/03/2018] , Billno-KNR040071738658001",1,150000,0,0,150000
 , ,"[TRVch# 5 Dt:28/02/2018] , Billno-KNR040071728658001",1,300000,0,0,300000
 , ,"[TRVch# 6 Dt:23/07/2018] , Billno-KNR040071878658001",1,100000,0,0,100000
 , ,"[TRVch# 7 Dt:29/04/2017] , Billno-KNR040071748658001",1,136100,0,0,136100
 , ,"[TRVch# 7 Dt:31/07/2017] , Billno-KNR040071778658002",1,150000,0,0,150000
 , ,"[TRVch# 8 Dt:21/06/2017] , Billno-KNR040071768658002",1,700000,0,0,700000
