,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,22,12562968,1818000,461462,10283506
1,KNR04-206-BEEO NICHAR,Total, ,22,12562968,1818000,461462,10283506
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,15,5375000,0,0,5375000
3, , ,"[TRVch# 132 Dt:29/04/2017] , Billno-KNR042062017100001",1,1930000,0,0,1930000
4, , ,"[TRVch# 133 Dt:29/04/2017] , Billno-KNR042062017100002",1,300000,0,0,300000
5, , ,"[TRVch# 134 Dt:29/04/2017] , Billno-KNR042062017100003",1,300000,0,0,300000
6, , ,"[TRVch# 135 Dt:29/04/2017] , Billno-KNR042062017100004",1,215000,0,0,215000
7, , ,"[TRVch# 136 Dt:29/04/2017] , Billno-KNR042062017100005",1,500000,0,0,500000
8, , ,"[TRVch# 137 Dt:29/04/2017] , Billno-KNR042062017100006",1,250000,0,0,250000
9, , ,"[TRVch# 138 Dt:29/04/2017] , Billno-KNR042062017100007",1,200000,0,0,200000
10, , ,"[TRVch# 139 Dt:29/04/2017] , Billno-KNR042062017100008",1,500000,0,0,500000
11, , ,"[TRVch# 144 Dt:29/04/2017] , Billno-KNR042062017100016",1,70000,0,0,70000
12, , ,"[TRVch# 145 Dt:29/04/2017] , Billno-KNR042062017100009",1,150000,0,0,150000
13, , ,"[TRVch# 146 Dt:29/04/2017] , Billno-KNR042062017100010",1,360000,0,0,360000
14, , ,"[TRVch# 147 Dt:29/04/2017] , Billno-KNR042062017100011",1,200000,0,0,200000
15, , ,"[TRVch# 148 Dt:29/04/2017] , Billno-KNR042062017100012",1,70000,0,0,70000
16, , ,"[TRVch# 149 Dt:29/04/2017] , Billno-KNR042062017100015",1,300000,0,0,300000
17, , ,"[TRVch# 154 Dt:29/04/2017] , Billno-KNR042062017100017",1,30000,0,0,30000
18, ,31-2202-01-796-02-S00NM-V-N-01-SALARIES,Total,2,303913,50000,11264,242649
19, , ,"[TRVch# 231 Dt:10/04/2017] , Billno-KNR04206032017-001",1,121945,50000,2090,69855
20, , ,"[TRVch# 232 Dt:10/04/2017] , Billno-KNR04206032017-002",1,181968,0,9174,172794
21, ,31-2202-01-796-03-S00NM-V-N-01-SALARIES,Total,5,6884055,1768000,450198,4665857
22, , ,"[TRVch# 233 Dt:10/04/2017] , Billno-KNR04206032017-003",1,4849807,1728000,168764,2953043
23, , ,"[TRVch# 234 Dt:10/04/2017] , Billno-KNR04206032017-004",1,1702791,20000,277052,1405739
24, , ,"[TRVch# 235 Dt:10/04/2017] , Billno-KNR04206032017-005",1,52495,20000,4292,28203
25, , ,"[TRVch# 287 Dt:29/04/2017] , Billno-KNR042062017000001",1,91962,0,90,91872
26, , ,"[TRVch# 288 Dt:29/04/2017] , Billno-KNR042062017000002",1,187000,0,0,187000
0,Grand Total, , ,24,11239920,2592279,505563,8142078
1,KNR04-206-BEEO NICHAR,Total, ,24,11239920,2592279,505563,8142078
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,10,3028000,0,0,3028000
3, , ,"[TRVch# 164 Dt:31/05/2017] , Billno-KNR042062017100035",1,400000,0,0,400000
4, , ,"[TRVch# 165 Dt:31/05/2017] , Billno-KNR042062017100034",1,600000,0,0,600000
5, , ,"[TRVch# 166 Dt:31/05/2017] , Billno-KNR042062017100036",1,78000,0,0,78000
