DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,13,276516,0,0,276516
KZA00-014-AE PWD MECH SUB DIV KAZA,Total, ,13,276516,0,0,276516
 ,31-3054-04-796-03-S00N-V-N-02-WAGES,Total,13,276516,0,0,276516
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-KZA000142017000005",1,17325,0,0,17325
 , ,"[TRVch# 104 Dt:31/03/2018] , Billno-KZA000142017000009",1,17903,0,0,17903
 , ,"[TRVch# 12 Dt:06/02/2018] , Billno-KZA000142017000007",1,17903,0,0,17903
 , ,"[TRVch# 13 Dt:28/05/2018] , Billno-KZA000142018000001",1,18451,0,0,18451
 , ,"[TRVch# 15 Dt:21/06/2017] , Billno-KZA000142017000001",1,65771,0,0,65771
 , ,"[TRVch# 16 Dt:13/12/2017] , Billno-KZA000142017000004",1,17903,0,0,17903
 , ,"[TRVch# 17 Dt:17/10/2017] , Billno-KZA000142017000003",1,13282,0,0,13282
 , ,"[TRVch# 21 Dt:21/08/2018] , Billno-KZA000142018000005",1,19065,0,0,19065
 , ,"[TRVch# 22 Dt:25/08/2017] , Billno-KZA000142017000002",1,17325,0,0,17325
 , ,"[TRVch# 23 Dt:17/07/2018] , Billno-KZA000142018000004",1,18451,0,0,18451
 , ,"[TRVch# 24 Dt:04/01/2018] , Billno-KZA000142017000006",1,17902,0,0,17902
 , ,"[TRVch# 24 Dt:13/06/2018] , Billno-KZA000142018000002",1,19065,0,0,19065
 , ,"[TRVch# 27 Dt:12/03/2018] , Billno-KZA000142017000008",1,16170,0,0,16170
