DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,15,8377682,0,320,8377362
LHL00-013-AE PWD PROJECT SUB DIV KEYLONG,Total, ,15,8377682,0,320,8377362
 ,31-3054-04-796-03-S00N-V-N-02-WAGES,Total,8,3879202,0,0,3879202
 , ,"[TRVch# 10 Dt:29/06/2018] , Billno-LHL000132018000002",1,547398,0,0,547398
 , ,"[TRVch# 11 Dt:23/07/2018] , Billno-LHL000132018000003",1,718988,0,0,718988
 , ,"[TRVch# 11 Dt:28/05/2018] , Billno-LHL000132018000001",1,313845,0,0,313845
 , ,"[TRVch# 15 Dt:13/06/2017] , Billno-LHL000132017000001",1,610384,0,0,610384
 , ,"[TRVch# 16 Dt:17/06/2017] , Billno-LHL000132017000002",1,258975,0,0,258975
 , ,"[TRVch# 19 Dt:09/08/2017] , Billno-LHL000132017000004",1,732114,0,0,732114
 , ,"[TRVch# 19 Dt:13/09/2017] , Billno-LHL000132017000005",1,137296,0,0,137296
 , ,"[TRVch# 2 Dt:08/08/2017] , Billno-LHL000132017000003",1,560202,0,0,560202
 ,31-3054-04-796-04-S00N-V-N-02-WAGES,Total,7,4498480,0,320,4498160
 , ,"[TRVch# 1 Dt:01/11/2017] , Billno-LHL000132017000008",1,731230,0,0,731230
 , ,"[TRVch# 16 Dt:22/03/2018] , Billno-LHL000132017000011",1,1096285,0,0,1096285
 , ,"[TRVch# 20 Dt:13/09/2017] , Billno-LHL000132017000006",1,620845,0,0,620845
 , ,"[TRVch# 21 Dt:27/09/2017] , Billno-LHL000132017000007",1,712892,0,0,712892
 , ,"[TRVch# 24 Dt:12/12/2017] , Billno-LHL000132017000010",1,294532,0,320,294212
 , ,"[TRVch# 37 Dt:18/11/2017] , Billno-LHL000132017000009",1,679805,0,0,679805
 , ,"[TRVch# 48 Dt:31/03/2018] , Billno-LHL000132017000012",1,362891,0,0,362891
