,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,1255414,71000,2533,1181881
1,LHL00-213-PR GSSS DARCHA,Total, ,8,1255414,71000,2533,1181881
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,3,694644,65000,453,629191
3, , ,"[TRVch# 177 Dt:21/04/2017] , Billno-LHL002132017100003",1,462000,0,0,462000
4, , ,"[TRVch# 62 Dt:03/04/2017] , Billno-LHL00213032017-001",1,66586,15000,60,51526
5, , ,"[TRVch# 63 Dt:03/04/2017] , Billno-LHL00213032017-002",1,166058,50000,393,115665
6, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,5,560770,6000,2080,552690
7, , ,"[TRVch# 175 Dt:21/04/2017] , Billno-LHL002132017100001",1,120000,0,0,120000
8, , ,"[TRVch# 176 Dt:21/04/2017] , Billno-LHL002132017100002",1,126000,0,0,126000
9, , ,"[TRVch# 178 Dt:21/04/2017] , Billno-LHL002132017100004",1,264000,0,0,264000
10, , ,"[TRVch# 64 Dt:03/04/2017] , Billno-LHL00213032017-003",1,28160,6000,15,22145
11, , ,"[TRVch# 65 Dt:03/04/2017] , Billno-LHL00213032017-004",1,22610,0,2065,20545
0,Grand Total, , ,5,126090,79000,4954,42136
1,LHL00-213-PR GSSS DARCHA,Total, ,5,126090,79000,4954,42136
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,3,116003,73000,2847,40156
3, , ,"[TRVch# 55 Dt:01/05/2017] , Billno-LHL00213042017-001",1,25214,20000,2560,2654
4, , ,"[TRVch# 56 Dt:01/05/2017] , Billno-LHL00213042017-002",1,74189,53000,287,20902
5, , ,"[TRVch# 57 Dt:01/05/2017] , Billno-LHL00213042017-003",1,16600,0,0,16600
6, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,10087,6000,2107,1980
7, , ,"[TRVch# 58 Dt:01/05/2017] , Billno-LHL00213042017-004",1,7356,6000,15,1341
8, , ,"[TRVch# 59 Dt:01/05/2017] , Billno-LHL00213042017-005",1,2731,0,2092,639
0,Grand Total, , ,11,462414,110014,5301,347099
1,LHL00-213-PR GSSS DARCHA,Total, ,11,462414,110014,5301,347099
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
