DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,16,172440,0,80,172360
MDI00-075-AE PWD BRODGE CONS SUB DIV KAMAND,Total, ,16,172440,0,80,172360
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,16,172440,0,80,172360
 , ,"[TRVch# 124 Dt:06/12/2017] , Billno-MDI000752017000011",1,35230,0,0,35230
 , ,"[TRVch# 125 Dt:06/12/2017] , Billno-MDI000752017000010",1,6300,0,80,6220
 , ,"[TRVch# 125 Dt:07/11/2017] , Billno-MDI000752017000009",1,6510,0,0,6510
 , ,"[TRVch# 196 Dt:09/02/2018] , Billno-MDI000752017000013",1,6510,0,0,6510
 , ,"[TRVch# 214 Dt:12/10/2017] , Billno-MDI000752017000006",1,6300,0,0,6300
 , ,"[TRVch# 227 Dt:11/08/2017] , Billno-MDI000752017000004",1,6510,0,0,6510
 , ,"[TRVch# 242 Dt:14/03/2018] , Billno-MDI000752017000014",1,32130,0,0,32130
 , ,"[TRVch# 243 Dt:14/03/2018] , Billno-MDI000752017000015",1,5880,0,0,5880
 , ,"[TRVch# 254 Dt:15/09/2017] , Billno-MDI000752017000005",1,6510,0,0,6510
 , ,"[TRVch# 258 Dt:20/06/2017] , Billno-MDI000752017000002",1,8610,0,0,8610
 , ,"[TRVch# 262 Dt:23/08/2018] , Billno-MDI000752018000003",1,6975,0,0,6975
 , ,"[TRVch# 263 Dt:12/07/2018] , Billno-MDI000752018000002",1,6750,0,0,6750
 , ,"[TRVch# 286 Dt:11/01/2018] , Billno-MDI000752017000012",1,6510,0,0,6510
 , ,"[TRVch# 291 Dt:22/05/2017] , Billno-MDI000752017000001",1,5600,0,0,5600
 , ,"[TRVch# 344 Dt:17/07/2017] , Billno-MDI000752017000003",1,5880,0,0,5880
 , ,"[TRVch# 83 Dt:04/07/2018] , Billno-MDI000752018000001",1,20235,0,0,20235
