DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,107,17930934,4459547,1065029,12406358
MDI00-222-PR GSSS GURKOTHA,Total, ,107,17930934,4459547,1065029,12406358
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,9,1425000,0,0,1425000
 , ,"[TRVch# 160 Dt:13/09/2017] , Billno-MDI002222017100102",1,350000,0,0,350000
 , ,"[TRVch# 161 Dt:13/04/2017] , Billno-MDI002222017100001",1,110000,0,0,110000
 , ,"[TRVch# 231 Dt:18/08/2017] , Billno-MDI002222017100072",1,100000,0,0,100000
 , ,"[TRVch# 251 Dt:15/07/2017] , Billno-MDI002222017100065",1,150000,0,0,150000
 , ,"[TRVch# 252 Dt:15/07/2017] , Billno-MDI002222017100064",1,100000,0,0,100000
 , ,"[TRVch# 4 Dt:01/07/2017] , Billno-MDI002222017100052",1,300000,0,0,300000
 , ,"[TRVch# 5 Dt:01/07/2017] , Billno-MDI002222017100051",1,100000,0,0,100000
 , ,"[TRVch# 62 Dt:08/09/2017] , Billno-MDI002222017100100",1,115000,0,0,115000
 , ,"[TRVch# 670 Dt:24/07/2017] , Billno-MDI002222017100066",1,100000,0,0,100000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,18,6381038,1831311,446371,4103356
 , ,"[TRVch# 132 Dt:03/04/2017] , Billno-MDI00222032017-001",1,704234,241000,27231,436003
 , ,"[TRVch# 133 Dt:03/04/2017] , Billno-MDI00222032017-002",1,200698,0,17648,183050
 , ,"[TRVch# 134 Dt:01/07/2017] , Billno-MDI00222062017-001",1,718697,254000,46146,418551
 , ,"[TRVch# 135 Dt:01/07/2017] , Billno-MDI00222062017-002",1,237132,0,25106,212026
 , ,"[TRVch# 137 Dt:01/06/2017] , Billno-MDI00222052017-001",1,718637,254000,46146,418491
 , ,"[TRVch# 138 Dt:01/06/2017] , Billno-MDI00222052017-002",1,223872,0,29251,194621
 , ,"[TRVch# 139 Dt:01/05/2017] , Billno-MDI00222042017-001",1,716428,254000,46146,416282
 , ,"[TRVch# 140 Dt:01/05/2017] , Billno-MDI00222042017-002",1,223872,0,29251,194621
 , ,"[TRVch# 153 Dt:01/08/2017] , Billno-MDI00222072017-001",1,668698,254000,39554,375144
 , ,"[TRVch# 154 Dt:01/08/2017] , Billno-MDI00222072017-002",1,164352,0,16440,147912
 , ,"[TRVch# 1840 Dt:19/04/2017] , Billno-MDI002222017100002",1,19955,0,1871,18084
 , ,"[TRVch# 2493 Dt:12/05/2017] , Billno-MDI002222017100005",1,22431,0,2640,19791
 , ,"[TRVch# 2496 Dt:12/05/2017] , Billno-MDI002222017100008",1,19455,0,1957,17498
 , ,"[TRVch# 2497 Dt:12/05/2017] , Billno-MDI002222017100009",1,56199,53311,2888,0
 , ,"[TRVch# 63 Dt:01/09/2017] , Billno-MDI00222082017-001",1,682312,254000,39554,388758
 , ,"[TRVch# 64 Dt:01/09/2017] , Billno-MDI00222082017-002",1,167233,0,16440,150793
 , ,"[TRVch# 95 Dt:03/10/2017] , Billno-MDI00222092017-001",1,711737,267000,39546,405191
 , ,"[TRVch# 96 Dt:03/10/2017] , Billno-MDI00222092017-002",1,125096,0,18556,106540
 ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,2,1300,0,0,1300
 , ,"[TRVch# 2133 Dt:21/08/2017] , Billno-MDI002222017100077",1,1185,0,0,1185
 , ,"[TRVch# 2134 Dt:21/08/2017] , Billno-MDI002222017100076",1,115,0,0,115
 ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,3,4451,0,0,4451
 , ,"[TRVch# 3094 Dt:29/09/2017] , Billno-MDI002222017100085",1,820,0,0,820
 , ,"[TRVch# 3096 Dt:29/09/2017] , Billno-MDI002222017100084",1,559,0,0,559
 , ,"[TRVch# 3133 Dt:27/06/2017] , Billno-MDI002222017100050",1,3072,0,0,3072
 ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,35,10006465,2628236,618658,6759571
 , ,"[TRVch# 129 Dt:01/07/2017] , Billno-MDI00222062017-006",1,39493,0,3867,35626
 , ,"[TRVch# 134 Dt:03/04/2017] , Billno-MDI00222032017-003",1,154882,49000,180,105702
 , ,"[TRVch# 135 Dt:03/04/2017] , Billno-MDI00222032017-004",1,805044,262500,11222,531322
 , ,"[TRVch# 136 Dt:01/07/2017] , Billno-MDI00222062017-003",1,161513,39000,13180,109333
 , ,"[TRVch# 136 Dt:03/04/2017] , Billno-MDI00222032017-005",1,402530,56000,27263,319267
 , ,"[TRVch# 137 Dt:01/07/2017] , Billno-MDI00222062017-004",1,774943,255500,34727,484716
 , ,"[TRVch# 138 Dt:01/07/2017] , Billno-MDI00222062017-005",1,437755,30000,45028,362727
 , ,"[TRVch# 139 Dt:01/06/2017] , Billno-MDI00222052017-003",1,161513,39000,13180,109333
 , ,"[TRVch# 140 Dt:01/06/2017] , Billno-MDI00222052017-004",1,695435,225500,29063,440872
 , ,"[TRVch# 141 Dt:01/05/2017] , Billno-MDI00222042017-003",1,159304,49000,10180,100124
 , ,"[TRVch# 141 Dt:01/06/2017] , Billno-MDI00222052017-005",1,496705,56000,49768,390937
 , ,"[TRVch# 142 Dt:01/05/2017] , Billno-MDI00222042017-004",1,769997,255500,34123,480374
 , ,"[TRVch# 142 Dt:01/06/2017] , Billno-MDI00222052017-006",1,39493,0,3867,35626
 , ,"[TRVch# 143 Dt:01/05/2017] , Billno-MDI00222042017-005",1,443292,56000,43765,343527
 , ,"[TRVch# 144 Dt:01/05/2017] , Billno-MDI00222042017-006",1,39493,0,3867,35626
 , ,"[TRVch# 155 Dt:01/08/2017] , Billno-MDI00222072017-003",1,157189,57000,12180,88009
 , ,"[TRVch# 156 Dt:01/08/2017] , Billno-MDI00222072017-004",1,706877,260500,30643,415734
 , ,"[TRVch# 157 Dt:01/08/2017] , Billno-MDI00222072017-005",1,403835,30000,41270,332565
