,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,450192,115000,10859,324333
1,MDI00-250-GSSS NISHU,Total, ,5,450192,115000,10859,324333
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,88930,0,8553,80377
3, , ,"[TRVch# 269 Dt:03/04/2017] , Billno-MDI00250032017-001",1,37297,0,2006,35291
4, , ,"[TRVch# 270 Dt:03/04/2017] , Billno-MDI00250032017-002",1,51633,0,6547,45086
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,361262,115000,2306,243956
6, , ,"[TRVch# 271 Dt:03/04/2017] , Billno-MDI00250032017-003",1,83646,30000,120,53526
7, , ,"[TRVch# 272 Dt:03/04/2017] , Billno-MDI00250032017-004",1,256229,85000,180,171049
8, , ,"[TRVch# 273 Dt:03/04/2017] , Billno-MDI00250032017-005",1,21387,0,2006,19381
0,Grand Total, , ,10,481384,135000,30955,315429
1,MDI00-250-GSSS NISHU,Total, ,10,481384,135000,30955,315429
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,91339,0,8623,82716
3, , ,"[TRVch# 278 Dt:01/05/2017] , Billno-MDI00250042017-001",1,38360,0,2032,36328
4, , ,"[TRVch# 279 Dt:01/05/2017] , Billno-MDI00250042017-002",1,52979,0,6591,46388
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,351557,135000,22332,194225
6, , ,"[TRVch# 280 Dt:01/05/2017] , Billno-MDI00250042017-003",1,84713,35000,8120,41593
7, , ,"[TRVch# 281 Dt:01/05/2017] , Billno-MDI00250042017-004",1,245194,100000,12180,133014
8, , ,"[TRVch# 282 Dt:01/05/2017] , Billno-MDI00250042017-005",1,21650,0,2032,19618
9, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,4,16581,0,0,16581
10, , ,"[TRVch# 2626 Dt:17/05/2017] , Billno-MDI002502017100005",1,2628,0,0,2628
11, , ,"[TRVch# 2627 Dt:17/05/2017] , Billno-MDI002502017100004",1,10376,0,0,10376
12, , ,"[TRVch# 2628 Dt:17/05/2017] , Billno-MDI002502017100003",1,1386,0,0,1386
