,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,406067,97000,16773,292294
1,MDI00-262-GSSS BAKHLI,Total, ,4,406067,97000,16773,292294
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,30605,0,1259,29346
3, , ,"[TRVch# 324 Dt:03/04/2017] , Billno-MDI00262032017-001",1,30605,0,1259,29346
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,375462,97000,15514,262948
5, , ,"[TRVch# 325 Dt:03/04/2017] , Billno-MDI00262032017-002",1,85061,30000,120,54941
6, , ,"[TRVch# 326 Dt:03/04/2017] , Billno-MDI00262032017-003",1,233739,67000,4609,162130
7, , ,"[TRVch# 327 Dt:03/04/2017] , Billno-MDI00262032017-004",1,56662,0,10785,45877
0,Grand Total, , ,4,433836,97000,34981,301855
1,MDI00-262-GSSS BAKHLI,Total, ,4,433836,97000,34981,301855
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,47765,0,1274,46491
3, , ,"[TRVch# 335 Dt:01/05/2017] , Billno-MDI00262042017-001",1,47765,0,1274,46491
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,386071,97000,33707,255364
5, , ,"[TRVch# 336 Dt:01/05/2017] , Billno-MDI00262042017-002",1,88708,30000,10120,48588
6, , ,"[TRVch# 337 Dt:01/05/2017] , Billno-MDI00262042017-003",1,238902,67000,12609,159293
7, , ,"[TRVch# 338 Dt:01/05/2017] , Billno-MDI00262042017-004",1,58461,0,10978,47483
0,Grand Total, , ,14,845825,152357,38164,655304
1,MDI00-262-GSSS BAKHLI,Total, ,14,845825,152357,38164,655304
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 204 Dt:19/06/2017] , Billno-MDI002622017100011",1,300000,0,0,300000
