,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,10,3535144,305512,81151,3148481
1,MDI01-229-PR G.ENG.COLLEGE SUNDERNAGAR MANDI,Total, ,10,3535144,305512,81151,3148481
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,788800,0,0,788800
3, , ,"[TRVch# 1222 Dt:29/04/2017] , Billno-MDI012292017100002",1,538800,0,0,538800
4, , ,"[TRVch# 851 Dt:27/04/2017] , Billno-MDI012292017100001",1,250000,0,0,250000
5, ,27-2203-00-112-01-S00N-V-N-01-SALARIES,Total,6,2187903,305512,73676,1808715
6, , ,"[TRVch# 1 Dt:07/04/2017] , Billno-MDI01229032017-001",1,1330563,204001,12156,1114406
7, , ,"[TRVch# 2 Dt:07/04/2017] , Billno-MDI01229032017-002",1,64749,0,7295,57454
8, , ,"[TRVch# 3 Dt:07/04/2017] , Billno-MDI01229032017-003",1,630997,101511,41869,487617
9, , ,"[TRVch# 4 Dt:07/04/2017] , Billno-MDI01229032017-004",1,15610,0,0,15610
10, , ,"[TRVch# 5 Dt:07/04/2017] , Billno-MDI01229032017-005",1,119002,0,12356,106646
11, , ,"[TRVch# 6 Dt:07/04/2017] , Billno-MDI01229032017-006",1,26982,0,0,26982
12, ,27-2203-00-112-01-S00N-V-P-01-SALARIES,Total,2,558441,0,7475,550966
13, , ,"[TRVch# 7 Dt:07/04/2017] , Billno-MDI01229032017-007",1,541212,0,5837,535375
14, , ,"[TRVch# 8 Dt:07/04/2017] , Billno-MDI01229032017-008",1,17229,0,1638,15591
0,Grand Total, , ,31,4061670,387178,201353,3473139
1,MDI01-229-PR G.ENG.COLLEGE SUNDERNAGAR MANDI,Total, ,31,4061670,387178,201353,3473139
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,500000,0,0,500000
3, , ,"[TRVch# 1057 Dt:31/05/2017] , Billno-MDI012292017100029",1,200000,0,0,200000
4, , ,"[TRVch# 1058 Dt:31/05/2017] , Billno-MDI012292017100028",1,300000,0,0,300000
