,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,182842,25000,9573,148269
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,3,182842,25000,9573,148269
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,67570,0,7332,60238
3, , ,"[TRVch# 508 Dt:07/04/2017] , Billno-MDI02260032017-001",1,67570,0,7332,60238
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,115272,25000,2241,88031
5, , ,"[TRVch# 509 Dt:07/04/2017] , Billno-MDI02260032017-002",1,75445,25000,60,50385
6, , ,"[TRVch# 510 Dt:07/04/2017] , Billno-MDI02260032017-003",1,39827,0,2181,37646
0,Grand Total, , ,6,204361,33568,16623,154170
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,6,204361,33568,16623,154170
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,75843,0,8098,67745
3, , ,"[TRVch# 773 Dt:08/05/2017] , Billno-MDI02260042017-001",1,70052,0,7515,62537
4, , ,"[TRVch# 813 Dt:08/05/2017] , Billno-MDI022602017100001",1,5791,0,583,5208
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,128518,33568,8525,86425
6, , ,"[TRVch# 774 Dt:08/05/2017] , Billno-MDI02260042017-002",1,76403,25000,6060,45343
7, , ,"[TRVch# 775 Dt:08/05/2017] , Billno-MDI02260042017-003",1,41013,0,2209,38804
8, , ,"[TRVch# 814 Dt:08/05/2017] , Billno-MDI022602017100002",1,8568,8568,0,0
9, , ,"[TRVch# 815 Dt:08/05/2017] , Billno-MDI022602017100003",1,2534,0,256,2278
0,Grand Total, , ,3,199608,25000,15789,158819
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,3,199608,25000,15789,158819
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,70052,0,7515,62537
3, , ,"[TRVch# 830 Dt:07/06/2017] , Billno-MDI02260052017-001",1,70052,0,7515,62537
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,129556,25000,8274,96282
5, , ,"[TRVch# 831 Dt:07/06/2017] , Billno-MDI02260052017-002",1,76403,25000,6060,45343
6, , ,"[TRVch# 832 Dt:07/06/2017] , Billno-MDI02260052017-003",1,53153,0,2214,50939
0,Grand Total, , ,3,203148,25000,15789,162359
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,3,203148,25000,15789,162359
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,70052,0,7515,62537
3, , ,"[TRVch# 790 Dt:10/07/2017] , Billno-MDI02260062017-001",1,70052,0,7515,62537
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,133096,25000,8274,99822
5, , ,"[TRVch# 791 Dt:10/07/2017] , Billno-MDI02260062017-002",1,76403,25000,6060,45343
6, , ,"[TRVch# 792 Dt:10/07/2017] , Billno-MDI02260062017-003",1,56693,0,2214,54479
0,Grand Total, , ,3,242967,25000,19577,198390
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,3,242967,25000,19577,198390
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,109771,0,11303,98468
3, , ,"[TRVch# 744 Dt:09/08/2017] , Billno-MDI02260072017-001",1,109771,0,11303,98468
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,133196,25000,8274,99922
5, , ,"[TRVch# 745 Dt:09/08/2017] , Billno-MDI02260072017-002",1,76403,25000,6060,45343
6, , ,"[TRVch# 746 Dt:09/08/2017] , Billno-MDI02260072017-003",1,56793,0,2214,54579
0,Grand Total, , ,3,187756,0,13517,174239
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,3,187756,0,13517,174239
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,111302,0,11303,99999
3, , ,"[TRVch# 806 Dt:08/09/2017] , Billno-MDI02260082017-001",1,111302,0,11303,99999
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,74504,0,2214,72290
5, , ,"[TRVch# 807 Dt:08/09/2017] , Billno-MDI02260082017-002",1,74504,0,2214,72290
6, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1950,0,0,1950
7, , ,"[TRVch# 2878 Dt:22/09/2017] , Billno-MDI022602017100005",1,1950,0,0,1950
0,Grand Total, , ,7,389492,37056,31339,321097
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,7,389492,37056,31339,321097
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,125589,0,12723,112866
3, , ,"[TRVch# 2556 Dt:23/10/2017] , Billno-MDI022602017100006",1,12197,0,1213,10984
4, , ,"[TRVch# 744 Dt:09/10/2017] , Billno-MDI02260092017-001",1,113392,0,11510,101882
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,184433,37056,18616,128761
6, , ,"[TRVch# 2557 Dt:23/10/2017] , Billno-MDI022602017100007",1,12056,12056,0,0
7, , ,"[TRVch# 2558 Dt:23/10/2017] , Billno-MDI022602017100008",1,3992,0,304,3688
8, , ,"[TRVch# 745 Dt:09/10/2017] , Billno-MDI02260092017-002",1,92682,25000,16060,51622
9, , ,"[TRVch# 746 Dt:09/10/2017] , Billno-MDI02260092017-003",1,75703,0,2252,73451
10, ,32-2202-01-789-15-S00N-V-P-41-GIA GENERAL (Salary),Total,1,79470,0,0,79470
11, , ,"[TRVch# 3975 Dt:31/10/2017] , Billno-MDI022602017100010",1,79470,0,0,79470
0,Grand Total, , ,5,418710,70000,38977,309733
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,5,418710,70000,38977,309733
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,114582,0,11624,102958
3, , ,"[TRVch# 705 Dt:08/11/2017] , Billno-MDI02260102017-001",1,114582,0,11624,102958
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,304128,70000,27353,206775
5, , ,"[TRVch# 2856 Dt:24/11/2017] , Billno-MDI022602017100011",1,77561,25000,6060,46501
6, , ,"[TRVch# 706 Dt:08/11/2017] , Billno-MDI02260102017-002",1,92682,25000,16060,51622
7, , ,"[TRVch# 707 Dt:08/11/2017] , Billno-MDI02260102017-003",1,58182,20000,1530,36652
8, , ,"[TRVch# 708 Dt:08/11/2017] , Billno-MDI02260102017-004",1,75703,0,3703,72000
0,Grand Total, , ,5,345833,45000,35149,265684
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,5,345833,45000,35149,265684
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,114582,0,11944,102638
3, , ,"[TRVch# 639 Dt:06/12/2017] , Billno-MDI02260112017-001",1,114582,0,11944,102638
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1938,0,0,1938
5, , ,"[TRVch# 3221 Dt:30/12/2017] , Billno-MDI022602017100013",1,1938,0,0,1938
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,229313,45000,23205,161108
7, , ,"[TRVch# 640 Dt:06/12/2017] , Billno-MDI02260112017-002",1,95428,25000,16140,54288
8, , ,"[TRVch# 641 Dt:06/12/2017] , Billno-MDI02260112017-003",1,58182,20000,1610,36572
9, , ,"[TRVch# 642 Dt:06/12/2017] , Billno-MDI02260112017-004",1,75703,0,5455,70248
0,Grand Total, , ,4,346741,45000,36117,265624
1,MDI02-260-PRINCIPAL GSSS KUTGARH,Total, ,4,346741,45000,36117,265624
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,114582,0,13324,101258
3, , ,"[TRVch# 660 Dt:09/01/2018] , Billno-MDI02260122017-001",1,114582,0,13324,101258
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,232159,45000,22793,164366
5, , ,"[TRVch# 661 Dt:09/01/2018] , Billno-MDI02260122017-002",1,95428,25000,16060,54368
