DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,25,2149279,0,0,2149279
MDI02-662-E.E. PWD MECH.DIVISION KULLU,Total, ,25,2149279,0,0,2149279
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,25,2149279,0,0,2149279
 , ,"[TRVch# 125 Dt:30/11/2017] , Billno-MDI026620400402627",1,11382,0,0,11382
 , ,"[TRVch# 129 Dt:30/11/2017] , Billno-MDI026620400402628",1,177780,0,0,177780
 , ,"[TRVch# 130 Dt:30/11/2017] , Billno-MDI026620400402629",1,26935,0,0,26935
 , ,"[TRVch# 142 Dt:28/02/2018] , Billno-MDI026620400402632",1,6351,0,0,6351
 , ,"[TRVch# 145 Dt:31/05/2017] , Billno-MDI026620400402616",1,150937,0,0,150937
 , ,"[TRVch# 147 Dt:31/05/2017] , Billno-MDI026620400402617",1,24495,0,0,24495
 , ,"[TRVch# 157 Dt:28/02/2018] , Billno-MDI026620400402633",1,28404,0,0,28404
 , ,"[TRVch# 158 Dt:29/07/2017] , Billno-MDI026620400402621",1,8050,0,0,8050
 , ,"[TRVch# 16 Dt:10/07/2017] , Billno-MDI026620400402620",1,674431,0,0,674431
 , ,"[TRVch# 161 Dt:31/08/2017] , Billno-MDI026620400402623",1,2375,0,0,2375
 , ,"[TRVch# 162 Dt:29/07/2017] , Billno-MDI026620400402622",1,21100,0,0,21100
 , ,"[TRVch# 164 Dt:31/08/2017] , Billno-MDI026620400402624",1,20346,0,0,20346
 , ,"[TRVch# 190 Dt:30/06/2017] , Billno-MDI026620400402618",1,15558,0,0,15558
 , ,"[TRVch# 201 Dt:30/06/2017] , Billno-MDI026620400402619",1,8974,0,0,8974
 , ,"[TRVch# 208 Dt:29/09/2017] , Billno-MDI026620400402625",1,5775,0,0,5775
 , ,"[TRVch# 209 Dt:29/09/2017] , Billno-MDI026620400402626",1,14765,0,0,14765
 , ,"[TRVch# 229 Dt:28/03/2018] , Billno-MDI026620400402634",1,6037,0,0,6037
 , ,"[TRVch# 363 Dt:31/03/2018] , Billno-MDI026620400402635",1,28405,0,0,28405
 , ,"[TRVch# 371 Dt:31/03/2018] , Billno-MDI026620400402636",1,7443,0,0,7443
 , ,"[TRVch# 372 Dt:31/03/2018] , Billno-MDI026620400402637",1,378233,0,0,378233
 , ,"[TRVch# 55 Dt:22/01/2018] , Billno-MDI026620400402630",1,19653,0,0,19653
 , ,"[TRVch# 60 Dt:22/01/2018] , Billno-MDI026620400402631",1,12564,0,0,12564
 , ,"[TRVch# 85 Dt:27/08/2018] , Billno-MDI026620400402639",1,27892,0,0,27892
 , ,"[TRVch# 86 Dt:27/08/2018] , Billno-MDI026620400402638",1,36181,0,0,36181
 , ,"[TRVch# 93 Dt:27/08/2018] , Billno-MDI026620400402640",1,435213,0,0,435213
