,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,12,3292338,462000,64417,2765921
1,MDI05-202-GSSS PANDOL,Total, ,12,3292338,462000,64417,2765921
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,7,1975000,0,0,1975000
3, , ,"[TRVch# 1018 Dt:29/04/2017] , Billno-MDI052022017100006",1,1000000,0,0,1000000
4, , ,"[TRVch# 1019 Dt:29/04/2017] , Billno-MDI052022017100007",1,100000,0,0,100000
5, , ,"[TRVch# 943 Dt:27/04/2017] , Billno-MDI052022017100001",1,200000,0,0,200000
6, , ,"[TRVch# 944 Dt:27/04/2017] , Billno-MDI052022017100002",1,225000,0,0,225000
7, , ,"[TRVch# 945 Dt:27/04/2017] , Billno-MDI052022017100003",1,150000,0,0,150000
8, , ,"[TRVch# 946 Dt:27/04/2017] , Billno-MDI052022017100004",1,200000,0,0,200000
9, , ,"[TRVch# 947 Dt:27/04/2017] , Billno-MDI052022017100005",1,100000,0,0,100000
10, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,379427,148000,15150,216277
11, , ,"[TRVch# 1271 Dt:07/04/2017] , Billno-MDI05202032017-001",1,296985,148000,15150,133835
12, , ,"[TRVch# 1272 Dt:07/04/2017] , Billno-MDI05202032017-002",1,82442,0,0,82442
13, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,937911,314000,49267,574644
14, , ,"[TRVch# 1273 Dt:07/04/2017] , Billno-MDI05202032017-003",1,79301,40000,5060,34241
15, , ,"[TRVch# 1274 Dt:07/04/2017] , Billno-MDI05202032017-004",1,633926,274000,25041,334885
16, , ,"[TRVch# 1275 Dt:07/04/2017] , Billno-MDI05202032017-005",1,224684,0,19166,205518
0,Grand Total, , ,13,1475988,560128,75507,840353
1,MDI05-202-GSSS PANDOL,Total, ,13,1475988,560128,75507,840353
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,421452,178303,18517,224632
3, , ,"[TRVch# 1015 Dt:08/05/2017] , Billno-MDI05202042017-001",1,300750,148000,15150,137600
4, , ,"[TRVch# 1016 Dt:08/05/2017] , Billno-MDI05202042017-002",1,87032,0,0,87032
5, , ,"[TRVch# 4761 Dt:31/05/2017] , Billno-MDI052022017100020",1,33670,30303,3367,0
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1046972,381825,56990,608157
7, , ,"[TRVch# 1017 Dt:08/05/2017] , Billno-MDI05202042017-003",1,80313,40000,5060,35253
8, , ,"[TRVch# 1018 Dt:08/05/2017] , Billno-MDI05202042017-004",1,641971,275000,22600,344371
9, , ,"[TRVch# 1019 Dt:08/05/2017] , Billno-MDI05202042017-005",1,230242,0,19510,210732
10, , ,"[TRVch# 4760 Dt:31/05/2017] , Billno-MDI052022017100019",1,20969,0,3168,17801
11, , ,"[TRVch# 4762 Dt:31/05/2017] , Billno-MDI052022017100021",1,8876,7988,888,0
12, , ,"[TRVch# 4763 Dt:31/05/2017] , Billno-MDI052022017100022",1,64601,58837,5764,0
13, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1005,0,0,1005
14, , ,"[TRVch# 3244 Dt:22/05/2017] , Billno-MDI052022017100009",1,1005,0,0,1005
15, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,3815,0,0,3815
16, , ,"[TRVch# 3246 Dt:22/05/2017] , Billno-MDI052022017100014",1,3815,0,0,3815
17, ,08-2202-02-109-01-S00N-V-N-64-TRANSFER EXPENSES,Total,2,2744,0,0,2744
18, , ,"[TRVch# 3243 Dt:22/05/2017] , Billno-MDI052022017100008",1,1398,0,0,1398
19, , ,"[TRVch# 3245 Dt:22/05/2017] , Billno-MDI052022017100011",1,1346,0,0,1346
0,Grand Total, , ,5,1278669,424000,58260,796409
1,MDI05-202-GSSS PANDOL,Total, ,5,1278669,424000,58260,796409
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,391472,148000,15150,228322
3, , ,"[TRVch# 1074 Dt:07/06/2017] , Billno-MDI05202052017-001",1,304440,148000,15150,141290
4, , ,"[TRVch# 1075 Dt:07/06/2017] , Billno-MDI05202052017-002",1,87032,0,0,87032
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,887197,276000,43110,568087
6, , ,"[TRVch# 1076 Dt:07/06/2017] , Billno-MDI05202052017-003",1,80313,40000,5060,35253
7, , ,"[TRVch# 1077 Dt:07/06/2017] , Billno-MDI05202052017-004",1,576642,236000,18540,322102
8, , ,"[TRVch# 1078 Dt:07/06/2017] , Billno-MDI05202052017-005",1,230242,0,19510,210732
0,Grand Total, , ,5,1208414,341000,61776,805638
1,MDI05-202-GSSS PANDOL,Total, ,5,1208414,341000,61776,805638
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,419790,153000,15168,251622
3, , ,"[TRVch# 1000 Dt:10/07/2017] , Billno-MDI05202062017-001",1,305967,153000,15150,137817
4, , ,"[TRVch# 1001 Dt:10/07/2017] , Billno-MDI05202062017-002",1,113823,0,18,113805
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,788624,188000,46608,554016
6, , ,"[TRVch# 1002 Dt:10/07/2017] , Billno-MDI05202062017-003",1,82326,35000,5060,42266
7, , ,"[TRVch# 1003 Dt:10/07/2017] , Billno-MDI05202062017-004",1,371650,153000,9360,209290
8, , ,"[TRVch# 1004 Dt:10/07/2017] , Billno-MDI05202062017-005",1,334648,0,32188,302460
0,Grand Total, , ,8,1584929,341000,65711,1178218
1,MDI05-202-GSSS PANDOL,Total, ,8,1584929,341000,65711,1178218
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,320000,0,0,320000
3, , ,"[TRVch# 465 Dt:24/08/2017] , Billno-MDI052022017100024",1,70000,0,0,70000
4, , ,"[TRVch# 855 Dt:31/08/2017] , Billno-MDI052022017100025",1,250000,0,0,250000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,423161,153000,15168,254993
6, , ,"[TRVch# 923 Dt:09/08/2017] , Billno-MDI05202072017-001",1,305967,153000,15150,137817
7, , ,"[TRVch# 924 Dt:09/08/2017] , Billno-MDI05202072017-002",1,117194,0,18,117176
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,833367,188000,50543,594824
9, , ,"[TRVch# 925 Dt:09/08/2017] , Billno-MDI05202072017-003",1,82326,35000,5060,42266
10, , ,"[TRVch# 926 Dt:09/08/2017] , Billno-MDI05202072017-004",1,375105,153000,9360,212745
11, , ,"[TRVch# 927 Dt:09/08/2017] , Billno-MDI05202072017-005",1,375936,0,36123,339813
12, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,8401,0,0,8401
13, , ,"[TRVch# 3009 Dt:31/08/2017] , Billno-MDI052022017100023",1,8401,0,0,8401
0,Grand Total, , ,10,1928990,331000,78110,1519880
1,MDI05-202-GSSS PANDOL,Total, ,10,1928990,331000,78110,1519880
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,530000,0,0,530000
3, , ,"[TRVch# 685 Dt:29/09/2017] , Billno-MDI052022017100029",1,530000,0,0,530000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,434389,153000,15177,266212
5, , ,"[TRVch# 1023 Dt:08/09/2017] , Billno-MDI05202082017-001",1,313067,153000,15150,144917
6, , ,"[TRVch# 1024 Dt:08/09/2017] , Billno-MDI05202082017-002",1,118390,0,18,118372
7, , ,"[TRVch# 3190 Dt:29/09/2017] , Billno-MDI052022017100032",1,2932,0,9,2923
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,959065,178000,62933,718132
9, , ,"[TRVch# 1025 Dt:08/09/2017] , Billno-MDI05202082017-003",1,83749,35000,5060,43689
10, , ,"[TRVch# 1026 Dt:08/09/2017] , Billno-MDI05202082017-004",1,394085,143000,13360,237725
11, , ,"[TRVch# 1027 Dt:08/09/2017] , Billno-MDI05202082017-005",1,443321,0,44513,398808
12, , ,"[TRVch# 3188 Dt:29/09/2017] , Billno-MDI052022017100030",1,37910,0,0,37910
13, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,3000,0,0,3000
14, , ,"[TRVch# 3189 Dt:29/09/2017] , Billno-MDI052022017100031",1,3000,0,0,3000
15, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2536,0,0,2536
16, , ,"[TRVch# 3183 Dt:29/09/2017] , Billno-MDI052022017100027",1,2536,0,0,2536
0,Grand Total, , ,12,1459715,378554,95041,986120
1,MDI05-202-GSSS PANDOL,Total, ,12,1459715,378554,95041,986120
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,437692,170000,17168,250524
3, , ,"[TRVch# 908 Dt:09/10/2017] , Billno-MDI05202092017-001",1,318206,170000,17150,131056
4, , ,"[TRVch# 909 Dt:09/10/2017] , Billno-MDI05202092017-002",1,119486,0,18,119468
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,9,1019937,208554,77873,733510
6, , ,"[TRVch# 2740 Dt:23/10/2017] , Billno-MDI052022017100036",1,10784,9708,1076,0
7, , ,"[TRVch# 2741 Dt:23/10/2017] , Billno-MDI052022017100037",1,33346,30846,2500,0
8, , ,"[TRVch# 2742 Dt:23/10/2017] , Billno-MDI052022017100038",1,44944,0,6699,38245
9, , ,"[TRVch# 3912 Dt:30/10/2017] , Billno-MDI052022017100041",1,71039,28000,5560,37479
10, , ,"[TRVch# 3913 Dt:30/10/2017] , Billno-MDI052022017100042",1,756,0,0,756
11, , ,"[TRVch# 4139 Dt:31/10/2017] , Billno-MDI052022017100043",1,20046,0,2010,18036
12, , ,"[TRVch# 910 Dt:09/10/2017] , Billno-MDI05202092017-003",1,85122,35000,5060,45062
13, , ,"[TRVch# 911 Dt:09/10/2017] , Billno-MDI05202092017-004",1,265541,105000,9740,150801
14, , ,"[TRVch# 912 Dt:09/10/2017] , Billno-MDI05202092017-005",1,488359,0,45228,443131
15, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2086,0,0,2086
16, , ,"[TRVch# 2739 Dt:23/10/2017] , Billno-MDI052022017100039",1,2086,0,0,2086
0,Grand Total, , ,16,2189993,339468,94400,1756125
1,MDI05-202-GSSS PANDOL,Total, ,16,2189993,339468,94400,1756125
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,700000,0,0,700000
3, , ,"[TRVch# 465 Dt:24/11/2017] , Billno-MDI052022017100048",1,100000,0,0,100000
4, , ,"[TRVch# 466 Dt:24/11/2017] , Billno-MDI052022017100047",1,100000,0,0,100000
5, , ,"[TRVch# 786 Dt:30/11/2017] , Billno-MDI052022017100053",1,500000,0,0,500000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,468472,171468,22765,274239
7, , ,"[TRVch# 2988 Dt:24/11/2017] , Billno-MDI052022017100046",1,16296,0,813,15483
8, , ,"[TRVch# 2989 Dt:24/11/2017] , Billno-MDI052022017100049",1,3232,0,0,3232
9, , ,"[TRVch# 2990 Dt:24/11/2017] , Billno-MDI052022017100050",1,34327,0,3262,31065
10, , ,"[TRVch# 907 Dt:08/11/2017] , Billno-MDI05202102017-001",1,254611,135000,14620,104991
11, , ,"[TRVch# 908 Dt:08/11/2017] , Billno-MDI05202102017-002",1,119486,0,18,119468
12, , ,"[TRVch# 983 Dt:08/11/2017] , Billno-MDI052022017100034",1,40520,36468,4052,0
13, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,8436,0,0,8436
14, , ,"[TRVch# 2974 Dt:24/11/2017] , Billno-MDI052022017100045",1,8436,0,0,8436
15, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,986944,168000,71635,747309
16, , ,"[TRVch# 2991 Dt:24/11/2017] , Billno-MDI052022017100051",1,37305,0,5904,31401
17, , ,"[TRVch# 3794 Dt:30/11/2017] , Billno-MDI052022017100052",1,2742,0,0,2742
18, , ,"[TRVch# 909 Dt:08/11/2017] , Billno-MDI05202102017-003",1,85122,35000,5060,45062
19, , ,"[TRVch# 910 Dt:08/11/2017] , Billno-MDI05202102017-004",1,336580,133000,15300,188280
20, , ,"[TRVch# 911 Dt:08/11/2017] , Billno-MDI05202102017-005",1,525195,0,45371,479824
21, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,26141,0,0,26141
22, , ,"[TRVch# 2973 Dt:24/11/2017] , Billno-MDI052022017100040",1,26141,0,0,26141
0,Grand Total, , ,9,1781267,303000,92497,1385770
1,MDI05-202-GSSS PANDOL,Total, ,9,1781267,303000,92497,1385770
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,437122,135000,18790,283332
3, , ,"[TRVch# 3562 Dt:30/12/2017] , Billno-MDI052022017100059",1,11145,0,5,11140
4, , ,"[TRVch# 757 Dt:06/12/2017] , Billno-MDI05202112017-001",1,290785,135000,18282,137503
5, , ,"[TRVch# 758 Dt:06/12/2017] , Billno-MDI05202112017-002",1,135192,0,503,134689
6, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,6080,0,0,6080
7, , ,"[TRVch# 3561 Dt:30/12/2017] , Billno-MDI052022017100058",1,6080,0,0,6080
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,999647,168000,73707,757940
9, , ,"[TRVch# 759 Dt:06/12/2017] , Billno-MDI05202112017-003",1,85122,35000,5140,44982
10, , ,"[TRVch# 760 Dt:06/12/2017] , Billno-MDI05202112017-004",1,336580,133000,15780,187800
11, , ,"[TRVch# 761 Dt:06/12/2017] , Billno-MDI05202112017-005",1,577945,0,52787,525158
12, ,08-2202-02-109-01-S00N-V-P-05-OFFICE EXPENSES,Total,1,63418,0,0,63418
13, , ,"[TRVch# 3051 Dt:21/12/2017] , Billno-MDI052022017100054",1,63418,0,0,63418
14, ,08-2202-02-109-01-S00N-V-P-33-MATERIAL AND SUPPLY,Total,1,275000,0,0,275000
15, , ,"[TRVch# 3050 Dt:21/12/2017] , Billno-MDI052022017100055",1,275000,0,0,275000
0,Grand Total, , ,6,1436413,303000,90160,1043253
1,MDI05-202-GSSS PANDOL,Total, ,6,1436413,303000,90160,1043253
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,427678,135000,17905,274773
3, , ,"[TRVch# 868 Dt:09/01/2018] , Billno-MDI05202122017-001",1,292486,135000,17882,139604
4, , ,"[TRVch# 869 Dt:09/01/2018] , Billno-MDI05202122017-002",1,135192,0,23,135169
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,1008735,168000,72255,768480
6, , ,"[TRVch# 2811 Dt:22/01/2018] , Billno-MDI052022017100060",1,7338,0,0,7338
7, , ,"[TRVch# 870 Dt:09/01/2018] , Billno-MDI05202122017-003",1,85122,35000,5060,45062
8, , ,"[TRVch# 871 Dt:09/01/2018] , Billno-MDI05202122017-004",1,336580,133000,15300,188280
9, , ,"[TRVch# 872 Dt:09/01/2018] , Billno-MDI05202122017-005",1,579695,0,51895,527800
0,Grand Total, , ,18,1743437,352110,100935,1290392
1,MDI05-202-GSSS PANDOL,Total, ,18,1743437,352110,100935,1290392
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 297 Dt:22/02/2018] , Billno-MDI052022017100071",1,200000,0,0,200000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,7,460115,153553,25190,281372
5, , ,"[TRVch# 3772 Dt:22/02/2018] , Billno-MDI052022017100066",1,21055,18553,252,2250
6, , ,"[TRVch# 3773 Dt:22/02/2018] , Billno-MDI052022017100067",1,5436,0,498,4938
7, , ,"[TRVch# 3820 Dt:22/02/2018] , Billno-MDI052022017100073",1,846,0,0,846
8, , ,"[TRVch# 864 Dt:07/02/2018] , Billno-MDI05202012018-001",1,296028,135000,17923,143105
9, , ,"[TRVch# 865 Dt:07/02/2018] , Billno-MDI05202012018-002",1,136200,0,6517,129683
10, , ,"[TRVch# 948 Dt:07/02/2018] , Billno-MDI052022017100061",1,400,0,0,400
11, , ,"[TRVch# 949 Dt:07/02/2018] , Billno-MDI052022017100062",1,150,0,0,150
12, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,10,1083322,198557,75745,809020
13, , ,"[TRVch# 3762 Dt:22/02/2018] , Billno-MDI052022017100069",1,24377,24377,0,0
14, , ,"[TRVch# 3763 Dt:22/02/2018] , Billno-MDI052022017100068",1,6180,6180,0,0
15, , ,"[TRVch# 3774 Dt:22/02/2018] , Billno-MDI052022017100070",1,35425,0,3162,32263
16, , ,"[TRVch# 3819 Dt:22/02/2018] , Billno-MDI052022017100072",1,379,0,0,379
17, , ,"[TRVch# 866 Dt:07/02/2018] , Billno-MDI05202012018-003",1,86152,35000,5060,46092
18, , ,"[TRVch# 867 Dt:07/02/2018] , Billno-MDI05202012018-004",1,341659,133000,15300,193359
19, , ,"[TRVch# 868 Dt:07/02/2018] , Billno-MDI05202012018-005",1,587950,0,52223,535727
20, , ,"[TRVch# 946 Dt:07/02/2018] , Billno-MDI052022017100064",1,400,0,0,400
21, , ,"[TRVch# 947 Dt:07/02/2018] , Billno-MDI052022017100065",1,700,0,0,700
22, , ,"[TRVch# 950 Dt:07/02/2018] , Billno-MDI052022017100063",1,100,0,0,100
0,Grand Total, , ,14,3327835,735208,272290,2320337
1,MDI05-202-GSSS PANDOL,Total, ,14,3327835,735208,272290,2320337
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,900000,0,0,900000
3, , ,"[TRVch# 30 Dt:07/03/2018] , Billno-MDI052022017100074",1,900000,0,0,900000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,674312,293711,78486,302115
5, , ,"[TRVch# 5690 Dt:22/03/2018] , Billno-MDI052022017100076",1,18247,0,378,17869
6, , ,"[TRVch# 5691 Dt:22/03/2018] , Billno-MDI052022017100075",1,210478,158711,43361,8406
7, , ,"[TRVch# 817 Dt:07/03/2018] , Billno-MDI05202022018-001",1,305472,135000,25880,144592
8, , ,"[TRVch# 818 Dt:07/03/2018] , Billno-MDI05202022018-002",1,140115,0,8867,131248
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1733665,441497,193804,1098364
10, , ,"[TRVch# 5688 Dt:22/03/2018] , Billno-MDI052022017100079",1,355350,0,14239,341111
11, , ,"[TRVch# 5689 Dt:22/03/2018] , Billno-MDI052022017100077",1,66905,53123,13782,0
12, , ,"[TRVch# 5692 Dt:22/03/2018] , Billno-MDI052022017100078",1,264106,220374,43732,0
13, , ,"[TRVch# 819 Dt:07/03/2018] , Billno-MDI05202022018-003",1,88898,35000,39424,14474
