,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,322401,29000,3727,289674
1,MDI05-208-PR SSS KHUDDI,Total, ,4,322401,29000,3727,289674
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,66346,0,0,66346
3, , ,"[TRVch# 1302 Dt:07/04/2017] , Billno-MDI05208032017-001",1,66346,0,0,66346
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,256055,29000,3727,223328
5, , ,"[TRVch# 1303 Dt:07/04/2017] , Billno-MDI05208032017-002",1,86986,5000,120,81866
6, , ,"[TRVch# 1304 Dt:07/04/2017] , Billno-MDI05208032017-003",1,62283,24000,30,38253
7, , ,"[TRVch# 1305 Dt:07/04/2017] , Billno-MDI05208032017-004",1,106786,0,3577,103209
0,Grand Total, , ,12,613600,90944,16726,505930
1,MDI05-208-PR SSS KHUDDI,Total, ,12,613600,90944,16726,505930
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,215000,0,0,215000
3, , ,"[TRVch# 895 Dt:31/05/2017] , Billno-MDI052082017100007",1,215000,0,0,215000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,92433,0,0,92433
5, , ,"[TRVch# 1046 Dt:08/05/2017] , Billno-MDI05208042017-001",1,15560,0,0,15560
6, , ,"[TRVch# 1047 Dt:08/05/2017] , Billno-MDI05208042017-002",1,69846,0,0,69846
7, , ,"[TRVch# 4788 Dt:31/05/2017] , Billno-MDI052082017100003",1,7027,0,0,7027
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,8,306167,90944,16726,198497
9, , ,"[TRVch# 1048 Dt:08/05/2017] , Billno-MDI05208042017-003",1,88097,50000,10120,27977
10, , ,"[TRVch# 1049 Dt:08/05/2017] , Billno-MDI05208042017-004",1,63073,24000,2530,36543
11, , ,"[TRVch# 1050 Dt:08/05/2017] , Billno-MDI05208042017-005",1,15560,0,15,15545
12, , ,"[TRVch# 1051 Dt:08/05/2017] , Billno-MDI05208042017-006",1,111306,0,3638,107668
13, , ,"[TRVch# 4787 Dt:31/05/2017] , Billno-MDI052082017100002",1,7027,0,5,7022
14, , ,"[TRVch# 4789 Dt:31/05/2017] , Billno-MDI052082017100004",1,9834,9834,0,0
15, , ,"[TRVch# 4790 Dt:31/05/2017] , Billno-MDI052082017100005",1,7110,7110,0,0
16, , ,"[TRVch# 4791 Dt:31/05/2017] , Billno-MDI052082017100006",1,4160,0,418,3742
0,Grand Total, , ,8,432402,74000,16303,342099
1,MDI05-208-PR SSS KHUDDI,Total, ,8,432402,74000,16303,342099
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,85406,0,0,85406
3, , ,"[TRVch# 1105 Dt:07/06/2017] , Billno-MDI05208052017-001",1,15560,0,0,15560
4, , ,"[TRVch# 1106 Dt:07/06/2017] , Billno-MDI05208052017-002",1,69846,0,0,69846
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,278036,74000,16303,187733
6, , ,"[TRVch# 1107 Dt:07/06/2017] , Billno-MDI05208052017-003",1,88097,50000,10120,27977
7, , ,"[TRVch# 1108 Dt:07/06/2017] , Billno-MDI05208052017-004",1,63073,24000,2530,36543
8, , ,"[TRVch# 1109 Dt:07/06/2017] , Billno-MDI05208052017-005",1,15560,0,15,15545
9, , ,"[TRVch# 1110 Dt:07/06/2017] , Billno-MDI05208052017-006",1,111306,0,3638,107668
