,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,1405875,100000,13475,1292400
1,MDI07-201-PR GSSS PANJAIN,Total, ,8,1405875,100000,13475,1292400
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,850000,0,0,850000
3, , ,"[TRVch# 18 Dt:07/04/2017] , Billno-MDI072012017100001",1,650000,0,0,650000
4, , ,"[TRVch# 370 Dt:21/04/2017] , Billno-MDI072012017100002",1,200000,0,0,200000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,189871,0,9665,180206
6, , ,"[TRVch# 1847 Dt:21/04/2017] , Billno-MDI072012017100007",1,13896,0,10,13886
7, , ,"[TRVch# 690 Dt:07/04/2017] , Billno-MDI07201032017-001",1,175975,0,9655,166320
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,366004,100000,3810,262194
9, , ,"[TRVch# 1916 Dt:29/04/2017] , Billno-MDI072012017100008",1,6869,0,5,6864
10, , ,"[TRVch# 691 Dt:07/04/2017] , Billno-MDI07201032017-002",1,85055,50000,120,34935
11, , ,"[TRVch# 692 Dt:07/04/2017] , Billno-MDI07201032017-003",1,142075,0,3580,138495
12, , ,"[TRVch# 693 Dt:07/04/2017] , Billno-MDI07201032017-004",1,132005,50000,105,81900
0,Grand Total, , ,9,646815,129550,29954,487311
1,MDI07-201-PR GSSS PANJAIN,Total, ,9,646815,129550,29954,487311
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,223028,0,11167,211861
3, , ,"[TRVch# 1133 Dt:08/05/2017] , Billno-MDI07201042017-001",1,211909,0,10306,201603
4, , ,"[TRVch# 1232 Dt:08/05/2017] , Billno-MDI072012017100003",1,11119,0,861,10258
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,415123,129550,18787,266786
6, , ,"[TRVch# 1134 Dt:08/05/2017] , Billno-MDI07201042017-002",1,88671,55000,11120,22551
7, , ,"[TRVch# 1135 Dt:08/05/2017] , Billno-MDI07201042017-003",1,164054,0,4142,159912
8, , ,"[TRVch# 1136 Dt:08/05/2017] , Billno-MDI07201042017-004",1,133669,50000,3105,80564
9, , ,"[TRVch# 1233 Dt:08/05/2017] , Billno-MDI072012017100004",1,9702,9702,0,0
10, , ,"[TRVch# 1234 Dt:08/05/2017] , Billno-MDI072012017100005",1,4179,0,420,3759
11, , ,"[TRVch# 1235 Dt:08/05/2017] , Billno-MDI072012017100006",1,14848,14848,0,0
12, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,8664,0,0,8664
13, , ,"[TRVch# 5782 Dt:31/05/2017] , Billno-MDI072012017100009",1,8664,0,0,8664
0,Grand Total, , ,5,679960,125000,31203,523757
1,MDI07-201-PR GSSS PANJAIN,Total, ,5,679960,125000,31203,523757
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,211909,0,10306,201603
3, , ,"[TRVch# 1202 Dt:07/06/2017] , Billno-MDI07201052017-001",1,211909,0,10306,201603
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,447141,125000,20897,301244
5, , ,"[TRVch# 1203 Dt:07/06/2017] , Billno-MDI07201052017-002",1,88671,55000,11120,22551
6, , ,"[TRVch# 1204 Dt:07/06/2017] , Billno-MDI07201052017-003",1,224801,20000,6672,198129
7, , ,"[TRVch# 1205 Dt:07/06/2017] , Billno-MDI07201052017-004",1,133669,50000,3105,80564
8, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,20910,0,0,20910
9, , ,"[TRVch# 1260 Dt:07/06/2017] , Billno-MDI072012017100011",1,20910,0,0,20910
0,Grand Total, , ,9,834405,155000,33228,646177
1,MDI07-201-PR GSSS PANJAIN,Total, ,9,834405,155000,33228,646177
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,273771,30000,12331,231440
3, , ,"[TRVch# 1112 Dt:10/07/2017] , Billno-MDI07201062017-001",1,211909,0,10296,201613
4, , ,"[TRVch# 1113 Dt:10/07/2017] , Billno-MDI07201062017-002",1,57036,30000,2030,25006
5, , ,"[TRVch# 2431 Dt:20/07/2017] , Billno-MDI072012017100014",1,810,0,0,810
6, , ,"[TRVch# 2432 Dt:20/07/2017] , Billno-MDI072012017100015",1,4016,0,5,4011
7, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,54000,0,0,54000
