DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,43,9032651,0,0,9032651
MDI07-703-IPH DIVISION MANDI,Total, ,43,9032651,0,0,9032651
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,43,9032651,0,0,9032651
 , ,"[TRVch# 103 Dt:22/06/2017] , Billno-MDI077030400206075",1,416226,0,0,416226
 , ,"[TRVch# 104 Dt:22/06/2017] , Billno-MDI077030400206076",1,17990,0,0,17990
 , ,"[TRVch# 13 Dt:09/01/2018] , Billno-MDI077030400206100",1,10284,0,0,10284
 , ,"[TRVch# 145 Dt:21/09/2017] , Billno-MDI077030400206090",1,14601,0,0,14601
 , ,"[TRVch# 146 Dt:21/09/2017] , Billno-MDI077030400206091",1,17940,0,0,17940
 , ,"[TRVch# 163 Dt:31/08/2018] , Billno-MDI077030400406317",1,31377,0,0,31377
 , ,"[TRVch# 165 Dt:28/02/2018] , Billno-MDI077030400406307",1,1378,0,0,1378
 , ,"[TRVch# 166 Dt:28/02/2018] , Billno-MDI077030400406308",1,34596,0,0,34596
 , ,"[TRVch# 172 Dt:31/07/2017] , Billno-MDI077030400206081",1,1292,0,0,1292
 , ,"[TRVch# 173 Dt:31/07/2017] , Billno-MDI077030400206082",1,4273,0,0,4273
 , ,"[TRVch# 174 Dt:31/07/2017] , Billno-MDI077030400206083",1,10550,0,0,10550
 , ,"[TRVch# 175 Dt:31/07/2017] , Billno-MDI077030400206084",1,5291,0,0,5291
 , ,"[TRVch# 177 Dt:31/08/2017] , Billno-MDI077030400206085",1,1510291,0,0,1510291
 , ,"[TRVch# 178 Dt:31/08/2017] , Billno-MDI077030400206086",1,2421,0,0,2421
 , ,"[TRVch# 179 Dt:31/08/2017] , Billno-MDI077030400206087",1,34176,0,0,34176
 , ,"[TRVch# 180 Dt:31/08/2017] , Billno-MDI077030400206088",1,12932,0,0,12932
 , ,"[TRVch# 181 Dt:31/08/2017] , Billno-MDI077030400206089",1,636,0,0,636
 , ,"[TRVch# 204 Dt:30/12/2017] , Billno-MDI077030400206097",1,17936,0,0,17936
 , ,"[TRVch# 205 Dt:30/12/2017] , Billno-MDI077030400206098",1,438578,0,0,438578
 , ,"[TRVch# 206 Dt:30/12/2017] , Billno-MDI077030400206099",1,1379,0,0,1379
 , ,"[TRVch# 217 Dt:29/09/2017] , Billno-MDI077030400206092",1,3860,0,0,3860
 , ,"[TRVch# 217 Dt:30/06/2018] , Billno-MDI077030400406316",1,16414,0,0,16414
 , ,"[TRVch# 218 Dt:30/11/2017] , Billno-MDI077030400206095",1,83391,0,0,83391
 , ,"[TRVch# 219 Dt:30/01/2018] , Billno-MDI077030400406301",1,10264,0,0,10264
 , ,"[TRVch# 220 Dt:30/01/2018] , Billno-MDI077030400406302",1,198474,0,0,198474
 , ,"[TRVch# 221 Dt:30/01/2018] , Billno-MDI077030400406303",1,1351,0,0,1351
 , ,"[TRVch# 237 Dt:28/03/2018] , Billno-MDI077030400406311",1,3860000,0,0,3860000
 , ,"[TRVch# 238 Dt:28/03/2018] , Billno-MDI077030400406312",1,24509,0,0,24509
 , ,"[TRVch# 246 Dt:30/06/2017] , Billno-MDI077030400206077",1,3666,0,0,3666
 , ,"[TRVch# 247 Dt:30/06/2017] , Billno-MDI077030400206078",1,27935,0,0,27935
 , ,"[TRVch# 248 Dt:30/06/2017] , Billno-MDI077030400206079",1,21885,0,0,21885
 , ,"[TRVch# 249 Dt:30/06/2017] , Billno-MDI077030400206080",1,5281,0,0,5281
 , ,"[TRVch# 35 Dt:08/12/2017] , Billno-MDI077030400206096",1,1427614,0,0,1427614
 , ,"[TRVch# 411 Dt:31/03/2018] , Billno-MDI077030400406313",1,231000,0,0,231000
 , ,"[TRVch# 412 Dt:31/03/2018] , Billno-MDI077030400406314",1,22777,0,0,22777
 , ,"[TRVch# 413 Dt:31/03/2018] , Billno-MDI077030400406315",1,9980,0,0,9980
 , ,"[TRVch# 57 Dt:22/02/2018] , Billno-MDI077030400406304",1,41572,0,0,41572
 , ,"[TRVch# 58 Dt:22/02/2018] , Billno-MDI077030400406305",1,54764,0,0,54764
 , ,"[TRVch# 59 Dt:22/02/2018] , Billno-MDI077030400406306",1,184546,0,0,184546
 , ,"[TRVch# 66 Dt:19/03/2018] , Billno-MDI077030400406309",1,179910,0,0,179910
 , ,"[TRVch# 67 Dt:19/03/2018] , Billno-MDI077030400406310",1,1351,0,0,1351
 , ,"[TRVch# 93 Dt:24/11/2017] , Billno-MDI077030400206093",1,3492,0,0,3492
 , ,"[TRVch# 94 Dt:24/11/2017] , Billno-MDI077030400206094",1,34468,0,0,34468
