,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,683275,127000,13811,542464
1,MDI08-209-PRINCIPAL GOVT DEGREE COLLEGE KOTLI,Total, ,7,683275,127000,13811,542464
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,150000,0,0,150000
3, , ,"[TRVch# 1185 Dt:29/04/2017] , Billno-MDI082092017100002",1,150000,0,0,150000
4, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,6,533275,127000,13811,392464
5, , ,"[TRVch# 788 Dt:07/04/2017] , Billno-MDI08209032017-001",1,247437,62000,11512,173925
6, , ,"[TRVch# 789 Dt:07/04/2017] , Billno-MDI08209032017-002",1,129696,55000,120,74576
7, , ,"[TRVch# 790 Dt:07/04/2017] , Billno-MDI08209032017-003",1,56687,0,0,56687
8, , ,"[TRVch# 791 Dt:07/04/2017] , Billno-MDI08209032017-004",1,44165,10000,30,34135
9, , ,"[TRVch# 792 Dt:07/04/2017] , Billno-MDI08209032017-005",1,22503,0,2124,20379
10, , ,"[TRVch# 793 Dt:07/04/2017] , Billno-MDI08209032017-006",1,32787,0,25,32762
0,Grand Total, , ,24,3278225,172779,65997,3039449
1,MDI08-209-PRINCIPAL GOVT DEGREE COLLEGE KOTLI,Total, ,24,3278225,172779,65997,3039449
2, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,13,665548,172779,65997,426772
3, , ,"[TRVch# 1280 Dt:08/05/2017] , Billno-MDI08209042017-001",1,126270,0,15630,110640
4, , ,"[TRVch# 1281 Dt:08/05/2017] , Billno-MDI08209042017-002",1,273969,116000,43138,114831
5, , ,"[TRVch# 1282 Dt:08/05/2017] , Billno-MDI08209042017-003",1,57426,0,3500,53926
6, , ,"[TRVch# 1283 Dt:08/05/2017] , Billno-MDI08209042017-004",1,44725,21000,30,23695
