,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,343213,67000,11954,264259
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,4,343213,67000,11954,264259
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,111937,35000,2597,74340
3, , ,"[TRVch# 852 Dt:07/04/2017] , Billno-MDI09212032017-001",1,111937,35000,2597,74340
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,231276,32000,9357,189919
5, , ,"[TRVch# 853 Dt:07/04/2017] , Billno-MDI09212032017-002",1,75135,20000,60,55075
6, , ,"[TRVch# 854 Dt:07/04/2017] , Billno-MDI09212032017-003",1,96276,0,9237,87039
7, , ,"[TRVch# 855 Dt:07/04/2017] , Billno-MDI09212032017-004",1,59865,12000,60,47805
0,Grand Total, , ,9,411774,95304,25253,291217
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,9,411774,95304,25253,291217
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,123076,41507,6317,75252
3, , ,"[TRVch# 1381 Dt:08/05/2017] , Billno-MDI09212042017-001",1,115849,35000,5597,75252
4, , ,"[TRVch# 4889 Dt:31/05/2017] , Billno-MDI092122017100001",1,7227,6507,720,0
5, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,28260,0,0,28260
6, , ,"[TRVch# 4888 Dt:31/05/2017] , Billno-MDI092122017100005",1,28260,0,0,28260
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,260438,53797,18936,187705
8, , ,"[TRVch# 1382 Dt:08/05/2017] , Billno-MDI09212042017-002",1,76092,20000,3060,53032
9, , ,"[TRVch# 1383 Dt:08/05/2017] , Billno-MDI09212042017-003",1,97487,0,10588,86899
10, , ,"[TRVch# 1384 Dt:08/05/2017] , Billno-MDI09212042017-004",1,60627,20000,2060,38567
11, , ,"[TRVch# 4890 Dt:31/05/2017] , Billno-MDI092122017100002",1,8613,7749,864,0
12, , ,"[TRVch# 4891 Dt:31/05/2017] , Billno-MDI092122017100003",1,10899,0,1692,9207
13, , ,"[TRVch# 4892 Dt:31/05/2017] , Billno-MDI092122017100004",1,6720,6048,672,0
0,Grand Total, , ,6,339911,65000,21290,253621
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,6,339911,65000,21290,253621
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,91575,25000,5582,60993
3, , ,"[TRVch# 1400 Dt:07/06/2017] , Billno-MDI09212052017-001",1,83007,25000,5582,52425
4, , ,"[TRVch# 2826 Dt:22/06/2017] , Billno-MDI092122017100007",1,8568,0,0,8568
5, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,14130,0,0,14130
6, , ,"[TRVch# 2815 Dt:22/06/2017] , Billno-MDI092122017100006",1,14130,0,0,14130
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,234206,40000,15708,178498
8, , ,"[TRVch# 1401 Dt:07/06/2017] , Billno-MDI09212052017-002",1,76092,20000,3060,53032
9, , ,"[TRVch# 1402 Dt:07/06/2017] , Billno-MDI09212052017-003",1,97487,0,10588,86899
10, , ,"[TRVch# 1403 Dt:07/06/2017] , Billno-MDI09212052017-004",1,60627,20000,2060,38567
0,Grand Total, , ,7,627228,65000,21454,540774
1,MDI09-212-PRINCIPAL GSSS BANDHI,Total, ,7,627228,65000,21454,540774
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,250000,0,0,250000
3, , ,"[TRVch# 473 Dt:20/07/2017] , Billno-MDI092122017100009",1,250000,0,0,250000
