,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,771403,178000,103509,489894
1,MDI09-215-PRINCIPAL GOVT DEGREE COLLEGE PANARSA,Total, ,5,771403,178000,103509,489894
2, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,5,771403,178000,103509,489894
3, , ,"[TRVch# 1948 Dt:29/04/2017] , Billno-MDI092152017100001",1,27447,0,10,27437
4, , ,"[TRVch# 860 Dt:07/04/2017] , Billno-MDI09215032017-001",1,463878,160000,77610,226268
5, , ,"[TRVch# 861 Dt:07/04/2017] , Billno-MDI09215032017-002",1,209471,0,23987,185484
6, , ,"[TRVch# 862 Dt:07/04/2017] , Billno-MDI09215032017-003",1,51130,18000,45,33085
7, , ,"[TRVch# 863 Dt:07/04/2017] , Billno-MDI09215032017-004",1,19477,0,1857,17620
0,Grand Total, , ,16,842896,217809,109633,515454
1,MDI09-215-PRINCIPAL GOVT DEGREE COLLEGE PANARSA,Total, ,16,842896,217809,109633,515454
2, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,9,826235,217809,109633,498793
3, , ,"[TRVch# 1389 Dt:08/05/2017] , Billno-MDI09215042017-001",1,459379,170000,75360,214019
4, , ,"[TRVch# 1390 Dt:08/05/2017] , Billno-MDI09215042017-002",1,173308,0,18204,155104
5, , ,"[TRVch# 1391 Dt:08/05/2017] , Billno-MDI09215042017-003",1,51769,18000,45,33724
6, , ,"[TRVch# 1392 Dt:08/05/2017] , Billno-MDI09215042017-004",1,81608,0,1912,79696
7, , ,"[TRVch# 3449 Dt:22/05/2017] , Billno-MDI092152017100003",1,17667,0,3546,14121
8, , ,"[TRVch# 3450 Dt:22/05/2017] , Billno-MDI092152017100004",1,5665,5665,0,0
9, , ,"[TRVch# 3451 Dt:22/05/2017] , Billno-MDI092152017100005",1,2141,0,212,1929
10, , ,"[TRVch# 4862 Dt:31/05/2017] , Billno-MDI092152017100020",1,34498,24144,10354,0
11, , ,"[TRVch# 4864 Dt:31/05/2017] , Billno-MDI092152017100021",1,200,0,0,200
12, ,08-2202-03-103-01-S00N-V-N-03-TRAVEL EXPENSES,Total,4,8744,0,0,8744
13, , ,"[TRVch# 1403 Dt:08/05/2017] , Billno-MDI092152017100006",1,4264,0,0,4264
14, , ,"[TRVch# 1404 Dt:08/05/2017] , Billno-MDI092152017100008",1,1022,0,0,1022
15, , ,"[TRVch# 1405 Dt:08/05/2017] , Billno-MDI092152017100009",1,1386,0,0,1386
16, , ,"[TRVch# 4863 Dt:31/05/2017] , Billno-MDI092152017100019",1,2072,0,0,2072
17, ,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,3244,0,0,3244
18, , ,"[TRVch# 3397 Dt:22/05/2017] , Billno-MDI092152017100017",1,3244,0,0,3244
19, ,08-2202-03-103-01-S00N-V-N-64-TRANSFER EXPENSES,Total,2,4673,0,0,4673
20, , ,"[TRVch# 3396 Dt:22/05/2017] , Billno-MDI092152017100015",1,3103,0,0,3103
21, , ,"[TRVch# 3398 Dt:22/05/2017] , Billno-MDI092152017100016",1,1570,0,0,1570
0,Grand Total, , ,8,2600336,313000,147289,2140047
1,MDI09-215-PRINCIPAL GOVT DEGREE COLLEGE PANARSA,Total, ,8,2600336,313000,147289,2140047
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,1500000,0,0,1500000
3, , ,"[TRVch# 302 Dt:22/06/2017] , Billno-MDI092152017100025",1,1400000,0,0,1400000
4, , ,"[TRVch# 84 Dt:07/06/2017] , Billno-MDI092152017100024",1,100000,0,0,100000
5, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,5,1099973,313000,147289,639684
6, , ,"[TRVch# 1408 Dt:07/06/2017] , Billno-MDI09215052017-001",1,722930,275000,123600,324330
7, , ,"[TRVch# 1409 Dt:07/06/2017] , Billno-MDI09215052017-002",1,185214,0,18672,166542
8, , ,"[TRVch# 1410 Dt:07/06/2017] , Billno-MDI09215052017-003",1,109721,38000,3105,68616
9, , ,"[TRVch# 1411 Dt:07/06/2017] , Billno-MDI09215052017-004",1,81608,0,1912,79696
10, , ,"[TRVch# 2811 Dt:22/06/2017] , Billno-MDI092152017100023",1,500,0,0,500
11, ,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,363,0,0,363
12, , ,"[TRVch# 3435 Dt:30/06/2017] , Billno-MDI092152017100027",1,363,0,0,363
0,Grand Total, , ,6,1001009,236000,128412,636597
1,MDI09-215-PRINCIPAL GOVT DEGREE COLLEGE PANARSA,Total, ,6,1001009,236000,128412,636597
2, ,08-2202-03-103-01-S00N-V-N-01-SALARIES,Total,4,996455,236000,128412,632043
3, , ,"[TRVch# 1304 Dt:10/07/2017] , Billno-MDI09215062017-001",1,567561,215000,98480,254081
4, , ,"[TRVch# 1305 Dt:10/07/2017] , Billno-MDI09215062017-002",1,238252,0,24910,213342
5, , ,"[TRVch# 1306 Dt:10/07/2017] , Billno-MDI09215062017-003",1,109721,21000,3105,85616
6, , ,"[TRVch# 1307 Dt:10/07/2017] , Billno-MDI09215062017-004",1,80921,0,1917,79004
7, ,08-2202-03-103-01-S00N-V-N-05-OFFICE EXPENSES,Total,2,4554,0,0,4554
8, , ,"[TRVch# 1308 Dt:10/07/2017] , Billno-MDI092152017100028",1,1159,0,0,1159
9, , ,"[TRVch# 2878 Dt:31/07/2017] , Billno-MDI092152017100029",1,3395,0,0,3395
0,Grand Total, , ,8,1032551,196000,156133,680418
1,MDI09-215-PRINCIPAL GOVT DEGREE COLLEGE PANARSA,Total, ,8,1032551,196000,156133,680418
