,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,261291,26000,16492,218799
1,MDI10-226-GSSS POKHI,Total, ,6,261291,26000,16492,218799
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,131211,12000,8382,110829
3, , ,"[TRVch# 1024 Dt:07/04/2017] , Billno-MDI10226032017-001",1,26820,12000,15,14805
4, , ,"[TRVch# 1025 Dt:07/04/2017] , Billno-MDI10226032017-002",1,87857,0,8367,79490
5, , ,"[TRVch# 1026 Dt:07/04/2017] , Billno-MDI10226032017-003",1,16534,0,0,16534
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,130080,14000,8110,107970
7, , ,"[TRVch# 1027 Dt:07/04/2017] , Billno-MDI10226032017-004",1,49441,0,4770,44671
8, , ,"[TRVch# 1028 Dt:07/04/2017] , Billno-MDI10226032017-005",1,28579,14000,30,14549
9, , ,"[TRVch# 1029 Dt:07/04/2017] , Billno-MDI10226032017-006",1,52060,0,3310,48750
0,Grand Total, , ,12,293246,32207,27439,233600
1,MDI10-226-GSSS POKHI,Total, ,12,293246,32207,27439,233600
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,146972,14993,9528,122451
3, , ,"[TRVch# 1576 Dt:08/05/2017] , Billno-MDI10226042017-001",1,27157,12000,15,15142
4, , ,"[TRVch# 1577 Dt:08/05/2017] , Billno-MDI10226042017-002",1,89109,0,8519,80590
5, , ,"[TRVch# 1578 Dt:08/05/2017] , Billno-MDI10226042017-003",1,17434,0,0,17434
6, , ,"[TRVch# 1660 Dt:08/05/2017] , Billno-MDI102262017100004",1,2993,2993,0,0
7, , ,"[TRVch# 1661 Dt:08/05/2017] , Billno-MDI102262017100005",1,9929,0,994,8935
8, , ,"[TRVch# 4984 Dt:31/05/2017] , Billno-MDI102262017100006",1,350,0,0,350
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,146274,17214,17911,111149
10, , ,"[TRVch# 1579 Dt:08/05/2017] , Billno-MDI10226042017-004",1,50063,0,6033,44030
11, , ,"[TRVch# 1580 Dt:08/05/2017] , Billno-MDI10226042017-005",1,28941,14000,30,14911
12, , ,"[TRVch# 1581 Dt:08/05/2017] , Billno-MDI10226042017-006",1,54579,0,10898,43681
13, , ,"[TRVch# 1657 Dt:08/05/2017] , Billno-MDI102262017100001",1,5562,0,554,5008
14, , ,"[TRVch# 1658 Dt:08/05/2017] , Billno-MDI102262017100002",1,3214,3214,0,0
15, , ,"[TRVch# 1659 Dt:08/05/2017] , Billno-MDI102262017100003",1,3915,0,396,3519
0,Grand Total, , ,8,286528,26000,42638,217890
1,MDI10-226-GSSS POKHI,Total, ,8,286528,26000,42638,217890
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,133700,12000,25662,96038
3, , ,"[TRVch# 1596 Dt:07/06/2017] , Billno-MDI10226052017-001",1,27157,12000,15,15142
4, , ,"[TRVch# 1597 Dt:07/06/2017] , Billno-MDI10226052017-002",1,89109,0,25647,63462
5, , ,"[TRVch# 1598 Dt:07/06/2017] , Billno-MDI10226052017-003",1,17434,0,0,17434
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,148843,14000,16976,117867
7, , ,"[TRVch# 1599 Dt:07/06/2017] , Billno-MDI10226052017-004",1,50063,0,6033,44030
8, , ,"[TRVch# 1600 Dt:07/06/2017] , Billno-MDI10226052017-006",1,15260,0,15,15245
9, , ,"[TRVch# 1601 Dt:07/06/2017] , Billno-MDI10226052017-007",1,54579,0,10898,43681
10, , ,"[TRVch# 1649 Dt:07/06/2017] , Billno-MDI10226052017-005",1,28941,14000,30,14911
11, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,3985,0,0,3985
12, , ,"[TRVch# 2836 Dt:22/06/2017] , Billno-MDI102262017100007",1,3985,0,0,3985
0,Grand Total, , ,11,555529,26000,42836,486693
1,MDI10-226-GSSS POKHI,Total, ,11,555529,26000,42836,486693
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,250000,0,0,250000
