DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,67,2779301,412883,96581,2269837
MDI10-238-PRINCIPAL GSSS PORLA,Total, ,67,2779301,412883,96581,2269837
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,12,690457,0,470,689987
 , ,"[TRVch# 1221 Dt:06/12/2017] , Billno-MDI10238112017-001",1,66205,0,335,65870
 , ,"[TRVch# 1235 Dt:07/04/2018] , Billno-MDI10238032018-001",1,68179,0,15,68164
 , ,"[TRVch# 1358 Dt:07/03/2018] , Billno-MDI10238022018-001",1,67581,0,15,67566
 , ,"[TRVch# 1366 Dt:10/05/2018] , Billno-MDI10238042018-001",1,70679,0,15,70664
 , ,"[TRVch# 1409 Dt:07/07/2018] , Billno-MDI10238062018-001",1,70679,0,15,70664
 , ,"[TRVch# 1426 Dt:07/02/2018] , Billno-MDI10238012018-001",1,66717,0,15,66702
 , ,"[TRVch# 1434 Dt:08/06/2018] , Billno-MDI10238052018-001",1,70679,0,15,70664
 , ,"[TRVch# 1438 Dt:09/01/2018] , Billno-MDI10238122017-001",1,66205,0,15,66190
 , ,"[TRVch# 1475 Dt:08/11/2017] , Billno-MDI10238102017-001",1,66205,0,15,66190
 , ,"[TRVch# 3145 Dt:22/02/2018] , Billno-MDI102382017100024",1,1116,0,0,1116
 , ,"[TRVch# 4650 Dt:22/03/2018] , Billno-MDI102382017100034",1,5184,0,0,5184
 , ,"[TRVch# 934 Dt:07/08/2018] , Billno-MDI10238072018-001",1,71028,0,15,71013
 ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,2,4896,0,0,4896
 , ,"[TRVch# 1497 Dt:09/01/2018] , Billno-MDI102382017100017",1,3536,0,0,3536
 , ,"[TRVch# 2561 Dt:21/06/2018] , Billno-MDI102382018100007",1,1360,0,0,1360
 ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,3,4829,0,0,4829
 , ,"[TRVch# 2912 Dt:30/01/2018] , Billno-MDI102382017100020",1,1360,0,0,1360
 , ,"[TRVch# 2913 Dt:30/01/2018] , Billno-MDI102382017100022",1,2030,0,0,2030
 , ,"[TRVch# 4654 Dt:22/03/2018] , Billno-MDI102382017100037",1,1439,0,0,1439
