,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,898563,212737,70105,615721
1,MDI10-537-TEHSILDAR KARSOG,Total, ,5,898563,212737,70105,615721
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,775213,212737,70060,492416
3, , ,"[TRVch# 25 Dt:07/04/2017] , Billno-MDI10537032017-001",1,582340,212737,65344,304259
4, , ,"[TRVch# 26 Dt:07/04/2017] , Billno-MDI10537032017-002",1,73660,0,4716,68944
5, , ,"[TRVch# 27 Dt:07/04/2017] , Billno-MDI10537032017-003",1,119213,0,0,119213
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,123350,0,45,123305
7, , ,"[TRVch# 28 Dt:07/04/2017] , Billno-MDI10537032017-004",1,93350,0,45,93305
8, , ,"[TRVch# 58 Dt:29/04/2017] , Billno-MDI105372017100002",1,30000,0,0,30000
0,Grand Total, , ,5,955431,215737,8358,731336
1,MDI10-537-TEHSILDAR KARSOG,Total, ,5,955431,215737,8358,731336
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,819117,215737,6677,596703
3, , ,"[TRVch# 36 Dt:08/05/2017] , Billno-MDI10537042017-001",1,602675,215737,390,386548
4, , ,"[TRVch# 37 Dt:08/05/2017] , Billno-MDI10537042017-002",1,91054,0,6287,84767
5, , ,"[TRVch# 38 Dt:08/05/2017] , Billno-MDI10537042017-003",1,125388,0,0,125388
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,136314,0,1681,134633
7, , ,"[TRVch# 39 Dt:08/05/2017] , Billno-MDI10537042017-004",1,110647,0,1681,108966
8, , ,"[TRVch# 41 Dt:08/05/2017] , Billno-MDI105372017100001",1,25667,0,0,25667
0,Grand Total, , ,6,963106,227737,9889,725480
1,MDI10-537-TEHSILDAR KARSOG,Total, ,6,963106,227737,9889,725480
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,819665,227737,6677,585251
3, , ,"[TRVch# 35 Dt:07/06/2017] , Billno-MDI10537052017-001",1,603125,227737,390,374998
4, , ,"[TRVch# 36 Dt:07/06/2017] , Billno-MDI10537052017-002",1,91054,0,6287,84767
5, , ,"[TRVch# 37 Dt:07/06/2017] , Billno-MDI10537052017-003",1,125486,0,0,125486
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,3,143441,0,3212,140229
7, , ,"[TRVch# 38 Dt:07/06/2017] , Billno-MDI10537052017-004",1,110647,0,1681,108966
8, , ,"[TRVch# 39 Dt:07/06/2017] , Billno-MDI105372017100003",1,16667,0,0,16667
9, , ,"[TRVch# 98 Dt:30/06/2017] , Billno-MDI105372017100004",1,16127,0,1531,14596
0,Grand Total, , ,5,964776,227737,11528,725511
1,MDI10-537-TEHSILDAR KARSOG,Total, ,5,964776,227737,11528,725511
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,824796,227737,9847,587212
3, , ,"[TRVch# 42 Dt:10/07/2017] , Billno-MDI10537062017-001",1,606063,227737,390,377936
4, , ,"[TRVch# 43 Dt:10/07/2017] , Billno-MDI10537062017-002",1,92464,0,9457,83007
5, , ,"[TRVch# 44 Dt:10/07/2017] , Billno-MDI10537062017-003",1,126269,0,0,126269
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,139980,0,1681,138299
7, , ,"[TRVch# 45 Dt:10/07/2017] , Billno-MDI10537062017-004",1,110647,0,1681,108966
8, , ,"[TRVch# 46 Dt:10/07/2017] , Billno-MDI105372017100005",1,29333,0,0,29333
0,Grand Total, , ,5,922612,213737,12212,696663
1,MDI10-537-TEHSILDAR KARSOG,Total, ,5,922612,213737,12212,696663
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,780508,213737,10389,556382
3, , ,"[TRVch# 40 Dt:09/08/2017] , Billno-MDI10537072017-001",1,555822,213737,360,341725
4, , ,"[TRVch# 41 Dt:09/08/2017] , Billno-MDI10537072017-002",1,98339,0,10029,88310
5, , ,"[TRVch# 42 Dt:09/08/2017] , Billno-MDI10537072017-003",1,126347,0,0,126347
6, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,142104,0,1823,140281
7, , ,"[TRVch# 43 Dt:09/08/2017] , Billno-MDI10537072017-004",1,112104,0,1823,110281
8, , ,"[TRVch# 44 Dt:09/08/2017] , Billno-MDI105372017100006",1,30000,0,0,30000
0,Grand Total, , ,13,990532,213737,12212,764583
1,MDI10-537-TEHSILDAR KARSOG,Total, ,13,990532,213737,12212,764583
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,781518,213737,10389,557392
3, , ,"[TRVch# 43 Dt:08/09/2017] , Billno-MDI10537082017-001",1,565111,213737,360,351014
4, , ,"[TRVch# 44 Dt:08/09/2017] , Billno-MDI10537082017-002",1,99779,0,10029,89750
5, , ,"[TRVch# 45 Dt:08/09/2017] , Billno-MDI10537082017-003",1,116628,0,0,116628
6, ,05-2029-00-103-02-S00N-V-N-03-TRAVEL EXPENSES,Total,4,53126,0,0,53126
7, , ,"[TRVch# 112 Dt:29/09/2017] , Billno-MDI105372017100012",1,5766,0,0,5766
8, , ,"[TRVch# 113 Dt:29/09/2017] , Billno-MDI105372017100013",1,22224,0,0,22224
9, , ,"[TRVch# 114 Dt:29/09/2017] , Billno-MDI105372017100011",1,23824,0,0,23824
10, , ,"[TRVch# 115 Dt:29/09/2017] , Billno-MDI105372017100014",1,1312,0,0,1312
11, ,05-2029-00-103-02-S00N-V-N-05-OFFICE EXPENSES,Total,2,6375,0,0,6375
12, , ,"[TRVch# 110 Dt:29/09/2017] , Billno-MDI105372017100008",1,4935,0,0,4935
13, , ,"[TRVch# 111 Dt:29/09/2017] , Billno-MDI105372017100009",1,1440,0,0,1440
14, ,05-2029-00-103-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,5561,0,0,5561
