,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,211582,65000,9090,137492
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,4,211582,65000,9090,137492
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,84404,30000,2030,52374
3, , ,"[TRVch# 1497 Dt:07/04/2017] , Billno-MDI11216032017-001",1,52794,30000,2030,20764
4, , ,"[TRVch# 1498 Dt:07/04/2017] , Billno-MDI11216032017-002",1,31610,0,0,31610
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,127178,35000,7060,85118
6, , ,"[TRVch# 1499 Dt:07/04/2017] , Billno-MDI11216032017-003",1,77402,35000,7060,35342
7, , ,"[TRVch# 1500 Dt:07/04/2017] , Billno-MDI11216032017-004",1,49776,0,0,49776
0,Grand Total, , ,10,272902,78239,10580,184083
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,10,272902,78239,10580,184083
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,92774,35403,2630,54741
3, , ,"[TRVch# 1733 Dt:08/05/2017] , Billno-MDI11216042017-001",1,53461,30000,2030,21431
4, , ,"[TRVch# 1734 Dt:08/05/2017] , Billno-MDI11216042017-002",1,33310,0,0,33310
5, , ,"[TRVch# 3671 Dt:22/05/2017] , Billno-MDI112162017100001",1,6003,5403,600,0
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,179178,42836,7950,128392
7, , ,"[TRVch# 1735 Dt:08/05/2017] , Billno-MDI11216042017-003",1,78388,35000,7060,36328
8, , ,"[TRVch# 1736 Dt:08/05/2017] , Billno-MDI11216042017-004",1,68056,0,15,68041
9, , ,"[TRVch# 3672 Dt:22/05/2017] , Billno-MDI112162017100003",1,5058,0,5,5053
10, , ,"[TRVch# 3673 Dt:22/05/2017] , Billno-MDI112162017100004",1,18970,0,0,18970
11, , ,"[TRVch# 3695 Dt:22/05/2017] , Billno-MDI112162017100002",1,8706,7836,870,0
12, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,2,950,0,0,950
13, , ,"[TRVch# 5847 Dt:31/05/2017] , Billno-MDI112162017100005",1,450,0,0,450
14, , ,"[TRVch# 5848 Dt:31/05/2017] , Billno-MDI112162017100006",1,500,0,0,500
0,Grand Total, , ,5,342386,65000,15136,262250
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,5,342386,65000,15136,262250
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,98935,30000,2035,66900
3, , ,"[TRVch# 1768 Dt:07/06/2017] , Billno-MDI11216052017-001",1,53461,30000,2030,21431
4, , ,"[TRVch# 1769 Dt:07/06/2017] , Billno-MDI11216052017-002",1,45474,0,5,45469
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,243451,35000,13101,195350
6, , ,"[TRVch# 1770 Dt:07/06/2017] , Billno-MDI11216052017-003",1,78388,35000,7060,36328
7, , ,"[TRVch# 1771 Dt:07/06/2017] , Billno-MDI11216052017-004",1,146506,0,6041,140465
8, , ,"[TRVch# 2941 Dt:22/06/2017] , Billno-MDI112162017100007",1,18557,0,0,18557
0,Grand Total, , ,4,366324,65000,15136,286188
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,4,366324,65000,15136,286188
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,102481,30000,2035,70446
3, , ,"[TRVch# 1660 Dt:10/07/2017] , Billno-MDI11216062017-001",1,53461,30000,2030,21431
4, , ,"[TRVch# 1661 Dt:10/07/2017] , Billno-MDI11216062017-002",1,49020,0,5,49015
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,263843,35000,13101,215742
6, , ,"[TRVch# 1662 Dt:10/07/2017] , Billno-MDI11216062017-003",1,78388,35000,7060,36328
7, , ,"[TRVch# 1663 Dt:10/07/2017] , Billno-MDI11216062017-004",1,185455,0,6041,179414
0,Grand Total, , ,6,370436,65000,16468,288968
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,6,370436,65000,16468,288968
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,104155,30000,3367,70788
3, , ,"[TRVch# 1562 Dt:09/08/2017] , Billno-MDI11216072017-001",1,55085,30000,2030,23055
4, , ,"[TRVch# 1563 Dt:09/08/2017] , Billno-MDI11216072017-002",1,49070,0,1337,47733
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,263993,35000,13101,215892
6, , ,"[TRVch# 1564 Dt:09/08/2017] , Billno-MDI11216072017-003",1,78388,35000,7060,36328
7, , ,"[TRVch# 1565 Dt:09/08/2017] , Billno-MDI11216072017-004",1,185605,0,6041,179564
8, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,500,0,0,500
9, , ,"[TRVch# 3256 Dt:31/08/2017] , Billno-MDI112162017100009",1,500,0,0,500
10, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,1788,0,0,1788
11, , ,"[TRVch# 2558 Dt:24/08/2017] , Billno-MDI112162017100008",1,1788,0,0,1788
0,Grand Total, , ,4,349914,35000,14438,300476
1,MDI11-216-PRINCIPAL GSSS KATHOG,Total, ,4,349914,35000,14438,300476
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,49318,0,1337,47981
3, , ,"[TRVch# 1710 Dt:08/09/2017] , Billno-MDI11216082017-001",1,49318,0,1337,47981
4, ,08-2202-01-101-03-S00N-V-P-01-SALARIES,Total,1,17434,0,0,17434
5, , ,"[TRVch# 1711 Dt:08/09/2017] , Billno-MDI11216082017-002",1,17434,0,0,17434
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,283162,35000,13101,235061
7, , ,"[TRVch# 1712 Dt:08/09/2017] , Billno-MDI11216082017-003",1,79703,35000,7060,37643
