DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,39,27370000,0,0,27370000
MDI12-002-SUB POSTMASTER SARKAGHAT,Total, ,39,27370000,0,0,27370000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,39,27370000,0,0,27370000
 , ,"[TRVch# 1 Dt:06/12/2017] , Billno-MDI1200217B8658001",1,370000,0,0,370000
 , ,"[TRVch# 10 Dt:07/07/2018] , Billno-MDI120021878658001",1,600000,0,0,600000
 , ,"[TRVch# 11 Dt:07/07/2018] , Billno-MDI120021878658002",1,900000,0,0,900000
 , ,"[TRVch# 11 Dt:24/04/2018] , Billno-MDI120021848658002",1,600000,0,0,600000
 , ,"[TRVch# 12 Dt:24/04/2018] , Billno-MDI120021848658003",1,400000,0,0,400000
 , ,"[TRVch# 13 Dt:24/04/2018] , Billno-MDI120021848658004",1,500000,0,0,500000
 , ,"[TRVch# 13 Dt:24/10/2017] , Billno-MDI120021708658001",1,300000,0,0,300000
 , ,"[TRVch# 14 Dt:24/10/2017] , Billno-MDI120021708658002",1,800000,0,0,800000
 , ,"[TRVch# 17 Dt:21/06/2018] , Billno-MDI120021868658001",1,300000,0,0,300000
 , ,"[TRVch# 18 Dt:07/02/2018] , Billno-MDI120021728658001",1,1000000,0,0,1000000
 , ,"[TRVch# 18 Dt:21/06/2018] , Billno-MDI120021868658002",1,400000,0,0,400000
 , ,"[TRVch# 19 Dt:07/02/2018] , Billno-MDI120021728658002",1,1200000,0,0,1200000
 , ,"[TRVch# 19 Dt:21/04/2017] , Billno-MDI120021748658003",1,300000,0,0,300000
 , ,"[TRVch# 19 Dt:21/06/2018] , Billno-MDI120021868658003",1,500000,0,0,500000
 , ,"[TRVch# 20 Dt:21/04/2017] , Billno-MDI120021748658004",1,500000,0,0,500000
 , ,"[TRVch# 20 Dt:21/06/2018] , Billno-MDI120021868658004",1,600000,0,0,600000
 , ,"[TRVch# 22 Dt:22/01/2018] , Billno-MDI120021718658002",1,800000,0,0,800000
 , ,"[TRVch# 23 Dt:22/01/2018] , Billno-MDI120021718658003",1,500000,0,0,500000
 , ,"[TRVch# 24 Dt:22/01/2018] , Billno-MDI120021718658004",1,800000,0,0,800000
 , ,"[TRVch# 27 Dt:22/06/2017] , Billno-MDI120021768658001",1,500000,0,0,500000
 , ,"[TRVch# 3 Dt:07/04/2018] , Billno-MDI120021848658001",1,500000,0,0,500000
 , ,"[TRVch# 3 Dt:09/01/2018] , Billno-MDI120021718658001",1,600000,0,0,600000
 , ,"[TRVch# 33 Dt:22/03/2018] , Billno-MDI120021738658003",1,700000,0,0,700000
 , ,"[TRVch# 34 Dt:22/03/2018] , Billno-MDI120021738658004",1,1500000,0,0,1500000
 , ,"[TRVch# 35 Dt:22/03/2018] , Billno-MDI120021738658005",1,500000,0,0,500000
 , ,"[TRVch# 36 Dt:22/03/2018] , Billno-MDI120021738658006",1,700000,0,0,700000
 , ,"[TRVch# 4 Dt:07/03/2018] , Billno-MDI120021738658001",1,1000000,0,0,1000000
 , ,"[TRVch# 43 Dt:30/01/2018] , Billno-MDI120021718658005",1,1000000,0,0,1000000
 , ,"[TRVch# 46 Dt:22/02/2018] , Billno-MDI120021728658003",1,1000000,0,0,1000000
 , ,"[TRVch# 47 Dt:22/02/2018] , Billno-MDI120021728658004",1,1000000,0,0,1000000
 , ,"[TRVch# 48 Dt:22/02/2018] , Billno-MDI120021728658005",1,500000,0,0,500000
 , ,"[TRVch# 5 Dt:07/03/2018] , Billno-MDI120021738658002",1,1000000,0,0,1000000
 , ,"[TRVch# 5 Dt:07/04/2017] , Billno-MDI120021748658001",1,500000,0,0,500000
 , ,"[TRVch# 53 Dt:26/02/2018] , Billno-MDI120021728658006",1,1000000,0,0,1000000
 , ,"[TRVch# 54 Dt:26/02/2018] , Billno-MDI120021728658007",1,1000000,0,0,1000000
 , ,"[TRVch# 54 Dt:27/04/2018] , Billno-MDI120021848658005",1,300000,0,0,300000
 , ,"[TRVch# 56 Dt:31/05/2018] , Billno-MDI120021858658001",1,300000,0,0,300000
 , ,"[TRVch# 6 Dt:07/04/2017] , Billno-MDI120021748658002",1,200000,0,0,200000
 , ,"[TRVch# 69 Dt:28/02/2018] , Billno-MDI120021728658008",1,2200000,0,0,2200000
