,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,2325223,386000,32554,1906669
1,MDI12-237-GSSS BRARTA,Total, ,7,2325223,386000,32554,1906669
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,1200000,0,0,1200000
3, , ,"[TRVch# 1107 Dt:29/04/2017] , Billno-MDI122372017100002",1,500000,0,0,500000
4, , ,"[TRVch# 517 Dt:21/04/2017] , Billno-MDI122372017100001",1,700000,0,0,700000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,225478,65000,8433,152045
6, , ,"[TRVch# 1641 Dt:07/04/2017] , Billno-MDI12237032017-001",1,123718,65000,60,58658
7, , ,"[TRVch# 1642 Dt:07/04/2017] , Billno-MDI12237032017-002",1,101760,0,8373,93387
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,899745,321000,24121,554624
9, , ,"[TRVch# 1643 Dt:07/04/2017] , Billno-MDI12237032017-003",1,84505,45000,60,39445
10, , ,"[TRVch# 1644 Dt:07/04/2017] , Billno-MDI12237032017-004",1,585304,276000,480,308824
11, , ,"[TRVch# 1645 Dt:07/04/2017] , Billno-MDI12237032017-005",1,229936,0,23581,206355
0,Grand Total, , ,25,1946926,412041,76879,1458006
1,MDI12-237-GSSS BRARTA,Total, ,25,1946926,412041,76879,1458006
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,700000,0,0,700000
3, , ,"[TRVch# 1002 Dt:31/05/2017] , Billno-MDI122372017100029",1,100000,0,0,100000
4, , ,"[TRVch# 995 Dt:31/05/2017] , Billno-MDI122372017100028",1,600000,0,0,600000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,274099,82041,16749,175309
6, , ,"[TRVch# 1885 Dt:08/05/2017] , Billno-MDI12237042017-001",1,125969,70000,4060,51909
7, , ,"[TRVch# 1887 Dt:08/05/2017] , Billno-MDI12237042017-002",1,119218,0,11698,107520
8, , ,"[TRVch# 1945 Dt:08/05/2017] , Billno-MDI122372017100003",1,7027,0,5,7022
9, , ,"[TRVch# 5459 Dt:31/05/2017] , Billno-MDI122372017100005",1,9844,0,986,8858
10, , ,"[TRVch# 5460 Dt:31/05/2017] , Billno-MDI122372017100006",1,12041,12041,0,0
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,918270,330000,60130,528140
12, , ,"[TRVch# 1888 Dt:08/05/2017] , Billno-MDI12237042017-003",1,88121,50000,8060,30061
13, , ,"[TRVch# 1889 Dt:08/05/2017] , Billno-MDI12237042017-004",1,592746,280000,26480,286266
14, , ,"[TRVch# 1890 Dt:08/05/2017] , Billno-MDI12237042017-005",1,237403,0,25590,211813
15, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,6,7238,0,0,7238
16, , ,"[TRVch# 5462 Dt:31/05/2017] , Billno-MDI122372017100017",1,336,0,0,336
17, , ,"[TRVch# 5463 Dt:31/05/2017] , Billno-MDI122372017100018",1,752,0,0,752
18, , ,"[TRVch# 5464 Dt:31/05/2017] , Billno-MDI122372017100020",1,496,0,0,496
19, , ,"[TRVch# 5465 Dt:31/05/2017] , Billno-MDI122372017100021",1,496,0,0,496
20, , ,"[TRVch# 5497 Dt:31/05/2017] , Billno-MDI122372017100019",1,1154,0,0,1154
21, , ,"[TRVch# 5502 Dt:31/05/2017] , Billno-MDI122372017100022",1,4004,0,0,4004
22, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,5,15392,0,0,15392
23, , ,"[TRVch# 5461 Dt:31/05/2017] , Billno-MDI122372017100011",1,664,0,0,664
24, , ,"[TRVch# 5498 Dt:31/05/2017] , Billno-MDI122372017100013",1,625,0,0,625
25, , ,"[TRVch# 5499 Dt:31/05/2017] , Billno-MDI122372017100010",1,4446,0,0,4446
26, , ,"[TRVch# 5500 Dt:31/05/2017] , Billno-MDI122372017100009",1,7184,0,0,7184
27, , ,"[TRVch# 5501 Dt:31/05/2017] , Billno-MDI122372017100008",1,2473,0,0,2473
28, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,4,31927,0,0,31927
29, , ,"[TRVch# 888 Dt:31/05/2017] , Billno-MDI122372017100023",1,8084,0,0,8084
30, , ,"[TRVch# 889 Dt:31/05/2017] , Billno-MDI122372017100024",1,17107,0,0,17107
31, , ,"[TRVch# 890 Dt:31/05/2017] , Billno-MDI122372017100025",1,2595,0,0,2595
32, , ,"[TRVch# 891 Dt:31/05/2017] , Billno-MDI122372017100026",1,4141,0,0,4141
0,Grand Total, , ,18,1660554,498629,78812,1083113
1,MDI12-237-GSSS BRARTA,Total, ,18,1660554,498629,78812,1083113
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,300000,0,0,300000
3, , ,"[TRVch# 698 Dt:30/06/2017] , Billno-MDI122372017100042",1,50000,0,0,50000
4, , ,"[TRVch# 699 Dt:30/06/2017] , Billno-MDI122372017100043",1,250000,0,0,250000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,245187,70000,15758,159429
6, , ,"[TRVch# 1979 Dt:07/06/2017] , Billno-MDI12237052017-001",1,125969,70000,4060,51909
7, , ,"[TRVch# 1980 Dt:07/06/2017] , Billno-MDI12237052017-002",1,119218,0,11698,107520
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1046048,428629,63054,554365
9, , ,"[TRVch# 1981 Dt:07/06/2017] , Billno-MDI12237052017-003",1,88121,50000,8060,30061
10, , ,"[TRVch# 1982 Dt:07/06/2017] , Billno-MDI12237052017-004",1,592746,280000,26480,286266
11, , ,"[TRVch# 1983 Dt:07/06/2017] , Billno-MDI12237052017-005",1,237403,0,25590,211813
12, , ,"[TRVch# 3010 Dt:22/06/2017] , Billno-MDI122372017100030",1,29149,0,2924,26225
13, , ,"[TRVch# 3011 Dt:22/06/2017] , Billno-MDI122372017100031",1,14016,14016,0,0
14, , ,"[TRVch# 3012 Dt:22/06/2017] , Billno-MDI122372017100032",1,84613,84613,0,0
15, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1868,0,0,1868
16, , ,"[TRVch# 3002 Dt:22/06/2017] , Billno-MDI122372017100039",1,1868,0,0,1868
17, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,5580,0,0,5580
18, , ,"[TRVch# 3647 Dt:30/06/2017] , Billno-MDI122372017100041",1,5580,0,0,5580
19, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,5,17051,0,0,17051
20, , ,"[TRVch# 2998 Dt:22/06/2017] , Billno-MDI122372017100035",1,2778,0,0,2778
21, , ,"[TRVch# 2999 Dt:22/06/2017] , Billno-MDI122372017100036",1,1004,0,0,1004
22, , ,"[TRVch# 3000 Dt:22/06/2017] , Billno-MDI122372017100037",1,1186,0,0,1186
23, , ,"[TRVch# 3001 Dt:22/06/2017] , Billno-MDI122372017100038",1,398,0,0,398
24, , ,"[TRVch# 3648 Dt:30/06/2017] , Billno-MDI122372017100044",1,11685,0,0,11685
25, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,44820,0,0,44820
26, , ,"[TRVch# 2989 Dt:22/06/2017] , Billno-MDI122372017100033",1,44820,0,0,44820
0,Grand Total, , ,6,1492302,400000,76155,1016147
1,MDI12-237-GSSS BRARTA,Total, ,6,1492302,400000,76155,1016147
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 980 Dt:31/07/2017] , Billno-MDI122372017100047",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,259394,70000,15871,173523
5, , ,"[TRVch# 1849 Dt:10/07/2017] , Billno-MDI12237062017-001",1,139119,70000,4069,65050
6, , ,"[TRVch# 1850 Dt:10/07/2017] , Billno-MDI12237062017-002",1,120275,0,11802,108473
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,932908,330000,60284,542624
8, , ,"[TRVch# 1851 Dt:10/07/2017] , Billno-MDI12237062017-003",1,88121,50000,8060,30061
9, , ,"[TRVch# 1852 Dt:10/07/2017] , Billno-MDI12237062017-004",1,592746,280000,26480,286266
10, , ,"[TRVch# 1853 Dt:10/07/2017] , Billno-MDI12237062017-005",1,252041,0,25744,226297
0,Grand Total, , ,16,2277867,407449,76477,1793941
1,MDI12-237-GSSS BRARTA,Total, ,16,2277867,407449,76477,1793941
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1050000,0,0,1050000
3, , ,"[TRVch# 542 Dt:24/08/2017] , Billno-MDI122372017100054",1,450000,0,0,450000
4, , ,"[TRVch# 587 Dt:24/08/2017] , Billno-MDI122372017100059",1,500000,0,0,500000
5, , ,"[TRVch# 922 Dt:31/08/2017] , Billno-MDI122372017100060",1,100000,0,0,100000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,266488,70000,16193,180295
7, , ,"[TRVch# 1712 Dt:09/08/2017] , Billno-MDI12237072017-001",1,141333,70000,4069,67264
8, , ,"[TRVch# 1713 Dt:09/08/2017] , Billno-MDI12237072017-002",1,123565,0,12124,111441
9, , ,"[TRVch# 3155 Dt:31/08/2017] , Billno-MDI122372017100063",1,200,0,0,200
10, , ,"[TRVch# 3158 Dt:31/08/2017] , Billno-MDI122372017100057",1,1190,0,0,1190
11, , ,"[TRVch# 3159 Dt:31/08/2017] , Billno-MDI122372017100062",1,200,0,0,200
12, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,944532,337449,60284,546799
13, , ,"[TRVch# 1714 Dt:09/08/2017] , Billno-MDI12237072017-003",1,88121,50000,8060,30061
14, , ,"[TRVch# 1715 Dt:09/08/2017] , Billno-MDI12237072017-004",1,593686,280000,26480,287206
15, , ,"[TRVch# 1716 Dt:09/08/2017] , Billno-MDI12237072017-005",1,254576,0,25744,228832
16, , ,"[TRVch# 2598 Dt:24/08/2017] , Billno-MDI122372017100055",1,7449,7449,0,0
17, , ,"[TRVch# 3156 Dt:31/08/2017] , Billno-MDI122372017100064",1,600,0,0,600
18, , ,"[TRVch# 3157 Dt:31/08/2017] , Billno-MDI122372017100065",1,100,0,0,100
19, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,4397,0,0,4397
20, , ,"[TRVch# 2595 Dt:24/08/2017] , Billno-MDI122372017100048",1,4397,0,0,4397
21, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,12450,0,0,12450
22, , ,"[TRVch# 3160 Dt:31/08/2017] , Billno-MDI122372017100061",1,12450,0,0,12450
0,Grand Total, , ,7,1195733,415000,69202,711531
1,MDI12-237-GSSS BRARTA,Total, ,7,1195733,415000,69202,711531
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,269243,70000,16193,183050
3, , ,"[TRVch# 1866 Dt:08/09/2017] , Billno-MDI12237082017-001",1,143791,70000,4069,69722
4, , ,"[TRVch# 1867 Dt:08/09/2017] , Billno-MDI12237082017-002",1,125452,0,12124,113328
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,921091,345000,53009,523082
6, , ,"[TRVch# 1868 Dt:08/09/2017] , Billno-MDI12237082017-003",1,89602,50000,8060,31542
7, , ,"[TRVch# 1869 Dt:08/09/2017] , Billno-MDI12237082017-004",1,609268,295000,25873,288395
8, , ,"[TRVch# 1870 Dt:08/09/2017] , Billno-MDI12237082017-005",1,222221,0,19076,203145
9, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,4418,0,0,4418
10, , ,"[TRVch# 3354 Dt:29/09/2017] , Billno-MDI122372017100070",1,4418,0,0,4418
11, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,981,0,0,981
12, , ,"[TRVch# 3353 Dt:29/09/2017] , Billno-MDI122372017100071",1,981,0,0,981
0,Grand Total, , ,11,1444985,528653,76807,839525
1,MDI12-237-GSSS BRARTA,Total, ,11,1444985,528653,76807,839525
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,305485,84416,17692,203377
3, , ,"[TRVch# 1688 Dt:09/10/2017] , Billno-MDI12237092017-001",1,147827,70000,4069,73758
4, , ,"[TRVch# 1689 Dt:09/10/2017] , Billno-MDI12237092017-002",1,128892,0,12432,116460
5, , ,"[TRVch# 4267 Dt:31/10/2017] , Billno-MDI122372017100078",1,13238,0,1191,12047
6, , ,"[TRVch# 4268 Dt:31/10/2017] , Billno-MDI122372017100079",1,15528,14416,0,1112
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1104200,444237,59115,600848
8, , ,"[TRVch# 1690 Dt:09/10/2017] , Billno-MDI12237092017-003",1,91083,50000,10060,31023
9, , ,"[TRVch# 1691 Dt:09/10/2017] , Billno-MDI12237092017-004",1,695049,314000,28510,352539
10, , ,"[TRVch# 1692 Dt:09/10/2017] , Billno-MDI12237092017-005",1,224941,0,19323,205618
11, , ,"[TRVch# 4269 Dt:31/10/2017] , Billno-MDI122372017100080",1,8485,8485,0,0
12, , ,"[TRVch# 4270 Dt:31/10/2017] , Billno-MDI122372017100081",1,71752,71752,0,0
13, , ,"[TRVch# 4271 Dt:31/10/2017] , Billno-MDI122372017100082",1,12890,0,1222,11668
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,35300,0,0,35300
15, , ,"[TRVch# 1743 Dt:09/10/2017] , Billno-MDI122372017100069",1,35300,0,0,35300
0,Grand Total, , ,7,1242179,446000,71928,724251
1,MDI12-237-GSSS BRARTA,Total, ,7,1242179,446000,71928,724251
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,276719,70000,16801,189918
3, , ,"[TRVch# 1743 Dt:08/11/2017] , Billno-MDI12237102017-001",1,113500,70000,3560,39940
4, , ,"[TRVch# 1744 Dt:08/11/2017] , Billno-MDI12237102017-002",1,163219,0,13241,149978
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,947810,376000,55127,516683
6, , ,"[TRVch# 1745 Dt:08/11/2017] , Billno-MDI12237102017-003",1,91083,50000,10060,31023
7, , ,"[TRVch# 1746 Dt:08/11/2017] , Billno-MDI12237102017-004",1,696385,326000,36510,333875
8, , ,"[TRVch# 1747 Dt:08/11/2017] , Billno-MDI12237102017-005",1,157285,0,8557,148728
9, , ,"[TRVch# 2655 Dt:20/11/2017] , Billno-MDI122372017100090",1,3057,0,0,3057
10, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,17650,0,0,17650
11, , ,"[TRVch# 2614 Dt:20/11/2017] , Billno-MDI122372017100087",1,17650,0,0,17650
0,Grand Total, , ,10,1914934,446000,73928,1395006
1,MDI12-237-GSSS BRARTA,Total, ,10,1914934,446000,73928,1395006
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,665000,0,0,665000
3, , ,"[TRVch# 264 Dt:21/12/2017] , Billno-MDI122372017100093",1,300000,0,0,300000
4, , ,"[TRVch# 618 Dt:30/12/2017] , Billno-MDI122372017100097",1,100000,0,0,100000
5, , ,"[TRVch# 619 Dt:30/12/2017] , Billno-MDI122372017100099",1,65000,0,0,65000
6, , ,"[TRVch# 620 Dt:30/12/2017] , Billno-MDI122372017100100",1,200000,0,0,200000
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,278801,70000,17361,191440
8, , ,"[TRVch# 1502 Dt:06/12/2017] , Billno-MDI12237112017-001",1,115177,70000,3720,41457
9, , ,"[TRVch# 1503 Dt:06/12/2017] , Billno-MDI12237112017-002",1,163624,0,13641,149983
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,952613,376000,56567,520046
11, , ,"[TRVch# 1504 Dt:06/12/2017] , Billno-MDI12237112017-003",1,91083,50000,10140,30943
12, , ,"[TRVch# 1505 Dt:06/12/2017] , Billno-MDI12237112017-004",1,698475,326000,37390,335085
13, , ,"[TRVch# 1506 Dt:06/12/2017] , Billno-MDI12237112017-005",1,163055,0,9037,154018
14, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,1,18520,0,0,18520
15, , ,"[TRVch# 3649 Dt:30/12/2017] , Billno-MDI122372017100103",1,18520,0,0,18520
0,Grand Total, , ,8,1599930,476000,87288,1036642
1,MDI12-237-GSSS BRARTA,Total, ,8,1599930,476000,87288,1036642
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,200000,0,0,200000
3, , ,"[TRVch# 594 Dt:30/01/2018] , Billno-MDI122372017100108",1,200000,0,0,200000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,278801,70000,19101,189700
5, , ,"[TRVch# 1728 Dt:09/01/2018] , Billno-MDI12237122017-001",1,115177,70000,1860,43317
6, , ,"[TRVch# 1729 Dt:09/01/2018] , Billno-MDI12237122017-002",1,163624,0,17241,146383
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,1032011,406000,68187,557824
8, , ,"[TRVch# 1730 Dt:09/01/2018] , Billno-MDI12237122017-003",1,91083,50000,10060,31023
9, , ,"[TRVch# 1731 Dt:09/01/2018] , Billno-MDI12237122017-004",1,777873,356000,49570,372303
