,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,1600,0,1600,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,3,1600,0,1600,0
2, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,3,1600,0,1600,0
3, , ,"[TRVch# 205 Dt:29/04/2017] , Billno-MDI135001742030001",1,200,0,200,0
4, , ,"[TRVch# 206 Dt:29/04/2017] , Billno-MDI135001742030002",1,1200,0,1200,0
5, , ,"[TRVch# 207 Dt:29/04/2017] , Billno-MDI135001742030003",1,200,0,200,0
0,Grand Total, , ,8,2540,0,2540,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,8,2540,0,2540,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,300,0,300,0
3, , ,"[TRVch# 280 Dt:31/05/2017] , Billno-MDI135001752030007",1,100,0,100,0
4, , ,"[TRVch# 281 Dt:31/05/2017] , Billno-MDI135001752030008",1,100,0,100,0
5, , ,"[TRVch# 59 Dt:08/05/2017] , Billno-MDI135001752030003",1,100,0,100,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,2240,0,2240,0
7, , ,"[TRVch# 277 Dt:31/05/2017] , Billno-MDI135001752030004",1,240,0,240,0
8, , ,"[TRVch# 278 Dt:31/05/2017] , Billno-MDI135001752030005",1,600,0,600,0
9, , ,"[TRVch# 279 Dt:31/05/2017] , Billno-MDI135001752030006",1,1000,0,1000,0
10, , ,"[TRVch# 282 Dt:31/05/2017] , Billno-MDI135001752030009",1,200,0,200,0
11, , ,"[TRVch# 58 Dt:08/05/2017] , Billno-MDI135001752030002",1,200,0,200,0
0,Grand Total, , ,14,6404,0,6404,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,14,6404,0,6404,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,4,244,0,244,0
3, , ,"[TRVch# 270 Dt:30/06/2017] , Billno-MDI135001762030002",1,64,0,64,0
4, , ,"[TRVch# 274 Dt:30/06/2017] , Billno-MDI135001762030006",1,40,0,40,0
5, , ,"[TRVch# 277 Dt:30/06/2017] , Billno-MDI135001762030009",1,40,0,40,0
6, , ,"[TRVch# 280 Dt:30/06/2017] , Billno-MDI135001762030012",1,100,0,100,0
7, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,10,6160,0,6160,0
8, , ,"[TRVch# 271 Dt:30/06/2017] , Billno-MDI135001762030003",1,320,0,320,0
9, , ,"[TRVch# 272 Dt:30/06/2017] , Billno-MDI135001762030004",1,600,0,600,0
10, , ,"[TRVch# 273 Dt:30/06/2017] , Billno-MDI135001762030005",1,200,0,200,0
11, , ,"[TRVch# 275 Dt:30/06/2017] , Billno-MDI135001762030007",1,800,0,800,0
12, , ,"[TRVch# 276 Dt:30/06/2017] , Billno-MDI135001762030008",1,880,0,880,0
13, , ,"[TRVch# 278 Dt:30/06/2017] , Billno-MDI135001762030010",1,1200,0,1200,0
14, , ,"[TRVch# 279 Dt:30/06/2017] , Billno-MDI135001762030011",1,680,0,680,0
15, , ,"[TRVch# 281 Dt:30/06/2017] , Billno-MDI135001762030013",1,200,0,200,0
16, , ,"[TRVch# 282 Dt:30/06/2017] , Billno-MDI135001762030014",1,400,0,400,0
17, , ,"[TRVch# 45 Dt:07/06/2017] , Billno-MDI135001762030001",1,880,0,880,0
0,Grand Total, , ,6,2560,0,2560,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,6,2560,0,2560,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,1,40,0,40,0
3, , ,"[TRVch# 258 Dt:31/07/2017] , Billno-MDI135001772030003",1,40,0,40,0
4, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,2520,0,2520,0
5, , ,"[TRVch# 257 Dt:31/07/2017] , Billno-MDI135001772030002",1,400,0,400,0
6, , ,"[TRVch# 259 Dt:31/07/2017] , Billno-MDI135001772030004",1,200,0,200,0
7, , ,"[TRVch# 260 Dt:31/07/2017] , Billno-MDI135001772030005",1,720,0,720,0
8, , ,"[TRVch# 261 Dt:31/07/2017] , Billno-MDI135001772030006",1,600,0,600,0
9, , ,"[TRVch# 38 Dt:10/07/2017] , Billno-MDI135001772030001",1,600,0,600,0
0,Grand Total, , ,9,5066,0,5066,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,9,5066,0,5066,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,146,0,146,0
3, , ,"[TRVch# 242 Dt:31/08/2017] , Billno-MDI135001782030006",1,66,0,66,0
4, , ,"[TRVch# 244 Dt:31/08/2017] , Billno-MDI135001782030008",1,40,0,40,0
5, , ,"[TRVch# 37 Dt:09/08/2017] , Billno-MDI135001782030001",1,40,0,40,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,6,4920,0,4920,0
7, , ,"[TRVch# 159 Dt:24/08/2017] , Billno-MDI135001782030004",1,600,0,600,0
8, , ,"[TRVch# 160 Dt:24/08/2017] , Billno-MDI135001782030005",1,1600,0,1600,0
9, , ,"[TRVch# 243 Dt:31/08/2017] , Billno-MDI135001782030007",1,600,0,600,0
10, , ,"[TRVch# 245 Dt:31/08/2017] , Billno-MDI135001782030009",1,720,0,720,0
11, , ,"[TRVch# 38 Dt:09/08/2017] , Billno-MDI135001782030002",1,200,0,200,0
12, , ,"[TRVch# 39 Dt:09/08/2017] , Billno-MDI135001782030003",1,1200,0,1200,0
0,Grand Total, , ,9,5120,0,5120,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,9,5120,0,5120,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,120,0,120,0
3, , ,"[TRVch# 237 Dt:29/09/2017] , Billno-MDI135001792030004",1,40,0,40,0
4, , ,"[TRVch# 241 Dt:29/09/2017] , Billno-MDI135001792030008",1,40,0,40,0
5, , ,"[TRVch# 43 Dt:08/09/2017] , Billno-MDI135001792030001",1,40,0,40,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,6,5000,0,5000,0
7, , ,"[TRVch# 236 Dt:29/09/2017] , Billno-MDI135001792030003",1,800,0,800,0
8, , ,"[TRVch# 238 Dt:29/09/2017] , Billno-MDI135001792030005",1,800,0,800,0
9, , ,"[TRVch# 239 Dt:29/09/2017] , Billno-MDI135001792030006",1,480,0,480,0
10, , ,"[TRVch# 240 Dt:29/09/2017] , Billno-MDI135001792030007",1,920,0,920,0
11, , ,"[TRVch# 242 Dt:29/09/2017] , Billno-MDI135001792030009",1,1600,0,1600,0
12, , ,"[TRVch# 44 Dt:08/09/2017] , Billno-MDI135001792030002",1,400,0,400,0
0,Grand Total, , ,7,3200,0,3200,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,7,3200,0,3200,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,2,120,0,120,0
3, , ,"[TRVch# 196 Dt:31/10/2017] , Billno-MDI135001702030002",1,80,0,80,0
4, , ,"[TRVch# 200 Dt:31/10/2017] , Billno-MDI135001702030006",1,40,0,40,0
5, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,3080,0,3080,0
6, , ,"[TRVch# 195 Dt:31/10/2017] , Billno-MDI135001702030001",1,80,0,80,0
7, , ,"[TRVch# 197 Dt:31/10/2017] , Billno-MDI135001702030003",1,200,0,200,0
8, , ,"[TRVch# 198 Dt:31/10/2017] , Billno-MDI135001702030004",1,1000,0,1000,0
9, , ,"[TRVch# 199 Dt:31/10/2017] , Billno-MDI135001702030005",1,200,0,200,0
10, , ,"[TRVch# 201 Dt:31/10/2017] , Billno-MDI135001702030007",1,1600,0,1600,0
0,Grand Total, , ,4,5300,0,5300,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,4,5300,0,5300,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,1,100,0,100,0
3, , ,"[TRVch# 193 Dt:30/11/2017] , Billno-MDI1350017A2030001",1,100,0,100,0
4, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,3,5200,0,5200,0
5, , ,"[TRVch# 194 Dt:30/11/2017] , Billno-MDI1350017A2030002",1,2000,0,2000,0
6, , ,"[TRVch# 195 Dt:30/11/2017] , Billno-MDI1350017A2030003",1,1200,0,1200,0
7, , ,"[TRVch# 196 Dt:30/11/2017] , Billno-MDI1350017A2030004",1,2000,0,2000,0
0,Grand Total, , ,9,4804,0,4804,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,9,4804,0,4804,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,124,0,124,0
3, , ,"[TRVch# 168 Dt:30/12/2017] , Billno-MDI1350017B2030002",1,44,0,44,0
4, , ,"[TRVch# 172 Dt:30/12/2017] , Billno-MDI1350017B2030006",1,40,0,40,0
5, , ,"[TRVch# 174 Dt:30/12/2017] , Billno-MDI1350017B2030008",1,40,0,40,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,6,4680,0,4680,0
7, , ,"[TRVch# 169 Dt:30/12/2017] , Billno-MDI1350017B2030003",1,280,0,280,0
8, , ,"[TRVch# 170 Dt:30/12/2017] , Billno-MDI1350017B2030004",1,2000,0,2000,0
9, , ,"[TRVch# 171 Dt:30/12/2017] , Billno-MDI1350017B2030005",1,200,0,200,0
10, , ,"[TRVch# 173 Dt:30/12/2017] , Billno-MDI1350017B2030007",1,800,0,800,0
11, , ,"[TRVch# 175 Dt:30/12/2017] , Billno-MDI1350017B2030009",1,1200,0,1200,0
12, , ,"[TRVch# 29 Dt:06/12/2017] , Billno-MDI1350017B2030001",1,200,0,200,0
0,Grand Total, , ,6,4140,0,4140,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,6,4140,0,4140,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,1,100,0,100,0
3, , ,"[TRVch# 139 Dt:22/01/2018] , Billno-MDI135001712030003",1,100,0,100,0
4, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,4040,0,4040,0
5, , ,"[TRVch# 200 Dt:30/01/2018] , Billno-MDI135001712030004",1,200,0,200,0
6, , ,"[TRVch# 201 Dt:30/01/2018] , Billno-MDI135001712030005",1,800,0,800,0
7, , ,"[TRVch# 202 Dt:30/01/2018] , Billno-MDI135001712030006",1,760,0,760,0
8, , ,"[TRVch# 36 Dt:09/01/2018] , Billno-MDI135001712030001",1,280,0,280,0
9, , ,"[TRVch# 37 Dt:09/01/2018] , Billno-MDI135001712030002",1,2000,0,2000,0
0,Grand Total, , ,8,42095,0,5960,36135
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,8,42095,0,5960,36135
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,2,80,0,80,0
3, , ,"[TRVch# 218 Dt:28/02/2018] , Billno-MDI135001722030002",1,40,0,40,0
4, , ,"[TRVch# 224 Dt:28/02/2018] , Billno-MDI135001722030008",1,40,0,40,0
5, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,5880,0,5880,0
6, , ,"[TRVch# 217 Dt:28/02/2018] , Billno-MDI135001722030001",1,800,0,800,0
7, , ,"[TRVch# 220 Dt:28/02/2018] , Billno-MDI135001722030004",1,1080,0,1080,0
8, , ,"[TRVch# 221 Dt:28/02/2018] , Billno-MDI135001722030005",1,1600,0,1600,0
9, , ,"[TRVch# 222 Dt:28/02/2018] , Billno-MDI135001722030006",1,800,0,800,0
10, , ,"[TRVch# 223 Dt:28/02/2018] , Billno-MDI135001722030007",1,1600,0,1600,0
11, ,05-2030-02-102-01-S00N-V-N-25-REFUNDS,Total,1,36135,0,0,36135
12, , ,"[TRVch# 219 Dt:28/02/2018] , Billno-MDI135001722030003",1,36135,0,0,36135
0,Grand Total, , ,9,21912,0,9204,12708
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,9,21912,0,9204,12708
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,364,0,364,0
3, , ,"[TRVch# 186 Dt:27/03/2018] , Billno-MDI135001732030002",1,100,0,100,0
4, , ,"[TRVch# 187 Dt:27/03/2018] , Billno-MDI135001732030003",1,64,0,64,0
5, , ,"[TRVch# 254 Dt:28/03/2018] , Billno-MDI135001732030007",1,200,0,200,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,5,8840,0,8840,0
7, , ,"[TRVch# 185 Dt:27/03/2018] , Billno-MDI135001732030001",1,1600,0,1600,0
8, , ,"[TRVch# 188 Dt:27/03/2018] , Billno-MDI135001732030004",1,400,0,400,0
9, , ,"[TRVch# 189 Dt:27/03/2018] , Billno-MDI135001732030005",1,1640,0,1640,0
10, , ,"[TRVch# 253 Dt:28/03/2018] , Billno-MDI135001732030006",1,3200,0,3200,0
11, , ,"[TRVch# 255 Dt:28/03/2018] , Billno-MDI135001732030008",1,2000,0,2000,0
12, ,05-2030-02-102-01-S00N-V-N-25-REFUNDS,Total,1,12708,0,0,12708
13, , ,"[TRVch# 328 Dt:31/03/2018] , Billno-MDI135001732030009",1,12708,0,0,12708
0,Grand Total, , ,1,1860,0,1860,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,1,1860,0,1860,0
2, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,1,1860,0,1860,0
3, , ,"[TRVch# 178 Dt:27/04/2018] , Billno-MDI135001842030002",1,1860,0,1860,0
0,Grand Total, , ,7,5868,0,5868,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,7,5868,0,5868,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,1,40,0,40,0
3, , ,"[TRVch# 183 Dt:28/05/2018] , Billno-MDI135001852030003",1,40,0,40,0
4, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,6,5828,0,5828,0
5, , ,"[TRVch# 182 Dt:28/05/2018] , Billno-MDI135001852030002",1,920,0,920,0
6, , ,"[TRVch# 184 Dt:28/05/2018] , Billno-MDI135001852030004",1,1600,0,1600,0
7, , ,"[TRVch# 185 Dt:28/05/2018] , Billno-MDI135001852030005",1,308,0,308,0
8, , ,"[TRVch# 186 Dt:28/05/2018] , Billno-MDI135001852030006",1,2000,0,2000,0
9, , ,"[TRVch# 258 Dt:31/05/2018] , Billno-MDI135001852030007",1,400,0,400,0
10, , ,"[TRVch# 41 Dt:10/05/2018] , Billno-MDI135001852030001",1,600,0,600,0
0,Grand Total, , ,10,8704,0,8704,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,10,8704,0,8704,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,4,304,0,304,0
3, , ,"[TRVch# 131 Dt:21/06/2018] , Billno-MDI135001862030005",1,40,0,40,0
4, , ,"[TRVch# 218 Dt:30/06/2018] , Billno-MDI135001862030009",1,100,0,100,0
5, , ,"[TRVch# 33 Dt:08/06/2018] , Billno-MDI135001862030001",1,100,0,100,0
6, , ,"[TRVch# 34 Dt:08/06/2018] , Billno-MDI135001862030002",1,64,0,64,0
7, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,6,8400,0,8400,0
8, , ,"[TRVch# 129 Dt:21/06/2018] , Billno-MDI135001862030003",1,2000,0,2000,0
9, , ,"[TRVch# 130 Dt:21/06/2018] , Billno-MDI135001862030004",1,800,0,800,0
10, , ,"[TRVch# 132 Dt:21/06/2018] , Billno-MDI135001862030006",1,2000,0,2000,0
11, , ,"[TRVch# 133 Dt:21/06/2018] , Billno-MDI135001862030007",1,800,0,800,0
12, , ,"[TRVch# 134 Dt:21/06/2018] , Billno-MDI135001862030008",1,800,0,800,0
13, , ,"[TRVch# 219 Dt:30/06/2018] , Billno-MDI135001862030010",1,2000,0,2000,0
0,Grand Total, , ,6,1664,0,1664,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,6,1664,0,1664,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,3,264,0,264,0
3, , ,"[TRVch# 133 Dt:23/07/2018] , Billno-MDI135001872030004",1,100,0,100,0
4, , ,"[TRVch# 134 Dt:23/07/2018] , Billno-MDI135001872030005",1,64,0,64,0
5, , ,"[TRVch# 189 Dt:31/07/2018] , Billno-MDI135001872030006",1,100,0,100,0
6, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,3,1400,0,1400,0
7, , ,"[TRVch# 132 Dt:23/07/2018] , Billno-MDI135001872030003",1,600,0,600,0
8, , ,"[TRVch# 190 Dt:31/07/2018] , Billno-MDI135001872030007",1,400,0,400,0
9, , ,"[TRVch# 28 Dt:07/07/2018] , Billno-MDI135001872030001",1,400,0,400,0
0,Grand Total, , ,4,3700,0,3700,0
1,MDI13-500-DISTRICT TREASURY OFFICER MANDI,Total, ,4,3700,0,3700,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,1,100,0,100,0
3, , ,"[TRVch# 126 Dt:23/08/2018] , Billno-MDI135001882030002",1,100,0,100,0
4, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,3,3600,0,3600,0
5, , ,"[TRVch# 125 Dt:23/08/2018] , Billno-MDI135001882030001",1,800,0,800,0
6, , ,"[TRVch# 127 Dt:23/08/2018] , Billno-MDI135001882030003",1,2000,0,2000,0
7, , ,"[TRVch# 128 Dt:23/08/2018] , Billno-MDI135001882030004",1,800,0,800,0
