,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,440538,145005,8928,286605
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,3,440538,145005,8928,286605
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,144650,50005,2627,92018
3, , ,"[TRVch# 1237 Dt:07/04/2017] , Billno-MDI14217032017-001",1,144650,50005,2627,92018
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,295888,95000,6301,194587
5, , ,"[TRVch# 1238 Dt:07/04/2017] , Billno-MDI14217032017-002",1,75358,25000,60,50298
6, , ,"[TRVch# 1239 Dt:07/04/2017] , Billno-MDI14217032017-003",1,220530,70000,6241,144289
0,Grand Total, , ,11,645840,194279,30430,421131
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,11,645840,194279,30430,421131
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,150000,0,0,150000
3, , ,"[TRVch# 673 Dt:22/05/2017] , Billno-MDI142172017100005",1,150000,0,0,150000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,161639,72272,6386,82981
5, , ,"[TRVch# 2139 Dt:08/05/2017] , Billno-MDI14217042017-001",1,147076,60005,6153,80918
6, , ,"[TRVch# 4066 Dt:22/05/2017] , Billno-MDI142172017100001",1,12267,12267,0,0
7, , ,"[TRVch# 4071 Dt:22/05/2017] , Billno-MDI142172017100002",1,2296,0,233,2063
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,331458,122007,24044,185407
9, , ,"[TRVch# 2140 Dt:08/05/2017] , Billno-MDI14217042017-002",1,76315,25000,6060,45255
10, , ,"[TRVch# 2141 Dt:08/05/2017] , Billno-MDI14217042017-003",1,224686,72500,17389,134797
11, , ,"[TRVch# 4069 Dt:22/05/2017] , Billno-MDI142172017100004",1,16062,16062,0,0
12, , ,"[TRVch# 4070 Dt:22/05/2017] , Billno-MDI142172017100003",1,8445,8445,0,0
13, , ,"[TRVch# 4152 Dt:22/05/2017] , Billno-MDI142172017100009",1,5950,0,595,5355
14, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,2743,0,0,2743
15, , ,"[TRVch# 4067 Dt:22/05/2017] , Billno-MDI142172017100007",1,2032,0,0,2032
16, , ,"[TRVch# 4068 Dt:22/05/2017] , Billno-MDI142172017100008",1,711,0,0,711
0,Grand Total, , ,5,537091,157505,29616,349970
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,5,537091,157505,29616,349970
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,147076,60005,6153,80918
3, , ,"[TRVch# 2222 Dt:07/06/2017] , Billno-MDI14217052017-001",1,147076,60005,6153,80918
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,390015,97500,23463,269052
5, , ,"[TRVch# 2223 Dt:07/06/2017] , Billno-MDI14217052017-002",1,76315,25000,6060,45255
6, , ,"[TRVch# 2224 Dt:07/06/2017] , Billno-MDI14217052017-003",1,264595,72500,17394,174701
7, , ,"[TRVch# 3190 Dt:27/06/2017] , Billno-MDI142172017100010",1,35702,0,0,35702
8, , ,"[TRVch# 3218 Dt:27/06/2017] , Billno-MDI142172017100013",1,13403,0,9,13394
0,Grand Total, , ,5,584612,127505,32146,424961
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,5,584612,127505,32146,424961
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,127541,30005,8665,88871
3, , ,"[TRVch# 2072 Dt:10/07/2017] , Billno-MDI14217062017-001",1,127541,30005,8665,88871
4, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,2,65232,0,0,65232
5, , ,"[TRVch# 2529 Dt:20/07/2017] , Billno-MDI142172017100015",1,10872,0,0,10872
6, , ,"[TRVch# 2530 Dt:20/07/2017] , Billno-MDI142172017100014",1,54360,0,0,54360
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,391839,97500,23481,270858
8, , ,"[TRVch# 2073 Dt:10/07/2017] , Billno-MDI14217062017-002",1,76315,25000,6060,45255
9, , ,"[TRVch# 2074 Dt:10/07/2017] , Billno-MDI14217062017-003",1,315524,72500,17421,225603
0,Grand Total, , ,3,490290,97500,30616,362174
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,3,490290,97500,30616,362174
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,72174,0,7135,65039
3, , ,"[TRVch# 1913 Dt:09/08/2017] , Billno-MDI14217072017-001",1,72174,0,7135,65039
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,418116,97500,23481,297135
5, , ,"[TRVch# 1914 Dt:09/08/2017] , Billno-MDI14217072017-002",1,76315,25000,6060,45255
6, , ,"[TRVch# 1915 Dt:09/08/2017] , Billno-MDI14217072017-003",1,341801,72500,17421,251880
0,Grand Total, , ,8,631741,137500,35038,459203
1,MDI14-217-PRINCIPAL GSSS SHALLA,Total, ,8,631741,137500,35038,459203
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,121584,20000,8997,92587
3, , ,"[TRVch# 2115 Dt:08/09/2017] , Billno-MDI14217082017-001",1,121584,20000,8997,92587
4, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,15900,0,0,15900
5, , ,"[TRVch# 2732 Dt:21/09/2017] , Billno-MDI142172017100019",1,15900,0,0,15900
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,491468,117500,26041,347927
7, , ,"[TRVch# 2116 Dt:08/09/2017] , Billno-MDI14217082017-002",1,77641,25000,6060,46581
8, , ,"[TRVch# 2117 Dt:08/09/2017] , Billno-MDI14217082017-003",1,410257,92500,19981,297776
9, , ,"[TRVch# 3293 Dt:29/09/2017] , Billno-MDI142172017100021",1,3570,0,0,3570
10, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,2789,0,0,2789
