DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,38,14909867,0,0,14909867
MDI14-700-IPH DIVISION SUNDERNAGAR,Total, ,38,14909867,0,0,14909867
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,38,14909867,0,0,14909867
 , ,"[TRVch# 104 Dt:21/12/2017] , Billno-MDI147000300332848",1,909488,0,0,909488
 , ,"[TRVch# 105 Dt:21/12/2017] , Billno-MDI147000300332847",1,104510,0,0,104510
 , ,"[TRVch# 115 Dt:21/12/2017] , Billno-MDI147000300332846",1,51083,0,0,51083
 , ,"[TRVch# 121 Dt:21/04/2017] , Billno-MDI142016878203748",1,166883,0,0,166883
 , ,"[TRVch# 151 Dt:26/06/2018] , Billno-MDI147000300205276",1,38761,0,0,38761
 , ,"[TRVch# 155 Dt:31/05/2018] , Billno-MDI147000300205275",1,21073,0,0,21073
 , ,"[TRVch# 180 Dt:30/11/2017] , Billno-MDI147000300205263",1,18715,0,0,18715
 , ,"[TRVch# 187 Dt:31/08/2018] , Billno-MDI147000300205280",1,172916,0,0,172916
 , ,"[TRVch# 201 Dt:28/02/2018] , Billno-MDI147000300205267",1,629175,0,0,629175
 , ,"[TRVch# 204 Dt:28/02/2018] , Billno-MDI147000300205268",1,170819,0,0,170819
 , ,"[TRVch# 206 Dt:28/02/2018] , Billno-MDI147000300205269",1,56267,0,0,56267
 , ,"[TRVch# 206 Dt:31/07/2017] , Billno-MDI147000300332839",1,192192,0,0,192192
 , ,"[TRVch# 208 Dt:31/07/2017] , Billno-MDI147000300332841",1,485855,0,0,485855
 , ,"[TRVch# 211 Dt:31/07/2017] , Billno-MDI147000300205258",1,74127,0,0,74127
 , ,"[TRVch# 216 Dt:31/10/2017] , Billno-MDI147000300205261",1,192500,0,0,192500
 , ,"[TRVch# 222 Dt:31/07/2018] , Billno-MDI147000300205278",1,50651,0,0,50651
 , ,"[TRVch# 223 Dt:31/10/2017] , Billno-MDI147000300205262",1,9952,0,0,9952
 , ,"[TRVch# 224 Dt:30/12/2017] , Billno-MDI147000300205264",1,116641,0,0,116641
 , ,"[TRVch# 225 Dt:31/10/2017] , Billno-MDI147000300332845",1,1427726,0,0,1427726
 , ,"[TRVch# 226 Dt:30/12/2017] , Billno-MDI147000300205265",1,36800,0,0,36800
 , ,"[TRVch# 228 Dt:30/12/2017] , Billno-MDI147000300332851",1,509724,0,0,509724
 , ,"[TRVch# 229 Dt:30/01/2018] , Billno-MDI147000300205266",1,575454,0,0,575454
 , ,"[TRVch# 233 Dt:31/08/2017] , Billno-MDI147000300205259",1,25025,0,0,25025
 , ,"[TRVch# 236 Dt:30/06/2018] , Billno-MDI147000300205277",1,135589,0,0,135589
 , ,"[TRVch# 236 Dt:31/08/2017] , Billno-MDI147000300332842",1,1000006,0,0,1000006
 , ,"[TRVch# 237 Dt:29/09/2017] , Billno-MDI147000300205260",1,90165,0,0,90165
 , ,"[TRVch# 25 Dt:09/08/2017] , Billno-MDI147000300332838",1,354944,0,0,354944
 , ,"[TRVch# 26 Dt:08/11/2017] , Billno-MDI147000300332844",1,453610,0,0,453610
 , ,"[TRVch# 278 Dt:30/06/2017] , Billno-MDI147000300205257",1,75729,0,0,75729
 , ,"[TRVch# 301 Dt:28/03/2018] , Billno-MDI147000300205271",1,146187,0,0,146187
 , ,"[TRVch# 302 Dt:28/03/2018] , Billno-MDI147000300205270",1,687705,0,0,687705
 , ,"[TRVch# 514 Dt:31/03/2018] , Billno-MDI147000300205272",1,5080025,0,0,5080025
 , ,"[TRVch# 518 Dt:31/03/2018] , Billno-MDI147000300205274",1,51691,0,0,51691
 , ,"[TRVch# 519 Dt:31/03/2018] , Billno-MDI147000300205273",1,197875,0,0,197875
 , ,"[TRVch# 69 Dt:20/11/2017] , Billno-MDI147000300332843",1,285613,0,0,285613
 , ,"[TRVch# 71 Dt:23/08/2018] , Billno-MDI147000300205279",1,161501,0,0,161501
 , ,"[TRVch# 97 Dt:22/01/2018] , Billno-MDI147000300332849",1,102460,0,0,102460
 , ,"[TRVch# 99 Dt:22/01/2018] , Billno-MDI147000300332852",1,50430,0,0,50430
