,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,440737,144000,41460,255277
1,MDI15-215-HM GHS BAHARI,Total, ,6,440737,144000,41460,255277
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,255905,74000,29541,152364
3, , ,"[TRVch# 1368 Dt:07/04/2017] , Billno-MDI15215032017-001",1,184098,74000,8739,101359
4, , ,"[TRVch# 1369 Dt:07/04/2017] , Billno-MDI15215032017-002",1,38859,0,3739,35120
5, , ,"[TRVch# 1370 Dt:07/04/2017] , Billno-MDI15215032017-003",1,32948,0,17063,15885
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,184832,70000,11919,102913
7, , ,"[TRVch# 1371 Dt:07/04/2017] , Billno-MDI15215032017-004",1,77792,50000,6060,21732
8, , ,"[TRVch# 1372 Dt:07/04/2017] , Billno-MDI15215032017-005",1,66525,20000,2030,44495
9, , ,"[TRVch# 1373 Dt:07/04/2017] , Billno-MDI15215032017-006",1,40515,0,3829,36686
0,Grand Total, , ,11,499397,174076,31863,293458
1,MDI15-215-HM GHS BAHARI,Total, ,11,499397,174076,31863,293458
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,292207,89769,18572,183866
3, , ,"[TRVch# 2258 Dt:08/05/2017] , Billno-MDI15215042017-001",1,154878,74000,5575,75303
4, , ,"[TRVch# 2259 Dt:08/05/2017] , Billno-MDI15215042017-002",1,108353,0,10436,97917
5, , ,"[TRVch# 2325 Dt:08/05/2017] , Billno-MDI152152017100002",1,20894,15769,1750,3375
6, , ,"[TRVch# 2326 Dt:08/05/2017] , Billno-MDI152152017100003",1,4329,0,433,3896
7, , ,"[TRVch# 2329 Dt:08/05/2017] , Billno-MDI152152017100006",1,3753,0,378,3375
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,207190,84307,13291,109592
9, , ,"[TRVch# 2260 Dt:08/05/2017] , Billno-MDI15215042017-003",1,78778,50000,6060,22718
10, , ,"[TRVch# 2261 Dt:08/05/2017] , Billno-MDI15215042017-004",1,67724,20000,2030,45694
11, , ,"[TRVch# 2262 Dt:08/05/2017] , Billno-MDI15215042017-005",1,41015,0,3879,37136
12, , ,"[TRVch# 2324 Dt:08/05/2017] , Billno-MDI152152017100001",1,8706,7833,873,0
13, , ,"[TRVch# 2327 Dt:08/05/2017] , Billno-MDI152152017100004",1,6474,6474,0,0
14, , ,"[TRVch# 2328 Dt:08/05/2017] , Billno-MDI152152017100005",1,4493,0,449,4044
0,Grand Total, , ,6,379085,94000,24950,260135
1,MDI15-215-HM GHS BAHARI,Total, ,6,379085,94000,24950,260135
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,192500,44000,11981,136519
3, , ,"[TRVch# 2339 Dt:07/06/2017] , Billno-MDI15215052017-001",1,84147,44000,1545,38602
4, , ,"[TRVch# 2340 Dt:07/06/2017] , Billno-MDI15215052017-002",1,108353,0,10436,97917
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,185066,50000,12969,122097
6, , ,"[TRVch# 2341 Dt:07/06/2017] , Billno-MDI15215052017-003",1,67724,20000,2030,45694
7, , ,"[TRVch# 2342 Dt:07/06/2017] , Billno-MDI15215052017-004",1,41015,0,3879,37136
8, , ,"[TRVch# 2400 Dt:07/06/2017] , Billno-MDI152152017100008",1,76327,30000,7060,39267
9, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,1519,0,0,1519
10, , ,"[TRVch# 2399 Dt:07/06/2017] , Billno-MDI152152017100007",1,1519,0,0,1519
0,Grand Total, , ,8,728802,94000,29031,605771
1,MDI15-215-HM GHS BAHARI,Total, ,8,728802,94000,29031,605771
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 170 Dt:10/07/2017] , Billno-MDI152152017100009",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,235103,44000,16053,175050
5, , ,"[TRVch# 2169 Dt:10/07/2017] , Billno-MDI15215062017-001",1,85721,44000,1545,40176
6, , ,"[TRVch# 2170 Dt:10/07/2017] , Billno-MDI15215062017-002",1,108353,0,10436,97917
7, , ,"[TRVch# 2527 Dt:20/07/2017] , Billno-MDI152152017100010",1,41029,0,4072,36957
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,193699,50000,12978,130721
9, , ,"[TRVch# 2171 Dt:10/07/2017] , Billno-MDI15215062017-003",1,76327,30000,7060,39267
10, , ,"[TRVch# 2172 Dt:10/07/2017] , Billno-MDI15215062017-005",1,41015,0,3879,37136
11, , ,"[TRVch# 2173 Dt:10/07/2017] , Billno-MDI15215062017-004",1,57553,20000,2030,35523
12, , ,"[TRVch# 2175 Dt:10/07/2017] , Billno-MDI15215062017-006",1,18804,0,9,18795
0,Grand Total, , ,5,425459,94000,48048,283411
1,MDI15-215-HM GHS BAHARI,Total, ,5,425459,94000,48048,283411
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,233373,44000,22881,166492
3, , ,"[TRVch# 1981 Dt:09/08/2017] , Billno-MDI15215072017-001",1,124920,44000,11945,68975
