DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,72,6841690,1746775,326934,4767981
MDI16-220-HM GHS CHHAMYAR,Total, ,72,6841690,1746775,326934,4767981
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,1550000,0,0,1550000
 , ,"[TRVch# 655 Dt:26/06/2018] , Billno-MDI162202018100009",1,200000,0,0,200000
 , ,"[TRVch# 738 Dt:31/10/2017] , Billno-MDI162202017100001",1,300000,0,0,300000
 , ,"[TRVch# 739 Dt:31/10/2017] , Billno-MDI162202017100002",1,500000,0,0,500000
 , ,"[TRVch# 935 Dt:25/04/2018] , Billno-MDI162202018100001",1,550000,0,0,550000
 ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,24,2883049,1246687,120428,1515934
 , ,"[TRVch# 1936 Dt:09/04/2018] , Billno-MDI16220032018-001",1,215444,105000,105,110339
 , ,"[TRVch# 1937 Dt:09/04/2018] , Billno-MDI16220032018-002",1,36406,0,3303,33103
 , ,"[TRVch# 1954 Dt:06/12/2017] , Billno-MDI16220112017-001",1,295145,135000,6624,153521
 , ,"[TRVch# 2078 Dt:10/05/2018] , Billno-MDI162202018100002",1,10569,10569,0,0
 , ,"[TRVch# 2079 Dt:10/05/2018] , Billno-MDI162202018100003",1,2502,0,252,2250
 , ,"[TRVch# 2082 Dt:10/05/2018] , Billno-MDI162202018100006",1,115118,106089,9029,0
 , ,"[TRVch# 2083 Dt:10/05/2018] , Billno-MDI162202018100007",1,8903,0,0,8903
 , ,"[TRVch# 2253 Dt:10/05/2018] , Billno-MDI16220042018-001",1,154750,80000,3575,71175
 , ,"[TRVch# 2254 Dt:10/05/2018] , Billno-MDI16220042018-002",1,85310,0,7819,77491
 , ,"[TRVch# 2261 Dt:07/07/2018] , Billno-MDI16220062018-001",1,154750,80000,3575,71175
 , ,"[TRVch# 2262 Dt:07/07/2018] , Billno-MDI16220062018-002",1,86426,0,8919,77507
 , ,"[TRVch# 2272 Dt:07/02/2018] , Billno-MDI16220012018-001",1,265138,135000,4635,125503
 , ,"[TRVch# 2273 Dt:07/02/2018] , Billno-MDI16220012018-002",1,35294,0,3303,31991
 , ,"[TRVch# 2302 Dt:09/01/2018] , Billno-MDI16220122017-001",1,261969,135000,6135,120834
 , ,"[TRVch# 2303 Dt:09/01/2018] , Billno-MDI16220122017-002",1,34877,0,19527,15350
 , ,"[TRVch# 2325 Dt:07/03/2018] , Billno-MDI16220022018-001",1,273590,135000,5358,133232
 , ,"[TRVch# 2326 Dt:07/03/2018] , Billno-MDI16220022018-002",1,36406,0,5307,31099
 , ,"[TRVch# 2331 Dt:09/08/2018] , Billno-MDI16220072018-001",1,154750,80000,3575,71175
