,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,774554,0,9073,765481
1,PNG00-211-HM GHS SAHLI,Total, ,6,774554,0,9073,765481
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,3,445504,0,2065,443439
3, , ,"[TRVch# 112 Dt:12/04/2017] , Billno-1",1,390000,0,0,390000
4, , ,"[TRVch# 113 Dt:12/04/2017] , Billno-PNG00211032017-001",1,32444,0,0,32444
5, , ,"[TRVch# 114 Dt:12/04/2017] , Billno-PNG00211032017-002",1,23060,0,2065,20995
6, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,329050,0,7008,322042
7, , ,"[TRVch# 111 Dt:12/04/2017] , Billno-02",1,204000,0,0,204000
8, , ,"[TRVch# 115 Dt:12/04/2017] , Billno-PNG00211032017-003",1,108516,0,7008,101508
9, , ,"[TRVch# 116 Dt:12/04/2017] , Billno-PNG00211032017-004",1,16534,0,0,16534
0,Grand Total, , ,5,206191,113394,7125,85672
1,PNG00-211-HM GHS SAHLI,Total, ,5,206191,113394,7125,85672
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,118539,65000,7095,46444
3, , ,"[TRVch# 69 Dt:06/05/2017] , Billno-3",1,8237,0,0,8237
4, , ,"[TRVch# 80 Dt:06/05/2017] , Billno-PNG00211042017-001",1,110302,65000,7095,38207
5, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,87652,48394,30,39228
6, , ,"[TRVch# 68 Dt:06/05/2017] , Billno-4",1,4305,3394,0,911
7, , ,"[TRVch# 81 Dt:06/05/2017] , Billno-PNG00211042017-002",1,31999,31000,15,984
8, , ,"[TRVch# 82 Dt:06/05/2017] , Billno-PNG00211042017-003",1,51348,14000,15,37333
0,Grand Total, , ,7,228419,110000,7125,111294
1,PNG00-211-HM GHS SAHLI,Total, ,7,228419,110000,7125,111294
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,110302,65000,7095,38207
3, , ,"[TRVch# 135 Dt:06/06/2017] , Billno-PNG00211052017-001",1,110302,65000,7095,38207
4, ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2104,0,0,2104
5, , ,"[TRVch# 132 Dt:06/06/2017] , Billno-07",1,2104,0,0,2104
6, ,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,3863,0,0,3863
7, , ,"[TRVch# 133 Dt:06/06/2017] , Billno-06",1,3863,0,0,3863
8, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,83347,45000,30,38317
9, , ,"[TRVch# 136 Dt:06/06/2017] , Billno-PNG00211052017-002",1,31999,31000,15,984
10, , ,"[TRVch# 137 Dt:06/06/2017] , Billno-PNG00211052017-003",1,51348,14000,15,37333
11, ,31-2202-02-796-03-S00N-V-N-02-WAGES,Total,1,26763,0,0,26763
12, , ,"[TRVch# 134 Dt:06/06/2017] , Billno-05",1,26763,0,0,26763
13, ,31-2202-02-796-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,2040,0,0,2040
14, , ,"[TRVch# 131 Dt:06/06/2017] , Billno-08",1,2040,0,0,2040
0,Grand Total, , ,8,293614,110000,7125,176489
1,PNG00-211-HM GHS SAHLI,Total, ,8,293614,110000,7125,176489
2, ,31-2202-01-796-10-S00N-V-P-41-GIA GENERAL (Salary),Total,1,62298,0,0,62298
3, , ,"[TRVch# 112 Dt:06/07/2017] , Billno-09",1,62298,0,0,62298
4, ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,1,27000,0,0,27000
5, , ,"[TRVch# 111 Dt:06/07/2017] , Billno-10",1,27000,0,0,27000
6, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,110302,65000,7095,38207
7, , ,"[TRVch# 105 Dt:06/07/2017] , Billno-PNG00211062017-001",1,110302,65000,7095,38207
8, ,31-2202-02-796-02-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1368,0,0,1368
9, , ,"[TRVch# 108 Dt:06/07/2017] , Billno-13",1,1368,0,0,1368
10, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,83347,45000,30,38317
11, , ,"[TRVch# 106 Dt:06/07/2017] , Billno-PNG00211062017-002",1,31999,31000,15,984
12, , ,"[TRVch# 107 Dt:06/07/2017] , Billno-PNG00211062017-003",1,51348,14000,15,37333
13, ,31-2202-02-796-03-S00N-V-N-02-WAGES,Total,1,7875,0,0,7875
14, , ,"[TRVch# 110 Dt:06/07/2017] , Billno-11",1,7875,0,0,7875
15, ,31-2202-02-796-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1424,0,0,1424
16, , ,"[TRVch# 109 Dt:06/07/2017] , Billno-12",1,1424,0,0,1424
0,Grand Total, , ,7,216115,110000,7125,98990
1,PNG00-211-HM GHS SAHLI,Total, ,7,216115,110000,7125,98990
2, ,31-2202-01-796-17-S00N-V-P-41-GIA GENERAL (Salary),Total,1,9000,0,0,9000
3, , ,"[TRVch# 70 Dt:03/08/2017] , Billno-14",1,9000,0,0,9000
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,110302,65000,7095,38207
5, , ,"[TRVch# 67 Dt:03/08/2017] , Billno-PNG00211072017-001",1,110302,65000,7095,38207
6, ,31-2202-02-796-02-S00N-V-N-05-OFFICE EXPENSES,Total,1,1134,0,0,1134
7, , ,"[TRVch# 73 Dt:03/08/2017] , Billno-17",1,1134,0,0,1134
8, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,83347,45000,30,38317
9, , ,"[TRVch# 68 Dt:03/08/2017] , Billno-PNG00211072017-002",1,31999,31000,15,984
10, , ,"[TRVch# 69 Dt:03/08/2017] , Billno-PNG00211072017-003",1,51348,14000,15,37333
11, ,31-2202-02-796-03-S00N-V-N-02-WAGES,Total,1,8138,0,0,8138
12, , ,"[TRVch# 71 Dt:03/08/2017] , Billno-15",1,8138,0,0,8138
13, ,31-2202-02-796-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,4194,0,0,4194
14, , ,"[TRVch# 72 Dt:03/08/2017] , Billno-16",1,4194,0,0,4194
0,Grand Total, , ,5,687386,110000,7274,570112
1,PNG00-211-HM GHS SAHLI,Total, ,5,687386,110000,7274,570112
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,2,443181,65000,7244,370937
3, , ,"[TRVch# 106 Dt:06/09/2017] , Billno-PNG00211082017-001",1,113181,65000,7244,40937
4, , ,"[TRVch# 93 Dt:06/09/2017] , Billno-18",1,330000,0,0,330000
5, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,3,244205,45000,30,199175
6, , ,"[TRVch# 107 Dt:06/09/2017] , Billno-PNG00211082017-002",1,32559,31000,15,1544
7, , ,"[TRVch# 108 Dt:06/09/2017] , Billno-PNG00211082017-003",1,51646,14000,15,37631
8, , ,"[TRVch# 92 Dt:06/09/2017] , Billno-19",1,160000,0,0,160000
0,Grand Total, , ,7,215694,114080,10850,90764
1,PNG00-211-HM GHS SAHLI,Total, ,7,215694,114080,10850,90764
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,3,124467,65000,9369,50098
3, , ,"[TRVch# 77 Dt:06/10/2017] , Billno-20",1,9834,0,0,9834
4, , ,"[TRVch# 82 Dt:06/10/2017] , Billno-22",1,200,0,0,200
5, , ,"[TRVch# 87 Dt:06/10/2017] , Billno-PNG00211092017-001",1,114433,65000,9369,40064
6, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,4,91227,49080,1481,40666
7, , ,"[TRVch# 79 Dt:06/10/2017] , Billno-21",1,6064,4080,0,1984
8, , ,"[TRVch# 85 Dt:06/10/2017] , Billno-23",1,200,0,0,200
9, , ,"[TRVch# 88 Dt:06/10/2017] , Billno-PNG00211092017-002",1,33069,31000,15,2054
10, , ,"[TRVch# 89 Dt:06/10/2017] , Billno-PNG00211092017-003",1,51894,14000,1466,36428
0,Grand Total, , ,3,200076,109000,13916,77160
1,PNG00-211-HM GHS SAHLI,Total, ,3,200076,109000,13916,77160
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,115113,66000,9435,39678
3, , ,"[TRVch# 4 Dt:01/11/2017] , Billno-PNG00211102017-001",1,115113,66000,9435,39678
4, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,84963,43000,4481,37482
5, , ,"[TRVch# 5 Dt:01/11/2017] , Billno-PNG00211102017-002",1,33069,31000,15,2054
6, , ,"[TRVch# 6 Dt:01/11/2017] , Billno-PNG00211102017-003",1,51894,12000,4466,35428
0,Grand Total, , ,4,215387,109000,14600,91787
1,PNG00-211-HM GHS SAHLI,Total, ,4,215387,109000,14600,91787
2, ,31-2202-01-796-10-S00N-V-P-41-GIA GENERAL (Salary),Total,1,12702,0,0,12702
3, , ,"[TRVch# 33 Dt:04/12/2017] , Billno-24",1,12702,0,0,12702
4, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,115713,66000,9755,39958
5, , ,"[TRVch# 37 Dt:04/12/2017] , Billno-PNG00211112017-001",1,115713,66000,9755,39958
6, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,86972,43000,4845,39127
7, , ,"[TRVch# 38 Dt:04/12/2017] , Billno-PNG00211112017-002",1,34316,31000,95,3221
8, , ,"[TRVch# 39 Dt:04/12/2017] , Billno-PNG00211112017-003",1,52656,12000,4750,35906
0,Grand Total, , ,3,202685,109000,13960,79725
1,PNG00-211-HM GHS SAHLI,Total, ,3,202685,109000,13960,79725
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,115713,66000,9435,40278
3, , ,"[TRVch# 87 Dt:09/01/2018] , Billno-PNG00211122017-001",1,115713,66000,9435,40278
4, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,86972,43000,4525,39447
5, , ,"[TRVch# 88 Dt:09/01/2018] , Billno-PNG00211122017-002",1,34316,31000,15,3301
6, , ,"[TRVch# 89 Dt:09/01/2018] , Billno-PNG00211122017-003",1,52656,12000,4510,36146
0,Grand Total, , ,3,205874,109000,12814,84060
1,PNG00-211-HM GHS SAHLI,Total, ,3,205874,109000,12814,84060
2, ,31-2202-02-796-02-S00N-V-N-01-SALARIES,Total,1,117483,66000,8270,43213
3, , ,"[TRVch# 51 Dt:09/02/2018] , Billno-PNG00211012018-001",1,117483,66000,8270,43213
4, ,31-2202-02-796-03-S00N-V-N-01-SALARIES,Total,2,88391,43000,4544,40847
5, , ,"[TRVch# 52 Dt:09/02/2018] , Billno-PNG00211012018-002",1,34710,31000,15,3695
6, , ,"[TRVch# 53 Dt:09/02/2018] , Billno-PNG00211012018-003",1,53681,12000,4529,37152
0,Grand Total, , ,30,672102,136584,15859,519659
1,PNG00-211-HM GHS SAHLI,Total, ,30,672102,136584,15859,519659
2, ,31-2202-01-796-10-S00N-V-P-41-GIA GENERAL (Salary),Total,2,125000,0,0,125000
3, , ,"[TRVch# 166 Dt:23/03/2018] , Billno-36",1,117780,0,0,117780
4, , ,"[TRVch# 360 Dt:31/03/2018] , Billno-48",1,7220,0,0,7220
