DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,716,100616788,5691959,1601844,93322985
SML00-010-COMDT.HOME GUARDS 2ND BN SHIMLA,Total, ,716,100616788,5691959,1601844,93322985
 ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,5,160000,0,0,160000
 , ,"[TRVch# 124 Dt:12/06/2017] , Billno-SML000102017100110",1,30000,0,0,30000
 , ,"[TRVch# 180 Dt:03/05/2018] , Billno-SML000102018100040",1,33000,0,0,33000
 , ,"[TRVch# 270 Dt:13/06/2018] , Billno-SML000102018100086",1,48000,0,0,48000
 , ,"[TRVch# 319 Dt:20/09/2017] , Billno-SML000102017100236",1,24000,0,0,24000
 , ,"[TRVch# 428 Dt:22/06/2018] , Billno-SML000102018100090",1,25000,0,0,25000
 ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,25,8917689,0,0,8917689
 , ,"[TRVch# 11 Dt:04/04/2018] , Billno-SML000102018100004",1,100000,0,0,100000
 , ,"[TRVch# 125 Dt:12/06/2017] , Billno-SML000102017100111",1,150000,0,0,150000
 , ,"[TRVch# 207 Dt:10/01/2018] , Billno-SML000102017100372",1,65000,0,0,65000
 , ,"[TRVch# 212 Dt:12/07/2017] , Billno-SML000102017100153",1,250000,0,0,250000
 , ,"[TRVch# 228 Dt:08/06/2018] , Billno-SML000102018100078",1,300000,0,0,300000
 , ,"[TRVch# 275 Dt:16/05/2017] , Billno-SML000102017100055",1,250000,0,0,250000
 , ,"[TRVch# 281 Dt:08/05/2018] , Billno-SML000102018100041",1,340000,0,0,340000
 , ,"[TRVch# 320 Dt:20/09/2017] , Billno-SML000102017100237",1,300000,0,0,300000
 , ,"[TRVch# 321 Dt:20/09/2017] , Billno-SML000102017100238",1,75000,0,0,75000
 , ,"[TRVch# 345 Dt:20/09/2017] , Billno-SML000102017100226",1,192506,0,0,192506
 , ,"[TRVch# 346 Dt:20/09/2017] , Billno-SML000102017100225",1,1134806,0,0,1134806
 , ,"[TRVch# 374 Dt:12/04/2018] , Billno-SML000102018100019",1,200000,0,0,200000
 , ,"[TRVch# 374 Dt:23/11/2017] , Billno-SML000102017100310",1,100000,0,0,100000
 , ,"[TRVch# 375 Dt:12/04/2018] , Billno-SML000102018100020",1,500000,0,0,500000
 , ,"[TRVch# 420 Dt:23/05/2017] , Billno-SML000102017100063",1,50000,0,0,50000
 , ,"[TRVch# 435 Dt:28/08/2017] , Billno-SML000102017100204",1,60000,0,0,60000
 , ,"[TRVch# 480 Dt:27/06/2018] , Billno-SML000102018100095",1,260000,0,0,260000
 , ,"[TRVch# 522 Dt:30/08/2018] , Billno-SML000102018100174",1,1000000,0,0,1000000
 , ,"[TRVch# 562 Dt:20/04/2018] , Billno-SML000102018100023",1,177901,0,0,177901
 , ,"[TRVch# 613 Dt:28/05/2018] , Billno-SML000102018100068",1,300000,0,0,300000
 , ,"[TRVch# 9 Dt:04/04/2018] , Billno-SML000102018100006",1,1763401,0,0,1763401
 , ,"[TRVch# 922 Dt:29/04/2017] , Billno-SML000102017100025",1,700000,0,0,700000
 , ,"[TRVch# 923 Dt:29/04/2017] , Billno-SML000102017100026",1,300000,0,0,300000
 , ,"[TRVch# 95 Dt:10/10/2017] , Billno-SML000102017100254",1,249075,0,0,249075
 , ,"[TRVch# 98 Dt:08/03/2018] , Billno-SML000102017100478",1,100000,0,0,100000
 ,00-8011-00-107-02-S00N-V-N-00- ,Total,5,171740,0,0,171740
 , ,"[TRVch# 11 Dt:13/03/2018] , Billno-SML000102017100494",1,28050,0,0,28050
 , ,"[TRVch# 12 Dt:13/03/2018] , Billno-SML000102017100489",1,36834,0,0,36834
 , ,"[TRVch# 15 Dt:15/03/2018] , Billno-SML000102017100488",1,42162,0,0,42162
 , ,"[TRVch# 16 Dt:15/03/2018] , Billno-SML000102017100495",1,21388,0,0,21388
 , ,"[TRVch# 41 Dt:24/01/2018] , Billno-SML000102017100397",1,43306,0,0,43306
 ,07-2070-00-107-02-C25N-V-N-01-SALARIES,Total,21,1789214,441414,162870,1184930
 , ,"[TRVch# 1 Dt:01/01/2018] , Billno-SML00010122017-001",1,97521,25000,9870,62651
 , ,"[TRVch# 1 Dt:01/03/2018] , Billno-SML00010022018-001",1,104782,25000,870,78912
 , ,"[TRVch# 1 Dt:01/05/2018] , Billno-SML00010042018-001",1,104782,25000,12870,66912
 , ,"[TRVch# 1 Dt:01/06/2018] , Billno-SML00010052018-001",1,104782,25000,12870,66912
 , ,"[TRVch# 1 Dt:01/07/2017] , Billno-SML00010062017-001",1,94253,15000,9870,69383
 , ,"[TRVch# 1 Dt:01/08/2017] , Billno-SML00010072017-001",1,94253,15000,9870,69383
 , ,"[TRVch# 1 Dt:01/08/2018] , Billno-SML00010072018-001",1,104782,25000,12870,66912
 , ,"[TRVch# 1 Dt:01/09/2017] , Billno-SML00010082017-001",1,95812,15000,9870,70942
 , ,"[TRVch# 1 Dt:01/11/2017] , Billno-SML00010102017-001",1,97371,15000,9870,72501
 , ,"[TRVch# 1 Dt:01/12/2017] , Billno-SML00010112017-001",1,97371,15000,9950,72421
 , ,"[TRVch# 1 Dt:03/04/2017] , Billno-SML00010032017-001",1,92959,15000,9870,68089
 , ,"[TRVch# 2 Dt:01/05/2017] , Billno-SML00010042017-001",1,94253,15000,9870,69383
 , ,"[TRVch# 27 Dt:07/03/2018] , Billno-SML000102017100467",1,7020,7020,0,0
 , ,"[TRVch# 3 Dt:03/04/2018] , Billno-SML00010032018-001",1,104782,25000,10870,68912
 , ,"[TRVch# 3 Dt:03/10/2017] , Billno-SML00010092017-003",1,97371,15000,9870,72501
 , ,"[TRVch# 5 Dt:01/02/2018] , Billno-SML00010012018-001",1,98691,25000,870,72821
 , ,"[TRVch# 58 Dt:12/12/2017] , Billno-SML000102017100342",1,12427,12427,0,0
 , ,"[TRVch# 6 Dt:02/07/2018] , Billno-SML00010062018-001",1,104782,25000,12870,66912
 , ,"[TRVch# 75 Dt:16/03/2018] , Billno-SML000102017100483",1,76684,76684,0,0
 , ,"[TRVch# 8 Dt:01/06/2017] , Billno-SML00010052017-001",1,94253,15000,9870,69383
 , ,"[TRVch# 87 Dt:30/05/2017] , Billno-SML000102017100077",1,10283,10283,0,0
 ,07-2070-00-107-02-C25N-V-N-02-WAGES,Total,13,3534646,0,0,3534646
 , ,"[TRVch# 12 Dt:04/04/2018] , Billno-SML000102018100003",1,861924,0,0,861924
 , ,"[TRVch# 17 Dt:03/10/2017] , Billno-SML000102017100246",1,565576,0,0,565576
 , ,"[TRVch# 18 Dt:02/05/2017] , Billno-SML000102017100027",1,350546,0,0,350546
 , ,"[TRVch# 19 Dt:02/05/2017] , Billno-SML000102017100028",1,261140,0,0,261140
 , ,"[TRVch# 20 Dt:01/09/2017] , Billno-SML000102017100209",1,974526,0,0,974526
 , ,"[TRVch# 20 Dt:02/05/2017] , Billno-SML000102017100029",1,264162,0,0,264162
 , ,"[TRVch# 25 Dt:03/08/2018] , Billno-SML000102018100132",1,112956,0,0,112956
 , ,"[TRVch# 34 Dt:14/08/2018] , Billno-SML000102018100155",1,34180,0,0,34180
 , ,"[TRVch# 38 Dt:13/09/2017] , Billno-SML000102017100223",1,21690,0,0,21690
 , ,"[TRVch# 40 Dt:13/06/2018] , Billno-SML000102018100087",1,23820,0,0,23820
 , ,"[TRVch# 60 Dt:13/07/2017] , Billno-SML000102017100156",1,18000,0,0,18000
 , ,"[TRVch# 61 Dt:15/07/2017] , Billno-SML000102017100157",1,28126,0,0,28126
 , ,"[TRVch# 70 Dt:21/07/2017] , Billno-SML000102017100167",1,18000,0,0,18000
 ,07-2070-00-107-02-C25N-V-N-03-TRAVEL EXPENSES,Total,1,1640,0,0,1640
 , ,"[TRVch# 36 Dt:05/02/2018] , Billno-SML000102017100421",1,1640,0,0,1640
 ,07-2070-00-107-02-C25N-V-N-05-OFFICE EXPENSES,Total,32,164817,0,0,164817
 , ,"[TRVch# 106 Dt:22/03/2018] , Billno-SML000102017100523",1,7800,0,0,7800
 , ,"[TRVch# 116 Dt:23/03/2018] , Billno-SML000102017100526",1,1100,0,0,1100
 , ,"[TRVch# 130 Dt:26/03/2018] , Billno-SML000102017100517",1,3362,0,0,3362
 , ,"[TRVch# 131 Dt:26/03/2018] , Billno-SML000102017100530",1,1451,0,0,1451
 , ,"[TRVch# 14 Dt:06/04/2018] , Billno-SML000102018100010",1,3312,0,0,3312
 , ,"[TRVch# 18 Dt:03/03/2018] , Billno-SML000102017100456",1,6600,0,0,6600
 , ,"[TRVch# 19 Dt:01/06/2018] , Billno-SML000102018100073",1,1344,0,0,1344
 , ,"[TRVch# 22 Dt:03/07/2017] , Billno-SML000102017100123",1,153,0,0,153
 , ,"[TRVch# 26 Dt:02/02/2018] , Billno-SML000102017100411",1,6600,0,0,6600
 , ,"[TRVch# 28 Dt:04/07/2018] , Billno-SML000102018100102",1,2500,0,0,2500
 , ,"[TRVch# 29 Dt:02/12/2017] , Billno-SML000102017100316",1,14845,0,0,14845
 , ,"[TRVch# 29 Dt:06/08/2018] , Billno-SML000102018100149",1,2380,0,0,2380
 , ,"[TRVch# 36 Dt:04/05/2017] , Billno-SML000102017100043",1,8700,0,0,8700
 , ,"[TRVch# 36 Dt:16/05/2018] , Billno-SML000102018100056",1,1423,0,0,1423
