,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,4,502486,117000,12206,373280
1,SML00-022-CIVIL JUDGE (JR DIVISION-IV) SHIMLA,Total, ,4,502486,117000,12206,373280
2, ,00-2014-01-102-01-S00N-V-N-25-REFUNDS,Total,1,17410,0,0,17410
3, , ,"[TRVch# 109 Dt:25/04/2017] , Billno-SML000222017005001",1,17410,0,0,17410
4, ,03-2014-00-105-01-S00N-V-N-01-SALARIES,Total,3,485076,117000,12206,355870
5, , ,"[TRVch# 38 Dt:03/04/2017] , Billno-SML00022032017-001",1,88098,15000,120,72978
6, , ,"[TRVch# 39 Dt:03/04/2017] , Billno-SML00022032017-002",1,267650,102000,2390,163260
7, , ,"[TRVch# 40 Dt:03/04/2017] , Billno-SML00022032017-003",1,129328,0,9696,119632
0,Grand Total, , ,6,542195,109000,22326,410869
1,SML00-022-CIVIL JUDGE (JR DIVISION-IV) SHIMLA,Total, ,6,542195,109000,22326,410869
2, ,03-2014-00-105-01-S00N-V-N-01-SALARIES,Total,3,494266,109000,22326,362940
3, , ,"[TRVch# 12 Dt:01/05/2017] , Billno-SML00022042017-002",1,273539,94000,5390,174149
4, , ,"[TRVch# 40 Dt:01/05/2017] , Billno-SML00022042017-001",1,89298,15000,7120,67178
5, , ,"[TRVch# 8 Dt:01/05/2017] , Billno-SML00022042017-003",1,131429,0,9816,121613
6, ,03-2014-00-105-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,7644,0,0,7644
7, , ,"[TRVch# 142 Dt:16/05/2017] , Billno-SML000222017000001",1,7644,0,0,7644
8, ,"03-2014-00-105-01-S00N-V-N-30-MOTOR VEHICLES OS,POL,REPAIR",Total,1,10285,0,0,10285
9, , ,"[TRVch# 141 Dt:16/05/2017] , Billno-SML000222017000003",1,10285,0,0,10285
10, ,03-2014-00-108-01-S00N-V-N-20-OTHER CHARGES,Total,1,30000,0,0,30000
11, , ,"[TRVch# 140 Dt:16/05/2017] , Billno-SML000222017000002",1,30000,0,0,30000
0,Grand Total, , ,31,830216,148296,23505,658415
1,SML00-022-CIVIL JUDGE (JR DIVISION-IV) SHIMLA,Total, ,31,830216,148296,23505,658415
2, ,00-2014-01-102-01-S00N-V-N-25-REFUNDS,Total,4,75000,0,0,75000
3, , ,"[TRVch# 123 Dt:22/06/2017] , Billno-SML000222017005007",1,20000,0,0,20000
4, , ,"[TRVch# 124 Dt:22/06/2017] , Billno-SML000222017005002",1,20000,0,0,20000
5, , ,"[TRVch# 125 Dt:22/06/2017] , Billno-SML000222017005006",1,25000,0,0,25000
6, , ,"[TRVch# 128 Dt:22/06/2017] , Billno-SML000222017005004",1,10000,0,0,10000
7, ,00-2075-00-800-00-S00N-V-N-25-REFUNDS,Total,19,162122,0,0,162122
8, , ,"[TRVch# 10 Dt:23/06/2017] , Billno-SML000222017001182",1,2700,0,0,2700
9, , ,"[TRVch# 11 Dt:23/06/2017] , Billno-SML000222017001201",1,5700,0,0,5700
10, , ,"[TRVch# 12 Dt:23/06/2017] , Billno-SML000222017001183",1,22000,0,0,22000
11, , ,"[TRVch# 13 Dt:23/06/2017] , Billno-SML000222017001192",1,1000,0,0,1000
12, , ,"[TRVch# 14 Dt:23/06/2017] , Billno-SML000222017001197",1,1000,0,0,1000
13, , ,"[TRVch# 15 Dt:23/06/2017] , Billno-SML000222017001187",1,1000,0,0,1000
14, , ,"[TRVch# 16 Dt:23/06/2017] , Billno-SML000222017001189",1,7100,0,0,7100
15, , ,"[TRVch# 17 Dt:23/06/2017] , Billno-SML000222017001188",1,1000,0,0,1000
16, , ,"[TRVch# 18 Dt:23/06/2017] , Billno-SML000222017001184",1,65892,0,0,65892
17, , ,"[TRVch# 19 Dt:23/06/2017] , Billno-SML000222017001185",1,6000,0,0,6000
18, , ,"[TRVch# 2 Dt:23/06/2017] , Billno-SML000222017001193",1,8500,0,0,8500
19, , ,"[TRVch# 20 Dt:23/06/2017] , Billno-SML000222017001186",1,1700,0,0,1700
20, , ,"[TRVch# 3 Dt:23/06/2017] , Billno-SML000222017001194",1,5380,0,0,5380
21, , ,"[TRVch# 4 Dt:23/06/2017] , Billno-SML000222017001195",1,1450,0,0,1450
22, , ,"[TRVch# 5 Dt:23/06/2017] , Billno-SML000222017001196",1,1000,0,0,1000
23, , ,"[TRVch# 6 Dt:23/06/2017] , Billno-SML000222017001198",1,1000,0,0,1000
24, , ,"[TRVch# 7 Dt:23/06/2017] , Billno-SML000222017001199",1,3500,0,0,3500
25, , ,"[TRVch# 8 Dt:23/06/2017] , Billno-SML000222017001200",1,12200,0,0,12200
26, , ,"[TRVch# 9 Dt:23/06/2017] , Billno-SML000222017001181",1,14000,0,0,14000
27, ,00-8443-00-104-00-S00N-V-N-25-REFUNDS,Total,2,68100,0,0,68100
28, , ,"[TRVch# 27 Dt:23/06/2017] , Billno-SML000222017001190",1,48600,0,0,48600
29, , ,"[TRVch# 28 Dt:23/06/2017] , Billno-SML000222017001191",1,19500,0,0,19500
30, ,03-2014-00-105-01-S00N-V-N-01-SALARIES,Total,6,524994,148296,23505,353193
31, , ,"[TRVch# 100 Dt:14/06/2017] , Billno-SML000222017000005",1,29783,29783,0,0
32, , ,"[TRVch# 101 Dt:14/06/2017] , Billno-SML000222017000006",1,13767,0,1072,12695
33, , ,"[TRVch# 4 Dt:01/06/2017] , Billno-SML00022052017-001",1,89298,15000,7120,67178
34, , ,"[TRVch# 5 Dt:01/06/2017] , Billno-SML00022052017-002",1,273539,94000,5390,174149
35, , ,"[TRVch# 6 Dt:01/06/2017] , Billno-SML00022052017-003",1,109094,0,9923,99171
36, , ,"[TRVch# 99 Dt:14/06/2017] , Billno-SML000222017000004",1,9513,9513,0,0
0,Grand Total, , ,22,646707,109000,22423,515284
1,SML00-022-CIVIL JUDGE (JR DIVISION-IV) SHIMLA,Total, ,22,646707,109000,22423,515284
2, ,00-2075-00-800-00-S00N-V-N-25-REFUNDS,Total,19,174603,0,0,174603
3, , ,"[TRVch# 1 Dt:01/07/2017] , Billno-SML000222017001227",1,6300,0,0,6300
4, , ,"[TRVch# 10 Dt:01/07/2017] , Billno-SML000222017001220",1,1650,0,0,1650
5, , ,"[TRVch# 11 Dt:01/07/2017] , Billno-SML000222017001219",1,5710,0,0,5710
6, , ,"[TRVch# 12 Dt:01/07/2017] , Billno-SML000222017001218",1,9810,0,0,9810
7, , ,"[TRVch# 13 Dt:01/07/2017] , Billno-SML000222017001217",1,4080,0,0,4080
8, , ,"[TRVch# 14 Dt:01/07/2017] , Billno-SML000222017001216",1,5300,0,0,5300
9, , ,"[TRVch# 15 Dt:01/07/2017] , Billno-SML000222017001215",1,2700,0,0,2700
10, , ,"[TRVch# 16 Dt:01/07/2017] , Billno-SML000222017001230",1,111854,0,0,111854
11, , ,"[TRVch# 17 Dt:01/07/2017] , Billno-SML000222017001229",1,6100,0,0,6100
12, , ,"[TRVch# 18 Dt:01/07/2017] , Billno-SML000222017001228",1,3000,0,0,3000
13, , ,"[TRVch# 19 Dt:01/07/2017] , Billno-SML000222017001214",1,1500,0,0,1500
14, , ,"[TRVch# 2 Dt:01/07/2017] , Billno-SML000222017001225",1,2255,0,0,2255
15, , ,"[TRVch# 3 Dt:01/07/2017] , Billno-SML000222017001226",1,2255,0,0,2255
16, , ,"[TRVch# 4 Dt:01/07/2017] , Billno-SML000222017001222",1,1700,0,0,1700
17, , ,"[TRVch# 5 Dt:01/07/2017] , Billno-SML000222017001224",1,1889,0,0,1889
18, , ,"[TRVch# 6 Dt:01/07/2017] , Billno-SML000222017001223",1,4500,0,0,4500
19, , ,"[TRVch# 7 Dt:01/07/2017] , Billno-SML000222017001221",1,1000,0,0,1000
20, , ,"[TRVch# 8 Dt:01/07/2017] , Billno-SML000222017001231",1,1000,0,0,1000
