DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,7,35070,0,0,35070
SML00-104-AE PWD RAJ BHAWAN SHIMLA,Total, ,7,35070,0,0,35070
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,7,35070,0,0,35070
 , ,"[TRVch# 112 Dt:03/06/2017] , Billno-SML001042017000002",1,6200,0,0,6200
 , ,"[TRVch# 153 Dt:05/09/2017] , Billno-SML001042017000005",1,6510,0,0,6510
 , ,"[TRVch# 154 Dt:05/09/2017] , Billno-SML001042017000006",1,1220,0,0,1220
 , ,"[TRVch# 183 Dt:08/08/2017] , Billno-SML001042017000004",1,6200,0,0,6200
 , ,"[TRVch# 186 Dt:23/05/2017] , Billno-SML001042017000001",1,6000,0,0,6000
 , ,"[TRVch# 296 Dt:26/12/2017] , Billno-SML001042017000007",1,2940,0,0,2940
 , ,"[TRVch# 94 Dt:05/07/2017] , Billno-SML001042017000003",1,6000,0,0,6000
