,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,1830860,64125,14929,1751806
1,SML01-205-GSSS GAUNTH,Total, ,6,1830860,64125,14929,1751806
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,1350000,0,0,1350000
3, , ,"[TRVch# 1355 Dt:29/04/2017] , Billno-SML012052017100001",1,700000,0,0,700000
4, , ,"[TRVch# 1356 Dt:29/04/2017] , Billno-SML012052017100002",1,150000,0,0,150000
5, , ,"[TRVch# 1359 Dt:29/04/2017] , Billno-SML012052017100003",1,500000,0,0,500000
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,105261,0,3460,101801
7, , ,"[TRVch# 1768 Dt:29/04/2017] , Billno-SML01205032017-001",1,105261,0,3460,101801
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,375599,64125,11469,300005
9, , ,"[TRVch# 1769 Dt:29/04/2017] , Billno-SML01205032017-002",1,168384,62000,1454,104930
10, , ,"[TRVch# 1770 Dt:29/04/2017] , Billno-SML01205032017-003",1,207215,2125,10015,195075
0,Grand Total, , ,6,524857,83000,22891,418966
1,SML01-205-GSSS GAUNTH,Total, ,6,524857,83000,22891,418966
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,112257,0,3754,108503
3, , ,"[TRVch# 1336 Dt:31/05/2017] , Billno-SML01205042017-001",1,109656,0,3490,106166
4, , ,"[TRVch# 1388 Dt:31/05/2017] , Billno-SML012052017100004",1,2601,0,264,2337
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,412600,83000,19137,310463
6, , ,"[TRVch# 1337 Dt:31/05/2017] , Billno-SML01205042017-002",1,170506,62000,6454,102052
7, , ,"[TRVch# 1338 Dt:31/05/2017] , Billno-SML01205042017-003",1,216319,2125,12092,202102
8, , ,"[TRVch# 1389 Dt:31/05/2017] , Billno-SML012052017100005",1,18875,18875,0,0
9, , ,"[TRVch# 1390 Dt:31/05/2017] , Billno-SML012052017100006",1,6900,0,591,6309
0,Grand Total, , ,7,595884,64125,22066,509693
1,SML01-205-GSSS GAUNTH,Total, ,7,595884,64125,22066,509693
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,124086,0,3520,120566
3, , ,"[TRVch# 654 Dt:30/06/2017] , Billno-SML01205052017-001",1,124086,0,3520,120566
4, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,662,0,0,662
5, , ,"[TRVch# 708 Dt:30/06/2017] , Billno-SML012052017100011",1,662,0,0,662
6, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,61500,0,0,61500
7, , ,"[TRVch# 706 Dt:30/06/2017] , Billno-SML012052017100008",1,61500,0,0,61500
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,388690,64125,18546,306019
9, , ,"[TRVch# 655 Dt:30/06/2017] , Billno-SML01205052017-002",1,171991,62000,6454,103537
10, , ,"[TRVch# 656 Dt:30/06/2017] , Billno-SML01205052017-003",1,216699,2125,12092,202482
11, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,2,20946,0,0,20946
12, , ,"[TRVch# 705 Dt:30/06/2017] , Billno-SML012052017100007",1,16001,0,0,16001
13, , ,"[TRVch# 707 Dt:30/06/2017] , Billno-SML012052017100010",1,4945,0,0,4945
0,Grand Total, , ,10,609461,64125,22066,523270
1,SML01-205-GSSS GAUNTH,Total, ,10,609461,64125,22066,523270
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,124086,0,3520,120566
3, , ,"[TRVch# 677 Dt:31/07/2017] , Billno-SML01205062017-001",1,124086,0,3520,120566
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3266,0,0,3266
5, , ,"[TRVch# 739 Dt:31/07/2017] , Billno-SML012052017100012",1,3266,0,0,3266
6, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,2,62120,0,0,62120
7, , ,"[TRVch# 733 Dt:31/07/2017] , Billno-SML012052017100009",1,48530,0,0,48530
8, , ,"[TRVch# 738 Dt:31/07/2017] , Billno-SML012052017100020",1,13590,0,0,13590
9, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,22500,0,0,22500
10, , ,"[TRVch# 736 Dt:31/07/2017] , Billno-SML012052017100018",1,22500,0,0,22500
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,388495,64125,18546,305824
12, , ,"[TRVch# 678 Dt:31/07/2017] , Billno-SML01205062017-002",1,171711,62000,6454,103257
13, , ,"[TRVch# 679 Dt:31/07/2017] , Billno-SML01205062017-003",1,216784,2125,12092,202567
14, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,3,8994,0,0,8994
15, , ,"[TRVch# 734 Dt:31/07/2017] , Billno-SML012052017100015",1,2195,0,0,2195
16, , ,"[TRVch# 735 Dt:31/07/2017] , Billno-SML012052017100016",1,4999,0,0,4999
17, , ,"[TRVch# 737 Dt:31/07/2017] , Billno-SML012052017100019",1,1800,0,0,1800
0,Grand Total, , ,7,563110,64125,22066,476919
1,SML01-205-GSSS GAUNTH,Total, ,7,563110,64125,22066,476919
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,131542,0,3520,128022
3, , ,"[TRVch# 1382 Dt:05/08/2017] , Billno-SML01205072017-001",1,124086,0,3520,120566
4, , ,"[TRVch# 1423 Dt:05/08/2017] , Billno-SML012052017100021",1,7456,0,0,7456
5, ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,1000,0,0,1000
6, , ,"[TRVch# 1422 Dt:05/08/2017] , Billno-SML012052017100025",1,1000,0,0,1000
7, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,12823,0,0,12823
8, , ,"[TRVch# 1424 Dt:05/08/2017] , Billno-SML012052017100026",1,12823,0,0,12823
9, ,08-2202-01-800-06-S00N-V-P-41-GIA GENERAL (Salary),Total,1,29250,0,0,29250
10, , ,"[TRVch# 1421 Dt:05/08/2017] , Billno-SML012052017100023",1,29250,0,0,29250
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,388495,64125,18546,305824
12, , ,"[TRVch# 1383 Dt:05/08/2017] , Billno-SML01205072017-002",1,171711,62000,6454,103257
