,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,1116354,245516,20090,850748
1,SML02-537-TEHSILDAR KOTKHAI,Total, ,6,1116354,245516,20090,850748
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,250000,0,0,250000
3, , ,"[TRVch# 1106 Dt:29/04/2017] , Billno-SML025372017100001",1,100000,0,0,100000
4, , ,"[TRVch# 1136 Dt:29/04/2017] , Billno-SML025372017100007",1,150000,0,0,150000
5, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,1,482837,140100,3637,339100
6, , ,"[TRVch# 23 Dt:29/04/2017] , Billno-SML02537032017-001",1,482837,140100,3637,339100
7, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,315716,85416,16393,213907
8, , ,"[TRVch# 38 Dt:29/04/2017] , Billno-SML02537032017-002",1,273296,85416,11804,176076
9, , ,"[TRVch# 39 Dt:29/04/2017] , Billno-SML02537032017-003",1,42420,0,4589,37831
10, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,67801,20000,60,47741
11, , ,"[TRVch# 40 Dt:29/04/2017] , Billno-SML02537032017-004",1,67801,20000,60,47741
0,Grand Total, , ,16,1430656,275229,38134,1117293
1,SML02-537-TEHSILDAR KOTKHAI,Total, ,16,1430656,275229,38134,1117293
2, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,695877,117600,5842,572435
3, , ,"[TRVch# 30 Dt:31/05/2017] , Billno-SML02537042017-005",1,441744,117600,4462,319682
4, , ,"[TRVch# 31 Dt:31/05/2017] , Billno-SML025372017000001",1,254133,0,1380,252753
5, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,5,380129,106673,21016,252440
6, , ,"[TRVch# 72 Dt:31/05/2017] , Billno-SML02537042017-001",1,276745,85416,14908,176421
7, , ,"[TRVch# 73 Dt:31/05/2017] , Billno-SML02537042017-002",1,43581,0,4704,38877
8, , ,"[TRVch# 78 Dt:31/05/2017] , Billno-SML025372017100003",1,4734,0,468,4266
9, , ,"[TRVch# 79 Dt:31/05/2017] , Billno-SML025372017100004",1,32573,21257,936,10380
10, , ,"[TRVch# 85 Dt:31/05/2017] , Billno-SML025372017000003",1,22496,0,0,22496
11, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,9,354650,50956,11276,292418
12, , ,"[TRVch# 74 Dt:31/05/2017] , Billno-SML02537042017-003",1,68663,20000,4060,44603
13, , ,"[TRVch# 75 Dt:31/05/2017] , Billno-SML02537042017-004",1,36035,0,3533,32502
14, , ,"[TRVch# 76 Dt:31/05/2017] , Billno-SML025372017000002",1,132912,0,120,132792
15, , ,"[TRVch# 77 Dt:31/05/2017] , Billno-SML025372017100005",1,7608,7608,0,0
16, , ,"[TRVch# 80 Dt:31/05/2017] , Billno-SML025372017100006",1,6792,0,0,6792
17, , ,"[TRVch# 81 Dt:31/05/2017] , Billno-SML025372017100012",1,2830,0,0,2830
18, , ,"[TRVch# 82 Dt:31/05/2017] , Billno-SML025372017100011",1,3348,3348,0,0
19, , ,"[TRVch# 83 Dt:31/05/2017] , Billno-SML025372017100010",1,36035,0,3503,32532
20, , ,"[TRVch# 84 Dt:31/05/2017] , Billno-SML025372017100008",1,60427,20000,60,40367
0,Grand Total, , ,11,1760878,255016,32134,1473728
1,SML02-537-TEHSILDAR KOTKHAI,Total, ,11,1760878,255016,32134,1473728
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,800000,0,0,800000
3, , ,"[TRVch# 410 Dt:30/06/2017] , Billno-SML025372017100022",1,800000,0,0,800000
4, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,2,455565,149600,4866,301099
5, , ,"[TRVch# 19 Dt:30/06/2017] , Billno-SML02537052017-001",1,398600,117600,3836,277164
6, , ,"[TRVch# 20 Dt:30/06/2017] , Billno-SML025372017100018",1,56965,32000,1030,23935
7, ,05-2029-00-103-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,72912,0,0,72912
8, , ,"[TRVch# 21 Dt:30/06/2017] , Billno-SML025372017100020",1,17581,0,0,17581
9, , ,"[TRVch# 22 Dt:30/06/2017] , Billno-SML025372017100019",1,55331,0,0,55331
10, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,2,320961,85416,19675,215870
11, , ,"[TRVch# 30 Dt:30/06/2017] , Billno-SML02537052017-002",1,276745,85416,14908,176421
12, , ,"[TRVch# 31 Dt:30/06/2017] , Billno-SML02537052017-003",1,44216,0,4767,39449
13, ,05-2053-00-093-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,5035,0,0,5035
14, , ,"[TRVch# 34 Dt:30/06/2017] , Billno-SML025372017100021",1,5035,0,0,5035
15, ,05-2053-00-093-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,1707,0,0,1707
16, , ,"[TRVch# 35 Dt:30/06/2017] , Billno-SML025372017100014",1,1707,0,0,1707
17, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,2,104698,20000,7593,77105
18, , ,"[TRVch# 32 Dt:30/06/2017] , Billno-SML02537052017-004",1,68663,20000,4060,44603
19, , ,"[TRVch# 33 Dt:30/06/2017] , Billno-SML02537052017-005",1,36035,0,3533,32502
