,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,883539,144000,22263,717276
1,SML04-221-GSSS KIARA,Total, ,7,883539,144000,22263,717276
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,210000,0,0,210000
3, , ,"[TRVch# 1084 Dt:29/04/2017] , Billno-SML042212017100003",1,130000,0,0,130000
4, , ,"[TRVch# 1085 Dt:29/04/2017] , Billno-SML042212017100004",1,80000,0,0,80000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,257127,39000,4798,213329
6, , ,"[TRVch# 1229 Dt:29/04/2017] , Billno-SML04221032017-001",1,131240,0,4738,126502
7, , ,"[TRVch# 1230 Dt:29/04/2017] , Billno-SML04221032017-002",1,125887,39000,60,86827
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,416412,105000,17465,293947
9, , ,"[TRVch# 1231 Dt:29/04/2017] , Billno-SML04221032017-003",1,63153,30000,60,33093
10, , ,"[TRVch# 1232 Dt:29/04/2017] , Billno-SML04221032017-004",1,167734,0,15107,152627
11, , ,"[TRVch# 1233 Dt:29/04/2017] , Billno-SML04221032017-005",1,185525,75000,2298,108227
0,Grand Total, , ,11,759525,194036,36638,528851
1,SML04-221-GSSS KIARA,Total, ,11,759525,194036,36638,528851
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,283299,52548,7910,222841
3, , ,"[TRVch# 2863 Dt:31/05/2017] , Billno-SML04221042017-001",1,136062,0,5800,130262
4, , ,"[TRVch# 2864 Dt:31/05/2017] , Billno-SML04221042017-002",1,127473,42000,1560,83913
5, , ,"[TRVch# 3028 Dt:31/05/2017] , Billno-SML042212017100007",1,14238,10548,0,3690
6, , ,"[TRVch# 3032 Dt:31/05/2017] , Billno-SML042212017100006",1,5526,0,550,4976
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,469929,141488,28728,299713
8, , ,"[TRVch# 2865 Dt:31/05/2017] , Billno-SML04221042017-003",1,63957,30000,3060,30897
9, , ,"[TRVch# 2866 Dt:31/05/2017] , Billno-SML04221042017-004",1,172442,0,15418,157024
10, , ,"[TRVch# 2867 Dt:31/05/2017] , Billno-SML04221042017-005",1,187873,83000,8526,96347
11, , ,"[TRVch# 3029 Dt:31/05/2017] , Billno-SML042212017100008",1,7236,7236,0,0
12, , ,"[TRVch# 3030 Dt:31/05/2017] , Billno-SML042212017100009",1,14694,0,1477,13217
13, , ,"[TRVch# 3031 Dt:31/05/2017] , Billno-SML042212017100010",1,23727,21252,247,2228
14, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,6297,0,0,6297
15, , ,"[TRVch# 3148 Dt:31/05/2017] , Billno-SML042212017100013",1,6297,0,0,6297
0,Grand Total, , ,8,718888,150000,34433,534455
1,SML04-221-GSSS KIARA,Total, ,8,718888,150000,34433,534455
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,291205,37000,7429,246776
3, , ,"[TRVch# 2019 Dt:30/06/2017] , Billno-SML04221052017-001",1,151172,0,5830,145342
4, , ,"[TRVch# 2020 Dt:30/06/2017] , Billno-SML04221052017-002",1,128580,37000,1560,90020
5, , ,"[TRVch# 2211 Dt:30/06/2017] , Billno-SML042212017100018",1,616,0,9,607
6, , ,"[TRVch# 2212 Dt:30/06/2017] , Billno-SML042212017100017",1,10837,0,30,10807
