,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,10,3477490,886800,62334,2528356
1,SML06-001-BLOCK MEDICAL OFFICER (FOR TIKKAR),Total, ,10,3477490,886800,62334,2528356
2, ,00-8009-01-101-01-S00N-V-N-47-ADVANCES,Total,1,55000,0,0,55000
3, , ,"[TRVch# 557 Dt:29/04/2017] , Billno-SML060012017100004",1,55000,0,0,55000
4, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,425000,0,0,425000
5, , ,"[TRVch# 554 Dt:29/04/2017] , Billno-SML060012017100001",1,125000,0,0,125000
6, , ,"[TRVch# 555 Dt:29/04/2017] , Billno-SML060012017100002",1,200000,0,0,200000
7, , ,"[TRVch# 556 Dt:29/04/2017] , Billno-SML060012017100003",1,100000,0,0,100000
8, ,09-2210-01-200-01-S00N-V-N-01-SALARIES,Total,2,126848,0,10473,116375
9, , ,"[TRVch# 30 Dt:29/04/2017] , Billno-SML06001032017-001",1,116157,0,10473,105684
10, , ,"[TRVch# 31 Dt:29/04/2017] , Billno-SML06001032017-002",1,10691,0,0,10691
11, ,09-2210-03-110-01-S00N-V-N-01-SALARIES,Total,3,2257663,632800,41202,1583661
12, , ,"[TRVch# 32 Dt:29/04/2017] , Billno-SML06001032017-003",1,431004,0,9434,421570
13, , ,"[TRVch# 33 Dt:29/04/2017] , Billno-SML06001032017-004",1,1681296,632800,17607,1030889
14, , ,"[TRVch# 34 Dt:29/04/2017] , Billno-SML06001032017-005",1,145363,0,14161,131202
15, ,09-2211-00-101-01-S00N-V-N-01-SALARIES,Total,1,612979,254000,10659,348320
16, , ,"[TRVch# 7 Dt:29/04/2017] , Billno-SML06001032017-006",1,612979,254000,10659,348320
0,Grand Total, , ,19,4091254,1193831,146578,2750845
1,SML06-001-BLOCK MEDICAL OFFICER (FOR TIKKAR),Total, ,19,4091254,1193831,146578,2750845
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,570000,0,0,570000
3, , ,"[TRVch# 1078 Dt:31/05/2017] , Billno-SML060012017100017",1,500000,0,0,500000
4, , ,"[TRVch# 1079 Dt:31/05/2017] , Billno-SML060012017100018",1,70000,0,0,70000
5, ,09-2210-01-200-01-S00N-V-N-01-SALARIES,Total,2,128295,0,19555,108740
6, , ,"[TRVch# 429 Dt:31/05/2017] , Billno-SML06001042017-001",1,118605,0,18583,100022
7, , ,"[TRVch# 439 Dt:31/05/2017] , Billno-SML060012017100012",1,9690,0,972,8718
8, ,09-2210-03-110-01-S00N-V-N-01-SALARIES,Total,7,2477885,859245,108053,1510587
9, , ,"[TRVch# 430 Dt:31/05/2017] , Billno-SML06001042017-002",1,442325,0,41772,400553
10, , ,"[TRVch# 431 Dt:31/05/2017] , Billno-SML06001042017-003",1,1648721,680800,48577,919344
11, , ,"[TRVch# 432 Dt:31/05/2017] , Billno-SML06001042017-005",1,147189,0,15112,132077
12, , ,"[TRVch# 433 Dt:31/05/2017] , Billno-SML060012017100005",1,11375,0,0,11375
13, , ,"[TRVch# 440 Dt:31/05/2017] , Billno-SML060012017100013",1,28939,0,770,28169
14, , ,"[TRVch# 441 Dt:31/05/2017] , Billno-SML060012017100014",1,181016,178445,0,2571
15, , ,"[TRVch# 442 Dt:31/05/2017] , Billno-SML060012017100015",1,18320,0,1822,16498
16, ,09-2210-03-110-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,3,35938,0,0,35938
17, , ,"[TRVch# 434 Dt:31/05/2017] , Billno-SML060012017100007",1,22101,0,0,22101
18, , ,"[TRVch# 435 Dt:31/05/2017] , Billno-SML060012017100008",1,12843,0,0,12843
19, , ,"[TRVch# 436 Dt:31/05/2017] , Billno-SML060012017100009",1,994,0,0,994
