,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,3,241593,30000,3898,207695
1,SML07-223-GHS JARKOT,Total, ,3,241593,30000,3898,207695
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,186283,30000,1590,154693
3, , ,"[TRVch# 457 Dt:29/04/2017] , Billno-SML07223032017-001",1,186283,30000,1590,154693
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,55310,0,2308,53002
5, , ,"[TRVch# 458 Dt:29/04/2017] , Billno-SML07223032017-002",1,24236,0,2303,21933
6, , ,"[TRVch# 459 Dt:29/04/2017] , Billno-SML07223032017-003",1,31074,0,5,31069
0,Grand Total, , ,7,364682,41911,4194,318577
1,SML07-223-GHS JARKOT,Total, ,7,364682,41911,4194,318577
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 1130 Dt:31/05/2017] , Billno-SML072232017100004",1,100000,0,0,100000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,204258,41911,1590,160757
5, , ,"[TRVch# 3774 Dt:31/05/2017] , Billno-SML07223042017-001",1,191303,30000,1590,159713
6, , ,"[TRVch# 3836 Dt:31/05/2017] , Billno-SML072232017100001",1,12955,11911,0,1044
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,60424,0,2604,57820
8, , ,"[TRVch# 3775 Dt:31/05/2017] , Billno-SML07223042017-002",1,24538,0,2333,22205
9, , ,"[TRVch# 3776 Dt:31/05/2017] , Billno-SML07223042017-003",1,32160,0,5,32155
10, , ,"[TRVch# 3837 Dt:31/05/2017] , Billno-SML072232017100002",1,2682,0,266,2416
11, , ,"[TRVch# 3838 Dt:31/05/2017] , Billno-SML072232017100003",1,1044,0,0,1044
0,Grand Total, , ,3,244073,30000,3928,210145
1,SML07-223-GHS JARKOT,Total, ,3,244073,30000,3928,210145
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,187375,30000,1590,155785
3, , ,"[TRVch# 1268 Dt:30/06/2017] , Billno-SML07223052017-001",1,187375,30000,1590,155785
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,56698,0,2338,54360
5, , ,"[TRVch# 1269 Dt:30/06/2017] , Billno-SML07223052017-002",1,24538,0,2333,22205
6, , ,"[TRVch# 1270 Dt:30/06/2017] , Billno-SML07223052017-003",1,32160,0,5,32155
0,Grand Total, , ,3,231607,38000,5359,188248
1,SML07-223-GHS JARKOT,Total, ,3,231607,38000,5359,188248
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,174909,38000,1585,135324
3, , ,"[TRVch# 2144 Dt:31/07/2017] , Billno-SML07223062017-001",1,174909,38000,1585,135324
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,56698,0,3774,52924
5, , ,"[TRVch# 2145 Dt:31/07/2017] , Billno-SML07223062017-002",1,24538,0,2333,22205
6, , ,"[TRVch# 2146 Dt:31/07/2017] , Billno-SML07223062017-003",1,32160,0,1441,30719
0,Grand Total, , ,3,181134,18000,4304,158830
1,SML07-223-GHS JARKOT,Total, ,3,181134,18000,4304,158830
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,124436,18000,530,105906
3, , ,"[TRVch# 399 Dt:05/08/2017] , Billno-SML07223072017-003",1,124436,18000,530,105906
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,56698,0,3774,52924
5, , ,"[TRVch# 397 Dt:05/08/2017] , Billno-SML07223072017-001",1,32160,0,1441,30719
6, , ,"[TRVch# 398 Dt:05/08/2017] , Billno-SML07223072017-002",1,24538,0,2333,22205
0,Grand Total, , ,3,182723,18000,4304,160419
1,SML07-223-GHS JARKOT,Total, ,3,182723,18000,4304,160419
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,125374,18000,530,106844
3, , ,"[TRVch# 1529 Dt:05/09/2017] , Billno-SML07223082017-001",1,125374,18000,530,106844
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,57349,0,3774,53575
5, , ,"[TRVch# 1530 Dt:05/09/2017] , Billno-SML07223082017-002",1,24941,0,2333,22608
6, , ,"[TRVch# 1531 Dt:05/09/2017] , Billno-SML07223082017-003",1,32408,0,1441,30967
0,Grand Total, , ,4,179086,18000,2904,158182
1,SML07-223-GHS JARKOT,Total, ,4,179086,18000,2904,158182
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,132142,18000,530,113612
3, , ,"[TRVch# 1209 Dt:06/10/2017] , Billno-SML07223092017-001",1,132142,18000,530,113612
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,41944,0,2374,39570
5, , ,"[TRVch# 1210 Dt:06/10/2017] , Billno-SML07223092017-002",1,25344,0,2374,22970
6, , ,"[TRVch# 1211 Dt:06/10/2017] , Billno-SML07223092017-003",1,16600,0,0,16600
7, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,5000,0,0,5000
8, , ,"[TRVch# 2436 Dt:31/10/2017] , Billno-SML072232017100005",1,5000,0,0,5000
0,Grand Total, , ,4,266148,25336,530,240282
1,SML07-223-GHS JARKOT,Total, ,4,266148,25336,530,240282
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 766 Dt:30/11/2017] , Billno-SML072232017100007",1,100000,0,0,100000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,149548,25336,530,123682
5, , ,"[TRVch# 1569 Dt:06/11/2017] , Billno-SML07223102017-001",1,142212,18000,530,123682
6, , ,"[TRVch# 3116 Dt:30/11/2017] , Billno-SML072232017100006",1,7336,7336,0,0
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,1,16600,0,0,16600
8, , ,"[TRVch# 1570 Dt:06/11/2017] , Billno-SML07223102017-002",1,16600,0,0,16600
0,Grand Total, , ,3,376099,123000,16270,236829
1,SML07-223-GHS JARKOT,Total, ,3,376099,123000,16270,236829
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,142212,18000,1010,123202
3, , ,"[TRVch# 1667 Dt:05/12/2017] , Billno-SML07223112017-001",1,142212,18000,1010,123202
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,233887,105000,15260,113627
5, , ,"[TRVch# 1668 Dt:05/12/2017] , Billno-SML07223112017-002",1,17017,0,80,16937
6, , ,"[TRVch# 2404 Dt:30/12/2017] , Billno-SML072232017000001",1,216870,105000,15180,96690
0,Grand Total, , ,2,159229,18000,530,140699
1,SML07-223-GHS JARKOT,Total, ,2,159229,18000,530,140699
