DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,96,34820,0,34820,0
SML08-500-DISTRICT TREASURY OFFICER SHIMLA,Total, ,96,34820,0,34820,0
 ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,25,1220,0,1220,0
 , ,"[TRVch# 103 Dt:30/01/2018] , Billno-SML085001712030001",1,20,0,20,0
 , ,"[TRVch# 103 Dt:30/06/2018] , Billno-SML085001862030010",1,20,0,20,0
 , ,"[TRVch# 105 Dt:30/01/2018] , Billno-SML085001712030003",1,400,0,400,0
 , ,"[TRVch# 111 Dt:27/04/2018] , Billno-SML085001842030002",1,20,0,20,0
 , ,"[TRVch# 113 Dt:31/10/2017] , Billno-SML085001702030004",1,20,0,20,0
 , ,"[TRVch# 123 Dt:31/03/2018] , Billno-SML085001732030005",1,20,0,20,0
 , ,"[TRVch# 125 Dt:31/03/2018] , Billno-SML085001732030007",1,20,0,20,0
 , ,"[TRVch# 133 Dt:30/06/2017] , Billno-SML085001762030002",1,20,0,20,0
 , ,"[TRVch# 134 Dt:30/11/2017] , Billno-SML0850017A2030003",1,20,0,20,0
 , ,"[TRVch# 135 Dt:30/06/2017] , Billno-SML085001762030004",1,20,0,20,0
 , ,"[TRVch# 14 Dt:05/03/2018] , Billno-SML085001732030001",1,20,0,20,0
 , ,"[TRVch# 153 Dt:31/08/2017] , Billno-SML085001782030005",1,20,0,20,0
 , ,"[TRVch# 167 Dt:31/07/2018] , Billno-SML085001872030003",1,20,0,20,0
 , ,"[TRVch# 168 Dt:29/05/2018] , Billno-SML085001852030006",1,20,0,20,0
 , ,"[TRVch# 169 Dt:29/05/2018] , Billno-SML085001852030007",1,100,0,100,0
 , ,"[TRVch# 170 Dt:29/05/2018] , Billno-SML085001852030008",1,240,0,240,0
 , ,"[TRVch# 183 Dt:31/08/2018] , Billno-SML085001882030001",1,20,0,20,0
 , ,"[TRVch# 41 Dt:31/05/2017] , Billno-SML085001752030001",1,20,0,20,0
 , ,"[TRVch# 43 Dt:31/05/2017] , Billno-SML085001752030003",1,20,0,20,0
 , ,"[TRVch# 54 Dt:31/07/2017] , Billno-SML085001772030003",1,60,0,60,0
 , ,"[TRVch# 56 Dt:31/07/2017] , Billno-SML085001772030005",1,20,0,20,0
 , ,"[TRVch# 58 Dt:28/02/2018] , Billno-SML085001722030002",1,20,0,20,0
 , ,"[TRVch# 61 Dt:29/04/2017] , Billno-SML085001742030002",1,20,0,20,0
 , ,"[TRVch# 7 Dt:05/08/2017] , Billno-SML085001782030001",1,20,0,20,0
 , ,"[TRVch# 96 Dt:30/06/2018] , Billno-SML085001862030003",1,20,0,20,0
 ,05-2030-01-102-01-S00N-V-N-20-OTHER CHARGES,Total,8,4000,0,4000,0
 , ,"[TRVch# 136 Dt:30/06/2017] , Billno-SML085001762030005",1,600,0,600,0
 , ,"[TRVch# 152 Dt:31/08/2017] , Billno-SML085001782030004",1,400,0,400,0
 , ,"[TRVch# 154 Dt:31/08/2017] , Billno-SML085001782030006",1,800,0,800,0
 , ,"[TRVch# 170 Dt:31/07/2018] , Billno-SML085001872030006",1,160,0,160,0
