,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,1823524,455624,87802,1280098
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,5,1823524,455624,87802,1280098
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,687095,179000,31574,476521
3, , ,"[TRVch# 1055 Dt:29/04/2017] , Billno-SML09206032017-001",1,373895,179000,3562,191333
4, , ,"[TRVch# 1056 Dt:29/04/2017] , Billno-SML09206032017-002",1,313200,0,28012,285188
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,1136429,276624,56228,803577
6, , ,"[TRVch# 1057 Dt:29/04/2017] , Billno-SML09206032017-003",1,107866,40000,120,67746
7, , ,"[TRVch# 1058 Dt:29/04/2017] , Billno-SML09206032017-004",1,542187,236624,10106,295457
8, , ,"[TRVch# 1059 Dt:29/04/2017] , Billno-SML09206032017-005",1,486376,0,46002,440374
0,Grand Total, , ,31,3396000,584918,152857,2658225
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,31,3396000,584918,152857,2658225
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,851000,0,0,851000
3, , ,"[TRVch# 667 Dt:31/05/2017] , Billno-SML092062017100010",1,800000,0,0,800000
4, , ,"[TRVch# 681 Dt:31/05/2017] , Billno-SML092062017100012",1,51000,0,0,51000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,6,847975,232559,53750,561666
6, , ,"[TRVch# 1584 Dt:31/05/2017] , Billno-SML09206042017-001",1,382039,190000,16062,175977
7, , ,"[TRVch# 1585 Dt:31/05/2017] , Billno-SML09206042017-002",1,356642,0,31626,325016
8, , ,"[TRVch# 1686 Dt:31/05/2017] , Billno-SML092062017100007",1,19908,0,1867,18041
9, , ,"[TRVch# 1687 Dt:31/05/2017] , Billno-SML092062017100009",1,19667,0,1842,17825
10, , ,"[TRVch# 1692 Dt:31/05/2017] , Billno-SML092062017100002",1,46207,42559,0,3648
11, , ,"[TRVch# 1693 Dt:31/05/2017] , Billno-SML092062017100003",1,23512,0,2353,21159
12, ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
13, , ,"[TRVch# 1663 Dt:31/05/2017] , Billno-SML092062017100001",1,6300,0,0,6300
14, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,1275696,352359,99107,824230
15, , ,"[TRVch# 1586 Dt:31/05/2017] , Billno-SML09206042017-003",1,109247,40000,12120,57127
16, , ,"[TRVch# 1587 Dt:31/05/2017] , Billno-SML09206042017-004",1,552698,238624,30806,283268
17, , ,"[TRVch# 1588 Dt:31/05/2017] , Billno-SML09206042017-005",1,497909,0,51984,445925
18, , ,"[TRVch# 1723 Dt:31/05/2017] , Billno-SML092062017100006",1,42107,0,4197,37910
19, , ,"[TRVch# 1735 Dt:31/05/2017] , Billno-SML092062017100004",1,12101,12101,0,0
20, , ,"[TRVch# 1736 Dt:31/05/2017] , Billno-SML092062017100005",1,61634,61634,0,0
21, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,29018,0,0,29018
22, , ,"[TRVch# 1798 Dt:31/05/2017] , Billno-SML092062017100013",1,29018,0,0,29018
23, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,6,9796,0,0,9796
24, , ,"[TRVch# 1774 Dt:31/05/2017] , Billno-SML092062017100022",1,1500,0,0,1500
25, , ,"[TRVch# 1775 Dt:31/05/2017] , Billno-SML092062017100023",1,511,0,0,511
26, , ,"[TRVch# 1776 Dt:31/05/2017] , Billno-SML092062017100024",1,4409,0,0,4409
27, , ,"[TRVch# 1777 Dt:31/05/2017] , Billno-SML092062017100025",1,2329,0,0,2329
28, , ,"[TRVch# 1778 Dt:31/05/2017] , Billno-SML092062017100026",1,687,0,0,687
29, , ,"[TRVch# 1868 Dt:31/05/2017] , Billno-SML092062017100028",1,360,0,0,360
30, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,6,24059,0,0,24059
31, , ,"[TRVch# 1792 Dt:31/05/2017] , Billno-SML092062017100019",1,479,0,0,479
32, , ,"[TRVch# 1793 Dt:31/05/2017] , Billno-SML092062017100018",1,1189,0,0,1189
33, , ,"[TRVch# 1794 Dt:31/05/2017] , Billno-SML092062017100017",1,339,0,0,339
34, , ,"[TRVch# 1795 Dt:31/05/2017] , Billno-SML092062017100016",1,9105,0,0,9105
35, , ,"[TRVch# 1796 Dt:31/05/2017] , Billno-SML092062017100015",1,5823,0,0,5823
36, , ,"[TRVch# 1797 Dt:31/05/2017] , Billno-SML092062017100014",1,7124,0,0,7124
37, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,2556,0,0,2556
38, , ,"[TRVch# 343 Dt:31/05/2017] , Billno-SML092062017100021",1,1326,0,0,1326
39, , ,"[TRVch# 344 Dt:31/05/2017] , Billno-SML092062017100020",1,1230,0,0,1230
40, ,29-2071-01-115-01-S00N-V-N-38-PENSIONS,Total,1,349600,0,0,349600
41, , ,"[TRVch# 352 Dt:31/05/2017] , Billno-SML092062017100011",1,349600,0,0,349600
0,Grand Total, , ,12,2147084,458624,133288,1555172
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,12,2147084,458624,133288,1555172
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,270000,0,0,270000
3, , ,"[TRVch# 748 Dt:30/06/2017] , Billno-SML092062017100033",1,70000,0,0,70000
4, , ,"[TRVch# 749 Dt:30/06/2017] , Billno-SML092062017100034",1,200000,0,0,200000
5, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,14294,0,0,14294
6, , ,"[TRVch# 55 Dt:30/06/2017] , Billno-SML092062017100029",1,14294,0,0,14294
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,3,730705,190000,44445,496260
8, , ,"[TRVch# 2290 Dt:30/06/2017] , Billno-SML09206052017-001",1,382039,190000,16062,175977
9, , ,"[TRVch# 2291 Dt:30/06/2017] , Billno-SML09206052017-002",1,337748,0,27352,310396
10, , ,"[TRVch# 2406 Dt:30/06/2017] , Billno-SML092062017100032",1,10918,0,1031,9887
11, ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
12, , ,"[TRVch# 2391 Dt:30/06/2017] , Billno-SML092062017100027",1,6510,0,0,6510
13, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,1125575,268624,88843,768108
14, , ,"[TRVch# 2292 Dt:30/06/2017] , Billno-SML09206052017-003",1,109247,40000,12120,57127
15, , ,"[TRVch# 2293 Dt:30/06/2017] , Billno-SML09206052017-004",1,519626,228624,26363,264639
16, , ,"[TRVch# 2294 Dt:30/06/2017] , Billno-SML09206052017-005",1,480116,0,50324,429792
17, , ,"[TRVch# 2404 Dt:30/06/2017] , Billno-SML092062017100030",1,8293,0,18,8275
18, , ,"[TRVch# 2405 Dt:30/06/2017] , Billno-SML092062017100031",1,8293,0,18,8275
0,Grand Total, , ,8,1970612,458624,131413,1380575
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,8,1970612,458624,131413,1380575
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,96217,0,0,96217
3, , ,"[TRVch# 802 Dt:31/07/2017] , Billno-SML092062017100037",1,96217,0,0,96217
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,754855,190000,46446,518409
5, , ,"[TRVch# 1542 Dt:31/07/2017] , Billno-SML09206062017-001",1,382039,190000,16062,175977
6, , ,"[TRVch# 1543 Dt:31/07/2017] , Billno-SML09206062017-002",1,372816,0,30384,342432
7, ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
8, , ,"[TRVch# 1630 Dt:31/07/2017] , Billno-SML092062017100035",1,6300,0,0,6300
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,1101650,268624,84967,748059
10, , ,"[TRVch# 1544 Dt:31/07/2017] , Billno-SML09206062017-003",1,109247,40000,12120,57127
11, , ,"[TRVch# 1545 Dt:31/07/2017] , Billno-SML09206062017-004",1,521459,228624,26363,266472
12, , ,"[TRVch# 1546 Dt:31/07/2017] , Billno-SML09206062017-005",1,470944,0,46484,424460
13, ,29-2071-01-104-02-S00N-V-N-38-PENSIONS,Total,1,11590,0,0,11590
14, , ,"[TRVch# 308 Dt:31/07/2017] , Billno-SML092062017100036",1,11590,0,0,11590
0,Grand Total, , ,16,2128010,458624,125717,1543669
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,16,2128010,458624,125717,1543669
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,265000,0,0,265000
3, , ,"[TRVch# 585 Dt:31/08/2017] , Billno-SML092062017100044",1,265000,0,0,265000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,737597,190000,40528,507069
5, , ,"[TRVch# 2052 Dt:31/08/2017] , Billno-SML092062017100039",1,1366,0,15,1351
6, , ,"[TRVch# 2055 Dt:31/08/2017] , Billno-SML092062017100043",1,150,0,0,150
7, , ,"[TRVch# 457 Dt:05/08/2017] , Billno-SML09206072017-001",1,382039,190000,16062,175977
8, , ,"[TRVch# 458 Dt:05/08/2017] , Billno-SML09206072017-002",1,354042,0,24451,329591
9, ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
10, , ,"[TRVch# 549 Dt:05/08/2017] , Billno-SML092062017100038",1,6510,0,0,6510
11, ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,5,12457,0,0,12457
12, , ,"[TRVch# 2084 Dt:31/08/2017] , Billno-SML092062017100045",1,5865,0,0,5865
13, , ,"[TRVch# 2085 Dt:31/08/2017] , Billno-SML092062017100046",1,2352,0,0,2352
14, , ,"[TRVch# 2086 Dt:31/08/2017] , Billno-SML092062017100047",1,3245,0,0,3245
15, , ,"[TRVch# 2087 Dt:31/08/2017] , Billno-SML092062017100048",1,528,0,0,528
16, , ,"[TRVch# 2088 Dt:31/08/2017] , Billno-SML092062017100049",1,467,0,0,467
17, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,1106446,268624,85189,752633
18, , ,"[TRVch# 2053 Dt:31/08/2017] , Billno-SML092062017100041",1,200,0,0,200
19, , ,"[TRVch# 2054 Dt:31/08/2017] , Billno-SML092062017100042",1,200,0,0,200
20, , ,"[TRVch# 459 Dt:05/08/2017] , Billno-SML09206072017-003",1,109247,40000,12120,57127
21, , ,"[TRVch# 460 Dt:05/08/2017] , Billno-SML09206072017-004",1,523375,228624,26363,268388
22, , ,"[TRVch# 461 Dt:05/08/2017] , Billno-SML09206072017-005",1,473424,0,46706,426718
0,Grand Total, , ,15,1949397,458624,128556,1362217
1,SML09-206-PR SSS BOYS JUBBAL,Total, ,15,1949397,458624,128556,1362217
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,666289,190000,43367,432922
3, , ,"[TRVch# 490 Dt:05/09/2017] , Billno-SML09206082017-001",1,391786,190000,16062,185724
4, , ,"[TRVch# 491 Dt:05/09/2017] , Billno-SML09206082017-002",1,274503,0,27305,247198
5, ,08-2202-01-101-03-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
6, , ,"[TRVch# 2358 Dt:29/09/2017] , Billno-SML092062017100057",1,6510,0,0,6510
7, ,08-2202-01-101-03-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,6,28914,0,0,28914
8, , ,"[TRVch# 2369 Dt:29/09/2017] , Billno-SML092062017100051",1,5661,0,0,5661
