,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,770828,73021,29379,668428
1,SML10-222-GSSS KINNU,Total, ,5,770828,73021,29379,668428
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,150000,0,0,150000
3, , ,"[TRVch# 1300 Dt:29/04/2017] , Billno-SML102222017100001",1,150000,0,0,150000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,322535,15021,20172,287342
5, , ,"[TRVch# 1609 Dt:29/04/2017] , Billno-SML10222032017-001",1,55929,15000,1030,39899
6, , ,"[TRVch# 1610 Dt:29/04/2017] , Billno-SML10222032017-002",1,266606,21,19142,247443
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,298293,58000,9207,231086
8, , ,"[TRVch# 1611 Dt:29/04/2017] , Billno-SML10222032017-003",1,88839,58000,1075,29764
9, , ,"[TRVch# 1612 Dt:29/04/2017] , Billno-SML10222032017-004",1,209454,0,8132,201322
0,Grand Total, , ,8,676370,89092,26440,560838
1,SML10-222-GSSS KINNU,Total, ,8,676370,89092,26440,560838
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,351154,21216,16338,313600
3, , ,"[TRVch# 2178 Dt:31/05/2017] , Billno-SML10222042017-001",1,56336,15000,1030,40306
4, , ,"[TRVch# 2179 Dt:31/05/2017] , Billno-SML10222042017-002",1,275078,0,13964,261114
5, , ,"[TRVch# 2405 Dt:31/05/2017] , Billno-SML102222017100003",1,13524,0,1344,12180
6, , ,"[TRVch# 2406 Dt:31/05/2017] , Billno-SML102222017100002",1,6216,6216,0,0
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,325216,67876,10102,247238
8, , ,"[TRVch# 2180 Dt:31/05/2017] , Billno-SML10222042017-003",1,89376,58000,1075,30301
9, , ,"[TRVch# 2181 Dt:31/05/2017] , Billno-SML10222042017-004",1,216872,0,8223,208649
10, , ,"[TRVch# 2404 Dt:31/05/2017] , Billno-SML102222017100004",1,9876,9876,0,0
11, , ,"[TRVch# 2407 Dt:31/05/2017] , Billno-SML102222017100005",1,9092,0,804,8288
0,Grand Total, , ,5,725052,88000,29851,607201
1,SML10-222-GSSS KINNU,Total, ,5,725052,88000,29851,607201
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,344517,10000,14993,319524
3, , ,"[TRVch# 2761 Dt:30/06/2017] , Billno-SML10222052017-001",1,56336,10000,1030,45306
