DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,67,15600000,0,0,15600000
SML11-005-S.P.M. KUMARSAIN,Total, ,67,15600000,0,0,15600000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,67,15600000,0,0,15600000
 , ,"[TRVch# 1 Dt:05/01/2018] , Billno-SML110051718658001",1,250000,0,0,250000
 , ,"[TRVch# 10 Dt:05/09/2017] , Billno-SML110051798658001",1,120000,0,0,120000
 , ,"[TRVch# 10 Dt:05/12/2017] , Billno-SML1100517B8658001",1,100000,0,0,100000
 , ,"[TRVch# 11 Dt:05/09/2017] , Billno-SML110051798658002",1,270000,0,0,270000
 , ,"[TRVch# 2 Dt:05/01/2018] , Billno-SML110051718658002",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:05/03/2018] , Billno-SML110051738658001",1,100000,0,0,100000
 , ,"[TRVch# 2 Dt:05/07/2018] , Billno-SML110051878658001",1,250000,0,0,250000
 , ,"[TRVch# 26 Dt:31/08/2017] , Billno-SML110051788658002",1,100000,0,0,100000
 , ,"[TRVch# 27 Dt:31/08/2017] , Billno-SML110051788658003",1,75000,0,0,75000
 , ,"[TRVch# 28 Dt:31/05/2017] , Billno-SML110051758658001",1,300000,0,0,300000
 , ,"[TRVch# 28 Dt:31/08/2017] , Billno-SML110051788658004",1,200000,0,0,200000
 , ,"[TRVch# 29 Dt:31/05/2017] , Billno-SML110051758658002",1,300000,0,0,300000
 , ,"[TRVch# 3 Dt:05/01/2018] , Billno-SML110051718658003",1,100000,0,0,100000
 , ,"[TRVch# 3 Dt:05/02/2018] , Billno-SML110051728658001",1,500000,0,0,500000
 , ,"[TRVch# 30 Dt:31/05/2017] , Billno-SML110051758658003",1,300000,0,0,300000
 , ,"[TRVch# 35 Dt:28/02/2018] , Billno-SML110051728658003",1,1000000,0,0,1000000
