DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,17,553715,0,0,553715
SML11-008-AE PWD SUB DIV KUMARSAIN,Total, ,17,553715,0,0,553715
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,17,553715,0,0,553715
 , ,"[TRVch# 122 Dt:06/11/2017] , Billno-SML110082017000011",1,24570,0,0,24570
 , ,"[TRVch# 266 Dt:31/05/2017] , Billno-SML110082017000001",1,105400,0,0,105400
 , ,"[TRVch# 267 Dt:31/05/2017] , Billno-SML110082017000002",1,69000,0,0,69000
 , ,"[TRVch# 277 Dt:31/07/2017] , Billno-SML110082017000005",1,25200,0,0,25200
 , ,"[TRVch# 280 Dt:31/05/2017] , Billno-SML110082017000003",1,10000,0,0,10000
 , ,"[TRVch# 280 Dt:31/07/2017] , Billno-SML110082017000006",1,26040,0,0,26040
 , ,"[TRVch# 306 Dt:31/08/2017] , Billno-SML110082017000007",1,26040,0,0,26040
 , ,"[TRVch# 317 Dt:30/12/2017] , Billno-SML110082017000012",1,23730,0,0,23730
 , ,"[TRVch# 339 Dt:31/07/2018] , Billno-SML110082018000002",1,45990,0,0,45990
 , ,"[TRVch# 345 Dt:28/02/2018] , Billno-SML110082017000014",1,26040,0,0,26040
 , ,"[TRVch# 369 Dt:31/08/2018] , Billno-SML110082018000003",1,20925,0,0,20925
 , ,"[TRVch# 405 Dt:29/09/2017] , Billno-SML110082017000010",1,25830,0,0,25830
 , ,"[TRVch# 412 Dt:31/10/2017] , Billno-SML110082017000009",1,24990,0,0,24990
 , ,"[TRVch# 736 Dt:31/03/2018] , Billno-SML110082017000015",1,23520,0,0,23520
 , ,"[TRVch# 80 Dt:05/01/2018] , Billno-SML110082017000013",1,26040,0,0,26040
 , ,"[TRVch# 801 Dt:31/03/2018] , Billno-SML110082017000016",1,26040,0,0,26040
 , ,"[TRVch# 82 Dt:05/07/2018] , Billno-SML110082018000001",1,24360,0,0,24360
