,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,525291,151009,10302,363980
1,SML11-210-GSSS MALLAIN,Total, ,5,525291,151009,10302,363980
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,225717,56009,6636,163072
3, , ,"[TRVch# 595 Dt:29/04/2017] , Billno-SML11210032017-001",1,157670,56000,75,101595
4, , ,"[TRVch# 596 Dt:29/04/2017] , Billno-SML11210032017-002",1,68047,9,6561,61477
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,299574,95000,3666,200908
6, , ,"[TRVch# 597 Dt:29/04/2017] , Billno-SML11210032017-003",1,78501,45000,1595,31906
7, , ,"[TRVch# 598 Dt:29/04/2017] , Billno-SML11210032017-004",1,185012,50000,60,134952
8, , ,"[TRVch# 599 Dt:29/04/2017] , Billno-SML11210032017-005",1,36061,0,2011,34050
0,Grand Total, , ,12,867498,193958,23893,649647
1,SML11-210-GSSS MALLAIN,Total, ,12,867498,193958,23893,649647
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,300000,0,0,300000
3, , ,"[TRVch# 582 Dt:31/05/2017] , Billno-SML112102017100006",1,300000,0,0,300000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,4,255172,73825,14823,166524
5, , ,"[TRVch# 1105 Dt:31/05/2017] , Billno-SML11210042017-001",1,159692,56000,6075,97617
6, , ,"[TRVch# 1106 Dt:31/05/2017] , Billno-SML11210042017-002",1,69897,9,7965,61923
7, , ,"[TRVch# 1180 Dt:31/05/2017] , Billno-SML112102017100001",1,17816,17816,0,0
8, , ,"[TRVch# 1181 Dt:31/05/2017] , Billno-SML112102017100003",1,7767,0,783,6984
9, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,312326,120133,9070,183123
10, , ,"[TRVch# 1107 Dt:31/05/2017] , Billno-SML11210042017-003",1,79505,50000,6595,22910
11, , ,"[TRVch# 1108 Dt:31/05/2017] , Billno-SML11210042017-004",1,191357,50000,2460,138897
12, , ,"[TRVch# 1109 Dt:31/05/2017] , Billno-SML11210042017-005",1,15220,0,15,15205
13, , ,"[TRVch# 1182 Dt:31/05/2017] , Billno-SML112102017100002",1,9036,9036,0,0
14, , ,"[TRVch# 1183 Dt:31/05/2017] , Billno-SML112102017100004",1,11097,11097,0,0
15, , ,"[TRVch# 1184 Dt:31/05/2017] , Billno-SML112102017100005",1,1038,0,0,1038
16, , ,"[TRVch# 1257 Dt:31/05/2017] , Billno-SML112102017100007",1,5073,0,0,5073
0,Grand Total, , ,9,547849,130009,22085,395755
1,SML11-210-GSSS MALLAIN,Total, ,9,547849,130009,22085,395755
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,175597,30009,13010,132578
3, , ,"[TRVch# 1509 Dt:30/06/2017] , Billno-SML11210052017-001",1,105700,30000,5045,70655
4, , ,"[TRVch# 1510 Dt:30/06/2017] , Billno-SML11210052017-002",1,69897,9,7965,61923
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,301302,100000,9075,192227
6, , ,"[TRVch# 1511 Dt:30/06/2017] , Billno-SML11210052017-003",1,79505,50000,6595,22910
7, , ,"[TRVch# 1512 Dt:30/06/2017] , Billno-SML11210052017-004",1,191357,50000,2460,138897
8, , ,"[TRVch# 1513 Dt:30/06/2017] , Billno-SML11210052017-005",1,30440,0,20,30420
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,2,12810,0,0,12810
10, , ,"[TRVch# 1554 Dt:30/06/2017] , Billno-SML112102017100009",1,6300,0,0,6300
11, , ,"[TRVch# 1555 Dt:30/06/2017] , Billno-SML112102017100010",1,6510,0,0,6510
12, ,08-2202-02-800-01-S00N-V-N-41-GIA GENERAL (Salary),Total,2,58140,0,0,58140
13, , ,"[TRVch# 1556 Dt:30/06/2017] , Billno-SML112102017100011",1,29070,0,0,29070
14, , ,"[TRVch# 1557 Dt:30/06/2017] , Billno-SML112102017100012",1,29070,0,0,29070
0,Grand Total, , ,8,559472,130009,23624,405839
1,SML11-210-GSSS MALLAIN,Total, ,8,559472,130009,23624,405839
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,176654,30009,13114,133531
3, , ,"[TRVch# 1061 Dt:31/07/2017] , Billno-SML11210062017-001",1,105700,30000,5045,70655
4, , ,"[TRVch# 1062 Dt:31/07/2017] , Billno-SML11210062017-002",1,70954,9,8069,62876
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,319624,100000,10510,209114
6, , ,"[TRVch# 1063 Dt:31/07/2017] , Billno-SML11210062017-003",1,81878,50000,6595,25283
7, , ,"[TRVch# 1064 Dt:31/07/2017] , Billno-SML11210062017-004",1,207306,50000,2469,154837
8, , ,"[TRVch# 1065 Dt:31/07/2017] , Billno-SML11210062017-005",1,30440,0,1446,28994
9, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
