DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,30,199590,0,160,199430
SML13-007-AE PWD SUB DIV JUNGA,Total, ,30,199590,0,160,199430
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,30,199590,0,160,199430
 , ,"[TRVch# 1178 Dt:31/03/2018] , Billno-SML130072017000018",1,5880,0,0,5880
 , ,"[TRVch# 1179 Dt:31/03/2018] , Billno-SML130072017000019",1,5880,0,0,5880
 , ,"[TRVch# 1180 Dt:31/03/2018] , Billno-SML130072017000020",1,300,0,0,300
 , ,"[TRVch# 1181 Dt:31/03/2018] , Billno-SML130072017000021",1,280,0,0,280
 , ,"[TRVch# 1182 Dt:31/03/2018] , Billno-SML130072017000032",1,6510,0,0,6510
 , ,"[TRVch# 1183 Dt:31/03/2018] , Billno-SML130072017000033",1,6090,0,0,6090
 , ,"[TRVch# 130 Dt:05/06/2018] , Billno-SML130072018000003",1,6975,0,0,6975
 , ,"[TRVch# 131 Dt:05/06/2018] , Billno-SML130072018000004",1,6975,0,0,6975
 , ,"[TRVch# 161 Dt:06/11/2017] , Billno-SML130072017000011",1,5250,0,0,5250
 , ,"[TRVch# 162 Dt:06/11/2017] , Billno-SML130072017000010",1,6510,0,0,6510
 , ,"[TRVch# 167 Dt:05/08/2017] , Billno-SML130072017000004",1,6510,0,0,6510
 , ,"[TRVch# 223 Dt:31/07/2017] , Billno-SML130072017000003",1,12600,0,0,12600
 , ,"[TRVch# 314 Dt:31/07/2018] , Billno-SML130072018000005",1,6750,0,0,6750
 , ,"[TRVch# 315 Dt:31/07/2018] , Billno-SML130072018000006",1,6750,0,0,6750
 , ,"[TRVch# 329 Dt:30/06/2017] , Billno-SML130072017000002",1,13020,0,0,13020
 , ,"[TRVch# 332 Dt:30/12/2017] , Billno-SML130072017000013",1,6300,0,80,6220
 , ,"[TRVch# 333 Dt:30/12/2017] , Billno-SML130072017000012",1,6300,0,80,6220
 , ,"[TRVch# 392 Dt:29/05/2018] , Billno-SML130072018000002",1,6750,0,0,6750
 , ,"[TRVch# 393 Dt:29/05/2018] , Billno-SML130072018000001",1,6750,0,0,6750
 , ,"[TRVch# 431 Dt:28/02/2018] , Billno-SML130072017000016",1,6510,0,0,6510
 , ,"[TRVch# 432 Dt:28/02/2018] , Billno-SML130072017000017",1,6510,0,0,6510
 , ,"[TRVch# 534 Dt:31/05/2017] , Billno-SML130072017000001",1,11600,0,0,11600
 , ,"[TRVch# 560 Dt:29/09/2017] , Billno-SML130072017000005",1,6510,0,0,6510
 , ,"[TRVch# 561 Dt:29/09/2017] , Billno-SML130072017000006",1,6510,0,0,6510
 , ,"[TRVch# 589 Dt:31/10/2017] , Billno-SML130072017000008",1,6300,0,0,6300
 , ,"[TRVch# 590 Dt:31/10/2017] , Billno-SML130072017000009",1,6300,0,0,6300
 , ,"[TRVch# 63 Dt:06/08/2018] , Billno-SML130072018000007",1,6975,0,0,6975
 , ,"[TRVch# 64 Dt:06/08/2018] , Billno-SML130072018000008",1,6975,0,0,6975
 , ,"[TRVch# 83 Dt:05/01/2018] , Billno-SML130072017000014",1,6510,0,0,6510
 , ,"[TRVch# 84 Dt:05/01/2018] , Billno-SML130072017000015",1,6510,0,0,6510
