,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,2813915,748000,117293,1948622
1,SML13-200-GSSS JUNGA,Total, ,8,2813915,748000,117293,1948622
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,900000,0,0,900000
3, , ,"[TRVch# 1366 Dt:29/04/2017] , Billno-SML132002017100001",1,700000,0,0,700000
4, , ,"[TRVch# 1367 Dt:29/04/2017] , Billno-SML132002017100002",1,200000,0,0,200000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,657319,159000,39741,458578
6, , ,"[TRVch# 1800 Dt:29/04/2017] , Billno-SML13200032017-001",1,309428,159000,11105,139323
7, , ,"[TRVch# 1801 Dt:29/04/2017] , Billno-SML13200032017-002",1,347891,0,28636,319255
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,1256596,589000,77552,590044
9, , ,"[TRVch# 1802 Dt:29/04/2017] , Billno-SML13200032017-003",1,76853,40000,8060,28793
10, , ,"[TRVch# 1803 Dt:29/04/2017] , Billno-SML13200032017-004",1,920487,549000,44207,327280
11, , ,"[TRVch# 1804 Dt:29/04/2017] , Billno-SML13200032017-005",1,243981,0,25285,218696
12, , ,"[TRVch# 1823 Dt:29/04/2017] , Billno-SML132002017100004",1,15275,0,0,15275
0,Grand Total, , ,20,2788520,896971,126164,1765385
1,SML13-200-GSSS JUNGA,Total, ,20,2788520,896971,126164,1765385
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,450000,0,0,450000
3, , ,"[TRVch# 1064 Dt:31/05/2017] , Billno-SML132002017100019",1,300000,0,0,300000
4, , ,"[TRVch# 1074 Dt:31/05/2017] , Billno-SML132002017100020",1,150000,0,0,150000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,748239,194275,45877,508087
6, , ,"[TRVch# 3247 Dt:31/05/2017] , Billno-SML13200042017-001",1,313362,159000,11105,143257
7, , ,"[TRVch# 3248 Dt:31/05/2017] , Billno-SML13200042017-002",1,356465,0,32058,324407
8, , ,"[TRVch# 3268 Dt:31/05/2017] , Billno-SML132002017100005",1,35275,35275,0,0
9, , ,"[TRVch# 3269 Dt:31/05/2017] , Billno-SML132002017100006",1,27511,0,2654,24857
10, , ,"[TRVch# 3287 Dt:31/05/2017] , Billno-SML132002017100010",1,15626,0,60,15566
11, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,7,1417575,702696,80287,634592
12, , ,"[TRVch# 3249 Dt:31/05/2017] , Billno-SML13200042017-003",1,77844,40000,8060,29784
13, , ,"[TRVch# 3250 Dt:31/05/2017] , Billno-SML13200042017-004",1,940132,549000,44707,346425
