,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,7,1406563,150250,40264,1216049
1,SML14-208-GSSS DEWAT,Total, ,7,1406563,150250,40264,1216049
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,470000,0,0,470000
3, , ,"[TRVch# 798 Dt:29/04/2017] , Billno-SML142082017100001",1,250000,0,0,250000
4, , ,"[TRVch# 828 Dt:29/04/2017] , Billno-SML142082017100002",1,220000,0,0,220000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,305461,45000,8369,252092
6, , ,"[TRVch# 885 Dt:29/04/2017] , Billno-SML14208032017-001",1,104668,45000,2842,56826
7, , ,"[TRVch# 886 Dt:29/04/2017] , Billno-SML14208032017-002",1,200793,0,5527,195266
8, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,631102,105250,31895,493957
9, , ,"[TRVch# 887 Dt:29/04/2017] , Billno-SML14208032017-003",1,69057,35000,60,33997
10, , ,"[TRVch# 888 Dt:29/04/2017] , Billno-SML14208032017-004",1,177888,70250,1618,106020
11, , ,"[TRVch# 889 Dt:29/04/2017] , Billno-SML14208032017-005",1,384157,0,30217,353940
0,Grand Total, , ,14,1312685,199876,50176,1062633
1,SML14-208-GSSS DEWAT,Total, ,14,1312685,199876,50176,1062633
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,270000,0,0,270000
3, , ,"[TRVch# 546 Dt:31/05/2017] , Billno-SML142082017100005",1,200000,0,0,200000
4, , ,"[TRVch# 547 Dt:31/05/2017] , Billno-SML142082017100011",1,70000,0,0,70000
5, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,5,334076,61876,11694,260506
6, , ,"[TRVch# 1001 Dt:31/05/2017] , Billno-SML142082017100006",1,11876,11876,0,0
7, , ,"[TRVch# 1020 Dt:31/05/2017] , Billno-SML142082017100007",1,7143,0,606,6537
8, , ,"[TRVch# 922 Dt:31/05/2017] , Billno-SML14208042017-001",1,105994,50000,4842,51152
9, , ,"[TRVch# 923 Dt:31/05/2017] , Billno-SML14208042017-002",1,208301,0,6246,202055
