DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,96,45080260,0,260,45080000
SML15-003-S.P.M. NERWA,Total, ,96,45080260,0,260,45080000
 ,00-8658-00-102-19-S00N-V-N-00- ,Total,95,45080000,0,0,45080000
 , ,"[TRVch# 1 Dt:06/08/2018] , Billno-SML150031888658001",1,200000,0,0,200000
 , ,"[TRVch# 1 Dt:06/11/2017] , Billno-SML1500317A8658001",1,500000,0,0,500000
 , ,"[TRVch# 10 Dt:05/04/2018] , Billno-SML150031848658001",1,300000,0,0,300000
 , ,"[TRVch# 2 Dt:05/02/2018] , Billno-SML150031728658001",1,300000,0,0,300000
 , ,"[TRVch# 2 Dt:05/12/2017] , Billno-SML1500317B8658001",1,200000,0,0,200000
 , ,"[TRVch# 2 Dt:06/11/2017] , Billno-SML1500317A8658002",1,200000,0,0,200000
 , ,"[TRVch# 25 Dt:27/04/2018] , Billno-SML150031848658002",1,500000,0,0,500000
 , ,"[TRVch# 26 Dt:27/04/2018] , Billno-SML150031848658003",1,100000,0,0,100000
 , ,"[TRVch# 27 Dt:27/04/2018] , Billno-SML150031848658004",1,900000,0,0,900000
 , ,"[TRVch# 28 Dt:27/04/2018] , Billno-SML150031848658005",1,500000,0,0,500000
 , ,"[TRVch# 28 Dt:30/06/2017] , Billno-SML150031768658001",1,200000,0,0,200000
 , ,"[TRVch# 28 Dt:30/12/2017] , Billno-SML1500317B8658003",1,130000,0,0,130000
 , ,"[TRVch# 29 Dt:27/04/2018] , Billno-SML150031848658006",1,300000,0,0,300000
 , ,"[TRVch# 29 Dt:30/06/2017] , Billno-SML150031768658002",1,200000,0,0,200000
 , ,"[TRVch# 29 Dt:30/12/2017] , Billno-SML1500317B8658004",1,400000,0,0,400000
 , ,"[TRVch# 3 Dt:05/12/2017] , Billno-SML1500317B8658002",1,200000,0,0,200000
 , ,"[TRVch# 3 Dt:06/10/2017] , Billno-SML150031708658001",1,500000,0,0,500000
 , ,"[TRVch# 30 Dt:27/04/2018] , Billno-SML150031848658007",1,130000,0,0,130000
 , ,"[TRVch# 30 Dt:30/06/2017] , Billno-SML150031768658003",1,250000,0,0,250000
 , ,"[TRVch# 30 Dt:30/12/2017] , Billno-SML1500317B8658005",1,70000,0,0,70000
 , ,"[TRVch# 31 Dt:27/04/2018] , Billno-SML150031848658008",1,500000,0,0,500000
 , ,"[TRVch# 32 Dt:27/04/2018] , Billno-SML150031848658009",1,200000,0,0,200000
 , ,"[TRVch# 32 Dt:31/10/2017] , Billno-SML150031708658002",1,1000000,0,0,1000000
 , ,"[TRVch# 33 Dt:29/09/2017] , Billno-SML150031798658001",1,500000,0,0,500000
 , ,"[TRVch# 33 Dt:31/10/2017] , Billno-SML150031708658003",1,500000,0,0,500000
