,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,9,1903944,161000,57173,1685771
1,SML15-221-GSSS SHAMTHA,Total, ,9,1903944,161000,57173,1685771
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,4,1250000,0,0,1250000
3, , ,"[TRVch# 856 Dt:29/04/2017] , Billno-SML152212017100001",1,400000,0,0,400000
4, , ,"[TRVch# 857 Dt:29/04/2017] , Billno-SML152212017100002",1,300000,0,0,300000
5, , ,"[TRVch# 858 Dt:29/04/2017] , Billno-SML152212017100003",1,300000,0,0,300000
6, , ,"[TRVch# 894 Dt:29/04/2017] , Billno-SML152212017100004",1,250000,0,0,250000
7, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,333198,101000,26952,205246
8, , ,"[TRVch# 1007 Dt:29/04/2017] , Billno-SML15221032017-001",1,225594,101000,5076,119518
9, , ,"[TRVch# 1008 Dt:29/04/2017] , Billno-SML15221032017-002",1,107604,0,21876,85728
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,320746,60000,30221,230525
11, , ,"[TRVch# 1009 Dt:29/04/2017] , Billno-SML15221032017-003",1,73016,20000,60,52956
12, , ,"[TRVch# 1010 Dt:29/04/2017] , Billno-SML15221032017-004",1,92977,40000,619,52358
13, , ,"[TRVch# 1011 Dt:29/04/2017] , Billno-SML15221032017-005",1,154753,0,29542,125211
0,Grand Total, , ,17,788611,237257,70891,480463
1,SML15-221-GSSS SHAMTHA,Total, ,17,788611,237257,70891,480463
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,7,396848,142394,31386,223068
3, , ,"[TRVch# 2584 Dt:31/05/2017] , Billno-SML15221042017-001",1,230075,106000,12576,111499
4, , ,"[TRVch# 2585 Dt:31/05/2017] , Billno-SML15221042017-002",1,109578,0,17676,91902
5, , ,"[TRVch# 2723 Dt:31/05/2017] , Billno-SML152212017100006",1,7908,0,0,7908
6, , ,"[TRVch# 2724 Dt:31/05/2017] , Billno-SML152212017100007",1,25196,25196,0,0
7, , ,"[TRVch# 2725 Dt:31/05/2017] , Billno-SML152212017100008",1,9141,0,815,8326
8, , ,"[TRVch# 2729 Dt:31/05/2017] , Billno-SML152212017100012",1,11198,11198,0,0
9, , ,"[TRVch# 2730 Dt:31/05/2017] , Billno-SML152212017100013",1,3752,0,319,3433
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,9,371288,94863,39505,236920
11, , ,"[TRVch# 2586 Dt:31/05/2017] , Billno-SML15221042017-003",1,73947,20000,5060,48887
12, , ,"[TRVch# 2587 Dt:31/05/2017] , Billno-SML15221042017-004",1,94156,48000,4119,42037
13, , ,"[TRVch# 2588 Dt:31/05/2017] , Billno-SML15221042017-005",1,158019,0,28623,129396
14, , ,"[TRVch# 2726 Dt:31/05/2017] , Billno-SML152212017100009",1,8267,8267,0,0
15, , ,"[TRVch# 2727 Dt:31/05/2017] , Billno-SML152212017100010",1,10376,10376,0,0
16, , ,"[TRVch# 2728 Dt:31/05/2017] , Billno-SML152212017100011",1,12857,0,1183,11674
17, , ,"[TRVch# 2731 Dt:31/05/2017] , Billno-SML152212017100014",1,3648,3648,0,0
