,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,5,1789450,363000,74678,1351772
1,SMR00-223-GSSS BARMA PAPRI,Total, ,5,1789450,363000,74678,1351772
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,525000,0,0,525000
3, , ,"[TRVch# 135 Dt:20/04/2017] , Billno-SMR002232017100001",1,525000,0,0,525000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,518166,59000,36716,422450
5, , ,"[TRVch# 11 Dt:05/04/2017] , Billno-SMR00223032017-001",1,511438,59000,36716,415722
6, , ,"[TRVch# 706 Dt:20/04/2017] , Billno-SMR002232017100004",1,6728,0,0,6728
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,746284,304000,37962,404322
8, , ,"[TRVch# 12 Dt:05/04/2017] , Billno-SMR00223032017-002",1,68475,45000,617,22858
9, , ,"[TRVch# 13 Dt:05/04/2017] , Billno-SMR00223032017-003",1,677809,259000,37345,381464
0,Grand Total, , ,7,1422644,483779,118517,820348
1,SMR00-223-GSSS BARMA PAPRI,Total, ,7,1422644,483779,118517,820348
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,524591,83253,41247,400091
3, , ,"[TRVch# 78 Dt:01/05/2017] , Billno-SMR00223042017-001",1,486604,64000,39458,383146
4, , ,"[TRVch# 984 Dt:12/05/2017] , Billno-SMR002232017100008",1,37987,19253,1789,16945
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,898053,400526,77270,420257
6, , ,"[TRVch# 130 Dt:03/05/2017] , Billno-SMR002232017100003",1,18850,0,1763,17087
7, , ,"[TRVch# 79 Dt:01/05/2017] , Billno-SMR00223042017-002",1,69350,45000,4617,19733
8, , ,"[TRVch# 80 Dt:01/05/2017] , Billno-SMR00223042017-003",1,723223,280000,69783,373440
9, , ,"[TRVch# 983 Dt:12/05/2017] , Billno-SMR002232017100006",1,7800,7800,0,0
10, , ,"[TRVch# 988 Dt:12/05/2017] , Billno-SMR002232017100009",1,78830,67726,1107,9997
0,Grand Total, , ,14,1426814,402000,114773,910041
1,SMR00-223-GSSS BARMA PAPRI,Total, ,14,1426814,402000,114773,910041
2, ,00-8011-00-107-01-S00N-V-N-00- ,Total,1,14045,0,0,14045
3, , ,"[TRVch# 16 Dt:15/06/2017] , Billno-SMR002232017100011",1,14045,0,0,14045
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,517406,74000,40383,403023
5, , ,"[TRVch# 183 Dt:06/06/2017] , Billno-SMR002232017100014",1,38999,0,3788,35211
6, , ,"[TRVch# 65 Dt:01/06/2017] , Billno-SMR00223052017-001",1,478407,74000,36595,367812
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,793499,328000,74390,391109
8, , ,"[TRVch# 163 Dt:05/06/2017] , Billno-SMR002232017100010",1,1177,0,0,1177
9, , ,"[TRVch# 66 Dt:01/06/2017] , Billno-SMR00223052017-002",1,69350,45000,4617,19733
10, , ,"[TRVch# 67 Dt:01/06/2017] , Billno-SMR00223052017-003",1,722972,283000,69773,370199
11, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,3168,0,0,3168
12, , ,"[TRVch# 1208 Dt:20/06/2017] , Billno-SMR002232017100021",1,3168,0,0,3168
13, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,3826,0,0,3826
14, , ,"[TRVch# 181 Dt:06/06/2017] , Billno-SMR002232017100013",1,3826,0,0,3826
15, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,3,35088,0,0,35088
16, , ,"[TRVch# 1201 Dt:20/06/2017] , Billno-SMR002232017100019",1,8453,0,0,8453
17, , ,"[TRVch# 1207 Dt:20/06/2017] , Billno-SMR002232017100015",1,4218,0,0,4218
18, , ,"[TRVch# 162 Dt:05/06/2017] , Billno-SMR002232017100012",1,22417,0,0,22417
19, ,19-2235-60-200-12-S00N-V-N-20-OTHER CHARGES,Total,1,35000,0,0,35000
20, , ,"[TRVch# 237 Dt:28/06/2017] , Billno-SMR002232017100017",1,35000,0,0,35000
21, ,19-2235-60-800-33-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,24782,0,0,24782
22, , ,"[TRVch# 128 Dt:20/06/2017] , Billno-SMR002232017100016",1,10963,0,0,10963
23, , ,"[TRVch# 136 Dt:20/06/2017] , Billno-SMR002232017100020",1,13819,0,0,13819
0,Grand Total, , ,4,1717927,402000,115056,1200871
1,SMR00-223-GSSS BARMA PAPRI,Total, ,4,1717927,402000,115056,1200871
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,400000,0,0,400000
3, , ,"[TRVch# 13 Dt:01/07/2017] , Billno-SMR002232017100022",1,400000,0,0,400000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,539013,74000,40572,424441
5, , ,"[TRVch# 32 Dt:01/07/2017] , Billno-SMR00223062017-001",1,539013,74000,40572,424441
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,2,778914,328000,74484,376430
7, , ,"[TRVch# 33 Dt:01/07/2017] , Billno-SMR00223062017-002",1,69350,45000,4617,19733
8, , ,"[TRVch# 34 Dt:01/07/2017] , Billno-SMR00223062017-003",1,709564,283000,69867,356697
0,Grand Total, , ,4,1306519,377000,103571,825948
1,SMR00-223-GSSS BARMA PAPRI,Total, ,4,1306519,377000,103571,825948
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,545727,74000,40951,430776
3, , ,"[TRVch# 8 Dt:01/08/2017] , Billno-SMR00223072017-001",1,545727,74000,40951,430776
4, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,760792,303000,62620,395172
5, , ,"[TRVch# 10 Dt:01/08/2017] , Billno-SMR00223072017-003",1,627779,233000,52652,342127
6, , ,"[TRVch# 9 Dt:01/08/2017] , Billno-SMR00223072017-002",1,69350,45000,4617,19733
7, , ,"[TRVch# 918 Dt:09/08/2017] , Billno-SMR002232017100023",1,63663,25000,5351,33312
0,Grand Total, , ,8,2228461,476224,111190,1641047
1,SMR00-223-GSSS BARMA PAPRI,Total, ,8,2228461,476224,111190,1641047
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,750000,0,0,750000
3, , ,"[TRVch# 167 Dt:22/09/2017] , Billno-SMR002232017100029",1,750000,0,0,750000
4, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,604119,96961,47199,459959
5, , ,"[TRVch# 1224 Dt:25/09/2017] , Billno-SMR002232017100026",1,50437,22961,2490,24986
6, , ,"[TRVch# 46 Dt:01/09/2017] , Billno-SMR00223082017-001",1,553682,74000,44709,434973
7, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,5,874342,379263,63991,431088
8, , ,"[TRVch# 1225 Dt:25/09/2017] , Billno-SMR002232017100027",1,90890,76263,1366,13261
9, , ,"[TRVch# 47 Dt:01/09/2017] , Billno-SMR00223082017-002",1,70516,45000,4617,20899
10, , ,"[TRVch# 49 Dt:01/09/2017] , Billno-SMR00223082017-003",1,647172,233000,52657,361515
11, , ,"[TRVch# 50 Dt:01/09/2017] , Billno-SMR00223082017-004",1,64733,25000,5351,34382
