DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,31,462564,0,0,462564
"SMR00-660-E.E. PWD MECH.DIVISION,SHIMLA",Total, ,31,462564,0,0,462564
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,31,462564,0,0,462564
 , ,"[TRVch# 113 Dt:28/03/2018] , Billno-SMR006600400120661",1,3800,0,0,3800
 , ,"[TRVch# 121 Dt:29/03/2018] , Billno-SMR006600417120105",1,50414,0,0,50414
 , ,"[TRVch# 3 Dt:01/03/2018] , Billno-SMR006600417120104",1,61189,0,0,61189
 , ,"[TRVch# 36 Dt:21/09/2017] , Billno-SMR006600400120649",1,9000,0,0,9000
 , ,"[TRVch# 37 Dt:20/12/2017] , Billno-SMR006600400120654",1,2500,0,0,2500
 , ,"[TRVch# 39 Dt:21/03/2018] , Billno-SMR006600400120660",1,8237,0,0,8237
 , ,"[TRVch# 4 Dt:04/10/2017] , Billno-SMR006600417120102",1,45503,0,0,45503
 , ,"[TRVch# 40 Dt:21/12/2017] , Billno-SMR006600417120103",1,90006,0,0,90006
 , ,"[TRVch# 41 Dt:19/01/2018] , Billno-SMR006600400120655",1,4400,0,0,4400
 , ,"[TRVch# 44 Dt:21/06/2018] , Billno-SMR006600400120663",1,10000,0,0,10000
 , ,"[TRVch# 5 Dt:05/03/2018] , Billno-SMR006600400120658",1,9815,0,0,9815
 , ,"[TRVch# 58 Dt:23/11/2017] , Billno-SMR006600400120651",1,6700,0,0,6700
 , ,"[TRVch# 59 Dt:23/08/2018] , Billno-SMR006600400120668",1,4500,0,0,4500
 , ,"[TRVch# 61 Dt:23/08/2017] , Billno-SMR006600400120647",1,5500,0,0,5500
 , ,"[TRVch# 63 Dt:23/02/2018] , Billno-SMR006600400120657",1,7788,0,0,7788
 , ,"[TRVch# 65 Dt:24/08/2017] , Billno-SMR006600417120101",1,25962,0,0,25962
 , ,"[TRVch# 68 Dt:26/12/2017] , Billno-SMR006600400120653",1,7250,0,0,7250
 , ,"[TRVch# 69 Dt:25/08/2017] , Billno-SMR006600400120646",1,6081,0,0,6081
 , ,"[TRVch# 69 Dt:26/09/2017] , Billno-SMR006600400120648",1,7103,0,0,7103
 , ,"[TRVch# 69 Dt:27/02/2018] , Billno-SMR006600400120659",1,4000,0,0,4000
 , ,"[TRVch# 69 Dt:27/11/2017] , Billno-SMR006600400120652",1,5479,0,0,5479
 , ,"[TRVch# 71 Dt:27/08/2018] , Billno-SMR006600400120667",1,7983,0,0,7983
 , ,"[TRVch# 74 Dt:21/07/2017] , Billno-SMR006600400120645",1,8800,0,0,8800
 , ,"[TRVch# 74 Dt:23/07/2018] , Billno-SMR006600400120665",1,3700,0,0,3700
 , ,"[TRVch# 78 Dt:24/07/2018] , Billno-SMR006600418117201",1,4400,0,0,4400
 , ,"[TRVch# 80 Dt:25/07/2017] , Billno-SMR006600400120644",1,15049,0,0,15049
 , ,"[TRVch# 82 Dt:25/07/2018] , Billno-SMR006600400120664",1,5897,0,0,5897
 , ,"[TRVch# 83 Dt:25/06/2018] , Billno-SMR006600400120662",1,21247,0,0,21247
 , ,"[TRVch# 85 Dt:28/08/2018] , Billno-SMR006600400120666",1,5018,0,0,5018
 , ,"[TRVch# 95 Dt:30/01/2018] , Billno-SMR006600400120656",1,8660,0,0,8660
 , ,"[TRVch# 99 Dt:25/10/2017] , Billno-SMR006600400120650",1,6583,0,0,6583
