,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,6,303796,75000,13201,215595
1,"SMR01-013-MANAGER CUM CHEMIST (FCU), RAJGARH",Total, ,6,303796,75000,13201,215595
2, ,12-2401-00-119-26-S00N-V-N-01-SALARIES,Total,4,268276,75000,13201,180075
3, , ,"[TRVch# 44 Dt:07/04/2017] , Billno-SMR01013032017-001",1,41080,0,5983,35097
4, , ,"[TRVch# 45 Dt:07/04/2017] , Billno-SMR01013032017-002",1,62531,27500,1386,33645
5, , ,"[TRVch# 46 Dt:07/04/2017] , Billno-SMR01013032017-003",1,129737,47500,3244,78993
6, , ,"[TRVch# 47 Dt:07/04/2017] , Billno-SMR01013032017-004",1,34928,0,2588,32340
7, ,32-2401-00-789-19-S00N-V-P-31-MACHINERY AND EQUIPMENT,Total,1,1713,0,0,1713
8, , ,"[TRVch# 62 Dt:29/04/2017] , Billno-SMR010132017100002",1,1713,0,0,1713
9, ,32-2401-00-789-19-S00N-V-P-33-MATERIAL AND SUPPLY,Total,1,33807,0,0,33807
10, , ,"[TRVch# 61 Dt:29/04/2017] , Billno-SMR010132017100001",1,33807,0,0,33807
0,Grand Total, , ,16,481432,101293,13842,366297
1,"SMR01-013-MANAGER CUM CHEMIST (FCU), RAJGARH",Total, ,16,481432,101293,13842,366297
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 480 Dt:31/05/2017] , Billno-SMR010132017100011",1,100000,0,0,100000
4, ,12-2401-00-119-26-S00N-V-N-01-SALARIES,Total,10,303942,101293,13842,188807
5, , ,"[TRVch# 106 Dt:09/05/2017] , Billno-SMR01013042017-001",1,42085,0,6023,36062
6, , ,"[TRVch# 107 Dt:09/05/2017] , Billno-SMR01013042017-002",1,63324,27500,1386,34438
7, , ,"[TRVch# 108 Dt:09/05/2017] , Billno-SMR01013042017-003",1,131361,52500,3244,75617
8, , ,"[TRVch# 109 Dt:09/05/2017] , Billno-SMR01013042017-004",1,35362,0,2612,32750
9, , ,"[TRVch# 110 Dt:09/05/2017] , Billno-SMR010132017100004",1,1451,0,0,1451
10, , ,"[TRVch# 113 Dt:09/05/2017] , Billno-SMR010132017100005",1,3565,0,361,3204
11, , ,"[TRVch# 114 Dt:09/05/2017] , Billno-SMR010132017100008",1,3860,0,216,3644
12, , ,"[TRVch# 117 Dt:09/05/2017] , Billno-SMR010132017100009",1,1641,0,0,1641
13, , ,"[TRVch# 155 Dt:31/05/2017] , Billno-SMR010132017100006",1,6933,6933,0,0
14, , ,"[TRVch# 156 Dt:31/05/2017] , Billno-SMR010132017100007",1,14360,14360,0,0
