,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,11,3105889,674282,49658,2381949
1,SMR02-001-S.D.O. (CIVIL) PAONTA,Total, ,11,3105889,674282,49658,2381949
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,650000,0,0,650000
3, , ,"[TRVch# 526 Dt:29/04/2017] , Billno-SMR020012017100003",1,50000,0,0,50000
4, , ,"[TRVch# 527 Dt:29/04/2017] , Billno-SMR020012017100004",1,250000,0,0,250000
5, , ,"[TRVch# 528 Dt:29/04/2017] , Billno-SMR020012017100005",1,350000,0,0,350000
6, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,3,1370755,381500,26027,963228
7, , ,"[TRVch# 10 Dt:07/04/2017] , Billno-SMR02001032017-003",1,110490,13000,6796,90694
8, , ,"[TRVch# 8 Dt:07/04/2017] , Billno-SMR02001032017-001",1,66901,25000,1009,40892
9, , ,"[TRVch# 9 Dt:07/04/2017] , Billno-SMR02001032017-002",1,1193364,343500,18222,831642
10, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,1,37870,11000,30,26840
11, , ,"[TRVch# 11 Dt:07/04/2017] , Billno-SMR02001032017-004",1,37870,11000,30,26840
12, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,3,936507,261782,22920,651805
13, , ,"[TRVch# 12 Dt:07/04/2017] , Billno-SMR02001032017-005",1,81267,30000,1318,49949
14, , ,"[TRVch# 13 Dt:07/04/2017] , Billno-SMR02001032017-006",1,781876,231782,13976,536118
15, , ,"[TRVch# 14 Dt:07/04/2017] , Billno-SMR02001032017-007",1,73364,0,7626,65738
16, ,05-2053-00-094-01-S00N-V-N-01-SALARIES,Total,1,110757,20000,681,90076
17, , ,"[TRVch# 15 Dt:07/04/2017] , Billno-SMR02001032017-008",1,110757,20000,681,90076
0,Grand Total, , ,52,3769170,908443,71629,2789098
1,SMR02-001-S.D.O. (CIVIL) PAONTA,Total, ,52,3769170,908443,71629,2789098
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,2,480000,0,0,480000
3, , ,"[TRVch# 119 Dt:09/05/2017] , Billno-SMR020012017100019",1,180000,0,0,180000
4, , ,"[TRVch# 586 Dt:31/05/2017] , Billno-SMR020012017100060",1,300000,0,0,300000
5, ,05-2029-00-103-02-S00N-V-N-01-SALARIES,Total,8,1575892,510768,36261,1028863
6, , ,"[TRVch# 16 Dt:09/05/2017] , Billno-SMR02001042017-001",1,67763,25000,3509,39254
7, , ,"[TRVch# 17 Dt:09/05/2017] , Billno-SMR02001042017-002",1,1238511,350500,23703,864308
8, , ,"[TRVch# 18 Dt:09/05/2017] , Billno-SMR02001042017-003",1,111885,13000,8641,90244
9, , ,"[TRVch# 57 Dt:31/05/2017] , Billno-SMR020012017100039",1,6280,0,0,6280
10, , ,"[TRVch# 58 Dt:31/05/2017] , Billno-SMR020012017100040",1,8519,0,0,8519
11, , ,"[TRVch# 59 Dt:31/05/2017] , Billno-SMR020012017100051",1,7583,7583,0,0
12, , ,"[TRVch# 60 Dt:31/05/2017] , Billno-SMR020012017100052",1,125736,110539,0,15197
13, , ,"[TRVch# 61 Dt:31/05/2017] , Billno-SMR020012017100053",1,9615,4146,408,5061
14, ,05-2029-00-103-02-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,9,74419,0,0,74419
15, , ,"[TRVch# 38 Dt:22/05/2017] , Billno-SMR020012017100011",1,7461,0,0,7461
16, , ,"[TRVch# 39 Dt:22/05/2017] , Billno-SMR020012017100012",1,5976,0,0,5976
17, , ,"[TRVch# 40 Dt:22/05/2017] , Billno-SMR020012017100013",1,4933,0,0,4933
18, , ,"[TRVch# 41 Dt:22/05/2017] , Billno-SMR020012017100014",1,6929,0,0,6929
19, , ,"[TRVch# 42 Dt:22/05/2017] , Billno-SMR020012017100015",1,4091,0,0,4091
20, , ,"[TRVch# 43 Dt:22/05/2017] , Billno-SMR020012017100017",1,3768,0,0,3768
21, , ,"[TRVch# 44 Dt:22/05/2017] , Billno-SMR020012017100018",1,8786,0,0,8786
22, , ,"[TRVch# 45 Dt:22/05/2017] , Billno-SMR020012017100020",1,14234,0,0,14234
23, , ,"[TRVch# 46 Dt:22/05/2017] , Billno-SMR020012017100021",1,18241,0,0,18241
24, ,05-2029-00-103-04-S00N-V-N-01-SALARIES,Total,2,42656,15306,30,27320
25, , ,"[TRVch# 19 Dt:09/05/2017] , Billno-SMR02001042017-004",1,38350,11000,30,27320
26, , ,"[TRVch# 62 Dt:31/05/2017] , Billno-SMR020012017100054",1,4306,4306,0,0
27, ,05-2053-00-093-01-S00N-V-N-01-SALARIES,Total,8,1140726,350928,32657,757141
28, , ,"[TRVch# 15 Dt:09/05/2017] , Billno-SMR02001042017-005",1,84777,30000,5318,49459
29, , ,"[TRVch# 16 Dt:09/05/2017] , Billno-SMR02001042017-006",1,865066,237782,18716,608568
30, , ,"[TRVch# 17 Dt:09/05/2017] , Billno-SMR02001042017-007",1,74287,0,7717,66570
31, , ,"[TRVch# 71 Dt:31/05/2017] , Billno-SMR020012017100041",1,367,0,0,367
32, , ,"[TRVch# 72 Dt:31/05/2017] , Billno-SMR020012017100042",1,17550,0,0,17550
33, , ,"[TRVch# 78 Dt:31/05/2017] , Billno-SMR020012017100055",1,4172,4172,0,0
34, , ,"[TRVch# 79 Dt:31/05/2017] , Billno-SMR020012017100056",1,87794,78974,123,8697
35, , ,"[TRVch# 81 Dt:31/05/2017] , Billno-SMR020012017100057",1,6713,0,783,5930
36, ,05-2053-00-093-01-S00N-V-N-02-WAGES,Total,1,56400,0,0,56400
37, , ,"[TRVch# 61 Dt:22/05/2017] , Billno-SMR020012017100029",1,56400,0,0,56400
38, ,05-2053-00-093-01-S00N-V-N-05-OFFICE EXPENSES,Total,4,23270,0,0,23270
39, , ,"[TRVch# 73 Dt:31/05/2017] , Billno-SMR020012017100048",1,3190,0,0,3190
40, , ,"[TRVch# 75 Dt:31/05/2017] , Billno-SMR020012017100036",1,6848,0,0,6848
41, , ,"[TRVch# 76 Dt:31/05/2017] , Billno-SMR020012017100037",1,4150,0,0,4150
