,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,47,99510,0,99510,0
1,SMR02-500-DISTRICT  TREASURY  OFFICER  NAHAN,Total, ,47,99510,0,99510,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,5,1450,0,1450,0
3, , ,"[TRVch# 10 Dt:07/04/2017] , Billno-SMR025001742030001",1,400,0,400,0
4, , ,"[TRVch# 101 Dt:29/04/2017] , Billno-SMR025001742030041",1,40,0,40,0
5, , ,"[TRVch# 40 Dt:20/04/2017] , Billno-SMR025001742030012",1,500,0,500,0
6, , ,"[TRVch# 41 Dt:20/04/2017] , Billno-SMR025001742030013",1,470,0,470,0
7, , ,"[TRVch# 42 Dt:20/04/2017] , Billno-SMR025001742030014",1,40,0,40,0
8, ,05-2030-01-800-06-S00N-V-N-20-OTHER CHARGES,Total,1,1600,0,1600,0
9, , ,"[TRVch# 43 Dt:20/04/2017] , Billno-SMR025001742030015",1,1600,0,1600,0
10, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,41,96460,0,96460,0
11, , ,"[TRVch# 100 Dt:29/04/2017] , Billno-SMR025001742030040",1,2000,0,2000,0
12, , ,"[TRVch# 102 Dt:29/04/2017] , Billno-SMR025001742030042",1,2200,0,2200,0
13, , ,"[TRVch# 103 Dt:29/04/2017] , Billno-SMR025001742030043",1,1200,0,1200,0
14, , ,"[TRVch# 104 Dt:29/04/2017] , Billno-SMR025001742030044",1,3000,0,3000,0
15, , ,"[TRVch# 105 Dt:29/04/2017] , Billno-SMR025001742030045",1,3000,0,3000,0
16, , ,"[TRVch# 106 Dt:29/04/2017] , Billno-SMR025001742030046",1,2800,0,2800,0
17, , ,"[TRVch# 107 Dt:29/04/2017] , Billno-SMR025001742030047",1,4000,0,4000,0
18, , ,"[TRVch# 11 Dt:07/04/2017] , Billno-SMR025001742030002",1,3000,0,3000,0
19, , ,"[TRVch# 12 Dt:07/04/2017] , Billno-SMR025001742030003",1,2400,0,2400,0
20, , ,"[TRVch# 13 Dt:07/04/2017] , Billno-SMR025001742030004",1,1000,0,1000,0
21, , ,"[TRVch# 14 Dt:07/04/2017] , Billno-SMR025001742030005",1,1000,0,1000,0
22, , ,"[TRVch# 15 Dt:07/04/2017] , Billno-SMR025001742030006",1,8000,0,8000,0
23, , ,"[TRVch# 35 Dt:20/04/2017] , Billno-SMR025001742030007",1,3400,0,3400,0
24, , ,"[TRVch# 36 Dt:20/04/2017] , Billno-SMR025001742030008",1,3000,0,3000,0
25, , ,"[TRVch# 37 Dt:20/04/2017] , Billno-SMR025001742030009",1,160,0,160,0
26, , ,"[TRVch# 38 Dt:20/04/2017] , Billno-SMR025001742030010",1,1800,0,1800,0
27, , ,"[TRVch# 39 Dt:20/04/2017] , Billno-SMR025001742030011",1,4000,0,4000,0
28, , ,"[TRVch# 44 Dt:20/04/2017] , Billno-SMR025001742030016",1,2400,0,2400,0
29, , ,"[TRVch# 45 Dt:20/04/2017] , Billno-SMR025001742030017",1,4200,0,4200,0
30, , ,"[TRVch# 46 Dt:20/04/2017] , Billno-SMR025001742030018",1,4000,0,4000,0
31, , ,"[TRVch# 47 Dt:20/04/2017] , Billno-SMR025001742030019",1,5000,0,5000,0
32, , ,"[TRVch# 48 Dt:20/04/2017] , Billno-SMR025001742030020",1,1600,0,1600,0
33, , ,"[TRVch# 49 Dt:20/04/2017] , Billno-SMR025001742030021",1,1700,0,1700,0
34, , ,"[TRVch# 50 Dt:20/04/2017] , Billno-SMR025001742030022",1,1000,0,1000,0
35, , ,"[TRVch# 51 Dt:20/04/2017] , Billno-SMR025001742030023",1,2000,0,2000,0
36, , ,"[TRVch# 52 Dt:20/04/2017] , Billno-SMR025001742030024",1,2000,0,2000,0
37, , ,"[TRVch# 53 Dt:20/04/2017] , Billno-SMR025001742030025",1,2600,0,2600,0
38, , ,"[TRVch# 54 Dt:20/04/2017] , Billno-SMR025001742030026",1,3600,0,3600,0
39, , ,"[TRVch# 55 Dt:20/04/2017] , Billno-SMR025001742030027",1,880,0,880,0
40, , ,"[TRVch# 56 Dt:20/04/2017] , Billno-SMR025001742030028",1,800,0,800,0
41, , ,"[TRVch# 57 Dt:20/04/2017] , Billno-SMR025001742030029",1,2400,0,2400,0
42, , ,"[TRVch# 58 Dt:20/04/2017] , Billno-SMR025001742030030",1,1600,0,1600,0
43, , ,"[TRVch# 59 Dt:20/04/2017] , Billno-SMR025001742030031",1,1600,0,1600,0
44, , ,"[TRVch# 60 Dt:20/04/2017] , Billno-SMR025001742030032",1,800,0,800,0
45, , ,"[TRVch# 61 Dt:20/04/2017] , Billno-SMR025001742030033",1,3000,0,3000,0
46, , ,"[TRVch# 62 Dt:20/04/2017] , Billno-SMR025001742030034",1,1600,0,1600,0
47, , ,"[TRVch# 95 Dt:29/04/2017] , Billno-SMR025001742030035",1,2400,0,2400,0
48, , ,"[TRVch# 96 Dt:29/04/2017] , Billno-SMR025001742030036",1,1600,0,1600,0
49, , ,"[TRVch# 97 Dt:29/04/2017] , Billno-SMR025001742030037",1,1320,0,1320,0
50, , ,"[TRVch# 98 Dt:29/04/2017] , Billno-SMR025001742030038",1,1200,0,1200,0
51, , ,"[TRVch# 99 Dt:29/04/2017] , Billno-SMR025001742030039",1,1200,0,1200,0
0,Grand Total, , ,93,171986,0,171986,0
1,SMR02-500-DISTRICT  TREASURY  OFFICER  NAHAN,Total, ,93,171986,0,171986,0
2, ,05-2030-01-101-01-S00N-V-N-20-OTHER CHARGES,Total,18,1826,0,1826,0
3, , ,"[TRVch# 105 Dt:22/05/2017] , Billno-SMR025001752030022",1,40,0,40,0
4, , ,"[TRVch# 111 Dt:22/05/2017] , Billno-SMR025001752030028",1,20,0,20,0
5, , ,"[TRVch# 112 Dt:22/05/2017] , Billno-SMR025001752030029",1,40,0,40,0
6, , ,"[TRVch# 121 Dt:22/05/2017] , Billno-SMR025001752030038",1,136,0,136,0
7, , ,"[TRVch# 129 Dt:22/05/2017] , Billno-SMR025001752030046",1,20,0,20,0
8, , ,"[TRVch# 130 Dt:22/05/2017] , Billno-SMR025001752030047",1,50,0,50,0
9, , ,"[TRVch# 139 Dt:22/05/2017] , Billno-SMR025001752030056",1,40,0,40,0
10, , ,"[TRVch# 140 Dt:22/05/2017] , Billno-SMR025001752030057",1,50,0,50,0
11, , ,"[TRVch# 198 Dt:31/05/2017] , Billno-SMR025001752030067",1,20,0,20,0
12, , ,"[TRVch# 199 Dt:31/05/2017] , Billno-SMR025001752030068",1,20,0,20,0
13, , ,"[TRVch# 204 Dt:31/05/2017] , Billno-SMR025001752030073",1,400,0,400,0
14, , ,"[TRVch# 205 Dt:31/05/2017] , Billno-SMR025001752030074",1,40,0,40,0
15, , ,"[TRVch# 217 Dt:31/05/2017] , Billno-SMR025001752030086",1,40,0,40,0
16, , ,"[TRVch# 22 Dt:09/05/2017] , Billno-SMR025001752030001",1,10,0,10,0
17, , ,"[TRVch# 23 Dt:09/05/2017] , Billno-SMR025001752030002",1,20,0,20,0
18, , ,"[TRVch# 24 Dt:09/05/2017] , Billno-SMR025001752030003",1,40,0,40,0
19, , ,"[TRVch# 36 Dt:09/05/2017] , Billno-SMR025001752030015",1,500,0,500,0
20, , ,"[TRVch# 37 Dt:09/05/2017] , Billno-SMR025001752030016",1,340,0,340,0
21, ,05-2030-02-102-01-S00N-V-N-20-OTHER CHARGES,Total,75,170160,0,170160,0
22, , ,"[TRVch# 106 Dt:22/05/2017] , Billno-SMR025001752030023",1,2400,0,2400,0
23, , ,"[TRVch# 107 Dt:22/05/2017] , Billno-SMR025001752030024",1,2000,0,2000,0
24, , ,"[TRVch# 108 Dt:22/05/2017] , Billno-SMR025001752030025",1,2000,0,2000,0
25, , ,"[TRVch# 109 Dt:22/05/2017] , Billno-SMR025001752030026",1,2800,0,2800,0
26, , ,"[TRVch# 110 Dt:22/05/2017] , Billno-SMR025001752030027",1,2000,0,2000,0
