DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,90,233846596,0,15476893,218369703
SMR02-659-E.E.P.W.D.SHILLAI,Total, ,90,233846596,0,15476893,218369703
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,90,233846596,0,15476893,218369703
 , ,"[TRVch# 101 Dt:31/08/2017] , Billno-SMR026590016123561",1,3013080,0,0,3013080
 , ,"[TRVch# 102 Dt:28/02/2018] , Billno-SMR026590000122152",1,50000,0,0,50000
 , ,"[TRVch# 102 Dt:30/06/2017] , Billno-SMR026590016123555",1,6004807,0,0,6004807
 , ,"[TRVch# 102 Dt:30/11/2017] , Billno-SMR026590016123570",1,694759,0,0,694759
 , ,"[TRVch# 103 Dt:29/09/2017] , Billno-SMR026590016123565",1,246041,0,0,246041
 , ,"[TRVch# 103 Dt:30/06/2017] , Billno-SMR026590000122138",1,480000,0,0,480000
 , ,"[TRVch# 103 Dt:31/07/2017] , Billno-SMR026590000122141",1,30000,0,0,30000
 , ,"[TRVch# 103 Dt:31/08/2018] , Billno-SMR026590000122164",1,100000,0,0,100000
 , ,"[TRVch# 104 Dt:31/07/2017] , Billno-SMR026590016123557",1,15753376,0,0,15753376
 , ,"[TRVch# 104 Dt:31/08/2017] , Billno-SMR026590000122143",1,463414,0,0,463414
 , ,"[TRVch# 105 Dt:28/02/2018] , Billno-SMR026590016123579",1,1870204,0,0,1870204
 , ,"[TRVch# 105 Dt:31/08/2017] , Billno-SMR026590000122144",1,50000,0,0,50000
 , ,"[TRVch# 105 Dt:31/08/2018] , Billno-SMR026590018105702",1,10897239,0,0,10897239
 , ,"[TRVch# 106 Dt:31/05/2017] , Billno-SMR026590016123550",1,2756829,0,0,2756829
 , ,"[TRVch# 110 Dt:30/12/2017] , Billno-SMR026590000122149",1,50000,0,0,50000
 , ,"[TRVch# 110 Dt:31/05/2017] , Billno-SMR026590016123551",1,3883410,0,0,3883410
 , ,"[TRVch# 110 Dt:31/08/2018] , Billno-SMR026590018105703",1,3881940,0,0,3881940
 , ,"[TRVch# 112 Dt:28/02/2018] , Billno-SMR026590016123580",1,672675,0,0,672675
 , ,"[TRVch# 116 Dt:28/02/2018] , Billno-SMR026590016123581",1,1132800,0,0,1132800
 , ,"[TRVch# 116 Dt:30/12/2017] , Billno-SMR026590016123573",1,5930917,0,0,5930917
 , ,"[TRVch# 116 Dt:31/07/2017] , Billno-SMR026590016123558",1,1668948,0,0,1668948
 , ,"[TRVch# 12 Dt:05/06/2018] , Billno-SMR026591868782001",1,577123,0,577123,0
 , ,"[TRVch# 122 Dt:31/08/2017] , Billno-SMR026590016123562",1,2393730,0,0,2393730
 , ,"[TRVch# 123 Dt:31/08/2017] , Billno-SMR026590000122142",1,28745,0,0,28745
 , ,"[TRVch# 125 Dt:29/09/2017] , Billno-SMR026590016123566",1,3543296,0,0,3543296
 , ,"[TRVch# 127 Dt:30/10/2017] , Billno-SMR026590016123569",1,3105182,0,0,3105182
 , ,"[TRVch# 13 Dt:05/01/2018] , Billno-SMR026590016123574",1,700260,0,0,700260
 , ,"[TRVch# 13 Dt:05/06/2018] , Billno-SMR026591868782002",1,8023643,0,8023643,0
 , ,"[TRVch# 14 Dt:05/08/2017] , Billno-SMR026590016123559",1,1500742,0,0,1500742
 , ,"[TRVch# 16 Dt:05/06/2018] , Billno-SMR026590016123595",1,7110226,0,0,7110226
 , ,"[TRVch# 16 Dt:09/02/2018] , Billno-SMR026590016123577",1,4181667,0,0,4181667
 , ,"[TRVch# 17 Dt:07/07/2018] , Billno-SMR026590016123598",1,4787393,0,0,4787393
 , ,"[TRVch# 20 Dt:05/06/2018] , Billno-SMR026590016123596",1,2445410,0,0,2445410
 , ,"[TRVch# 21 Dt:08/12/2017] , Billno-SMR026590016123571",1,5166183,0,0,5166183
 , ,"[TRVch# 227 Dt:31/03/2018] , Billno-SMR026590016123585",1,6949605,0,0,6949605
 , ,"[TRVch# 229 Dt:31/03/2018] , Billno-SMR026590016123584",1,2465428,0,0,2465428
