,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,19,8671625,1490000,327921,6853704
1,SMR04-205-BEEO SATAUN,Total, ,19,8671625,1490000,327921,6853704
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,10,1875000,0,0,1875000
3, , ,"[TRVch# 243 Dt:20/04/2017] , Billno-SMR042052017100001",1,200000,0,0,200000
4, , ,"[TRVch# 244 Dt:20/04/2017] , Billno-SMR042052017100002",1,120000,0,0,120000
5, , ,"[TRVch# 245 Dt:20/04/2017] , Billno-SMR042052017100004",1,180000,0,0,180000
6, , ,"[TRVch# 246 Dt:20/04/2017] , Billno-SMR042052017100005",1,200000,0,0,200000
7, , ,"[TRVch# 247 Dt:20/04/2017] , Billno-SMR042052017100006",1,95000,0,0,95000
8, , ,"[TRVch# 248 Dt:20/04/2017] , Billno-SMR042052017100007",1,330000,0,0,330000
9, , ,"[TRVch# 249 Dt:20/04/2017] , Billno-SMR042052017100008",1,270000,0,0,270000
10, , ,"[TRVch# 253 Dt:20/04/2017] , Billno-SMR042052017100010",1,100000,0,0,100000
11, , ,"[TRVch# 254 Dt:20/04/2017] , Billno-SMR042052017100011",1,300000,0,0,300000
12, , ,"[TRVch# 255 Dt:20/04/2017] , Billno-SMR042052017100012",1,80000,0,0,80000
13, ,08-2202-01-101-01-S00N-V-N-01-SALARIES,Total,7,6555721,1365000,320434,4870287
14, , ,"[TRVch# 459 Dt:07/04/2017] , Billno-SMR04205032017-001",1,4048764,1365000,49629,2634135
15, , ,"[TRVch# 460 Dt:07/04/2017] , Billno-SMR04205032017-002",1,1997779,0,232345,1765434
16, , ,"[TRVch# 714 Dt:20/04/2017] , Billno-SMR042052017100009",1,11211,0,0,11211
17, , ,"[TRVch# 715 Dt:20/04/2017] , Billno-SMR042052017100013",1,64187,0,0,64187
18, , ,"[TRVch# 716 Dt:20/04/2017] , Billno-SMR042052017100014",1,49887,0,0,49887
19, , ,"[TRVch# 717 Dt:20/04/2017] , Billno-SMR042052017100015",1,307873,0,30850,277023
20, , ,"[TRVch# 718 Dt:20/04/2017] , Billno-SMR042052017100016",1,76020,0,7610,68410
21, ,08-2202-01-104-02-S00N-V-N-01-SALARIES,Total,2,240904,125000,7487,108417
22, , ,"[TRVch# 461 Dt:07/04/2017] , Billno-SMR04205032017-003",1,159834,90000,5190,64644
23, , ,"[TRVch# 462 Dt:07/04/2017] , Billno-SMR04205032017-004",1,81070,35000,2297,43773
0,Grand Total, , ,25,10416548,1924872,418725,8072951
1,SMR04-205-BEEO SATAUN,Total, ,25,10416548,1924872,418725,8072951
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,3,630000,0,0,630000
3, , ,"[TRVch# 128 Dt:09/05/2017] , Billno-SMR042052017100020",1,240000,0,0,240000
4, , ,"[TRVch# 129 Dt:09/05/2017] , Billno-SMR042052017100021",1,140000,0,0,140000
5, , ,"[TRVch# 508 Dt:31/05/2017] , Billno-SMR042052017100037",1,250000,0,0,250000
6, ,00-8011-00-107-02-S00N-V-N-00- ,Total,2,7101,0,0,7101
7, , ,"[TRVch# 1 Dt:09/05/2017] , Billno-SMR042052017100019",1,4435,0,0,4435
8, , ,"[TRVch# 6 Dt:22/05/2017] , Billno-SMR042052017100022",1,2666,0,0,2666
9, ,08-2202-01-101-01-S00N-V-N-01-SALARIES,Total,4,6997376,1776046,407115,4814215
10, , ,"[TRVch# 1187 Dt:22/05/2017] , Billno-SMR042052017100027",1,224102,0,22098,202004
11, , ,"[TRVch# 1188 Dt:22/05/2017] , Billno-SMR042052017100026",1,422407,403046,0,19361
12, , ,"[TRVch# 635 Dt:09/05/2017] , Billno-SMR04205042017-001",1,4370956,1373000,126443,2871513
13, , ,"[TRVch# 636 Dt:09/05/2017] , Billno-SMR04205042017-002",1,1979911,0,258574,1721337
14, ,08-2202-01-101-01-S00N-V-N-02-WAGES,Total,2,253017,0,0,253017
15, , ,"[TRVch# 598 Dt:09/05/2017] , Billno-SMR042052017100017",1,33567,0,0,33567
