,DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
0,Grand Total, , ,8,623518,97453,31998,494067
1,SMR07-208-GSSS BAGTHAN,Total, ,8,623518,97453,31998,494067
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,134934,0,9144,125790
3, , ,"[TRVch# 593 Dt:07/04/2017] , Billno-SMR07208032017-001",1,128244,0,8574,119670
4, , ,"[TRVch# 784 Dt:29/04/2017] , Billno-SMR072082017100001",1,6690,0,570,6120
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,488584,97453,22854,368277
6, , ,"[TRVch# 594 Dt:07/04/2017] , Billno-SMR07208032017-002",1,65688,0,6350,59338
7, , ,"[TRVch# 595 Dt:07/04/2017] , Billno-SMR07208032017-003",1,356663,76000,11605,269058
8, , ,"[TRVch# 596 Dt:07/04/2017] , Billno-SMR07208032017-004",1,20987,0,2617,18370
9, , ,"[TRVch# 783 Dt:29/04/2017] , Billno-SMR072082017100004",1,2351,0,234,2117
10, , ,"[TRVch# 785 Dt:29/04/2017] , Billno-SMR072082017100002",1,35416,21453,1301,12662
11, , ,"[TRVch# 786 Dt:29/04/2017] , Billno-SMR072082017100003",1,7479,0,747,6732
0,Grand Total, , ,6,624692,76000,42936,505756
1,SMR07-208-GSSS BAGTHAN,Total, ,6,624692,76000,42936,505756
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,134974,0,8735,126239
3, , ,"[TRVch# 811 Dt:09/05/2017] , Billno-SMR07208042017-001",1,134974,0,8735,126239
4, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,27180,0,0,27180
5, , ,"[TRVch# 1230 Dt:22/05/2017] , Billno-SMR072082017100007",1,27180,0,0,27180
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,4,462538,76000,34201,352337
7, , ,"[TRVch# 1229 Dt:22/05/2017] , Billno-SMR072082017100006",1,13248,0,0,13248
8, , ,"[TRVch# 812 Dt:09/05/2017] , Billno-SMR07208042017-002",1,66519,0,10433,56086
9, , ,"[TRVch# 813 Dt:09/05/2017] , Billno-SMR07208042017-003",1,361521,76000,21125,264396
10, , ,"[TRVch# 814 Dt:09/05/2017] , Billno-SMR07208042017-004",1,21250,0,2643,18607
0,Grand Total, , ,10,774730,108000,49540,617190
1,SMR07-208-GSSS BAGTHAN,Total, ,10,774730,108000,49540,617190
2, ,00-8009-01-101-02-S00N-V-N-47-ADVANCES,Total,1,100000,0,0,100000
3, , ,"[TRVch# 471 Dt:30/06/2017] , Billno-SMR072082017100015",1,100000,0,0,100000
4, ,00-8011-00-107-02-S00N-V-N-00- ,Total,1,4659,0,0,4659
5, , ,"[TRVch# 41 Dt:30/06/2017] , Billno-SMR072082017100011",1,4659,0,0,4659
6, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,134974,0,8735,126239
7, , ,"[TRVch# 975 Dt:08/06/2017] , Billno-SMR07208052017-001",1,134974,0,8735,126239
8, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,13590,0,0,13590
9, , ,"[TRVch# 1069 Dt:08/06/2017] , Billno-SMR072082017100010",1,13590,0,0,13590
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,505180,108000,40805,356375
11, , ,"[TRVch# 976 Dt:08/06/2017] , Billno-SMR07208052017-002",1,66519,0,10433,56086
12, , ,"[TRVch# 977 Dt:08/06/2017] , Billno-SMR07208052017-003",1,417411,108000,27729,281682
13, , ,"[TRVch# 978 Dt:08/06/2017] , Billno-SMR07208052017-004",1,21250,0,2643,18607
14, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,12810,0,0,12810
15, , ,"[TRVch# 1071 Dt:08/06/2017] , Billno-SMR072082017100009",1,12810,0,0,12810
16, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,1,1172,0,0,1172
17, , ,"[TRVch# 1070 Dt:08/06/2017] , Billno-SMR072082017100008",1,1172,0,0,1172
18, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,2345,0,0,2345
19, , ,"[TRVch# 1068 Dt:08/06/2017] , Billno-SMR072082017100005",1,2345,0,0,2345
0,Grand Total, , ,6,664093,108000,48125,507968
1,SMR07-208-GSSS BAGTHAN,Total, ,6,664093,108000,48125,507968
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,134974,0,8735,126239
3, , ,"[TRVch# 816 Dt:10/07/2017] , Billno-SMR07208062017-001",1,134974,0,8735,126239
4, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,15900,0,0,15900
5, , ,"[TRVch# 892 Dt:10/07/2017] , Billno-SMR072082017100013",1,15900,0,0,15900
6, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,506919,108000,39390,359529
7, , ,"[TRVch# 817 Dt:10/07/2017] , Billno-SMR07208062017-002",1,66519,0,8493,58026
8, , ,"[TRVch# 818 Dt:10/07/2017] , Billno-SMR07208062017-003",1,419150,108000,28254,282896
9, , ,"[TRVch# 819 Dt:10/07/2017] , Billno-SMR07208062017-004",1,21250,0,2643,18607
10, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6300,0,0,6300
11, , ,"[TRVch# 891 Dt:10/07/2017] , Billno-SMR072082017100012",1,6300,0,0,6300
0,Grand Total, , ,15,687951,108000,48319,531632
1,SMR07-208-GSSS BAGTHAN,Total, ,15,687951,108000,48319,531632
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,1,134974,0,8735,126239
3, , ,"[TRVch# 722 Dt:05/08/2017] , Billno-SMR07208072017-001",1,134974,0,8735,126239
4, ,08-2202-01-101-03-S00N-V-N-03-TRAVEL EXPENSES,Total,1,232,0,0,232
5, , ,"[TRVch# 1225 Dt:21/08/2017] , Billno-SMR072082017100019",1,232,0,0,232
6, ,08-2202-01-101-03-S00N-V-N-05-OFFICE EXPENSES,Total,1,4799,0,0,4799
7, , ,"[TRVch# 1228 Dt:21/08/2017] , Billno-SMR072082017100023",1,4799,0,0,4799
8, ,08-2202-01-800-05-S00N-V-P-41-GIA GENERAL (Salary),Total,1,15900,0,0,15900
9, , ,"[TRVch# 802 Dt:05/08/2017] , Billno-SMR072082017100017",1,15900,0,0,15900
10, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,3,508893,108000,39584,361309
11, , ,"[TRVch# 723 Dt:05/08/2017] , Billno-SMR07208072017-002",1,68493,0,8687,59806
12, , ,"[TRVch# 724 Dt:05/08/2017] , Billno-SMR07208072017-003",1,419150,108000,28254,282896
13, , ,"[TRVch# 725 Dt:05/08/2017] , Billno-SMR07208072017-004",1,21250,0,2643,18607
14, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
15, , ,"[TRVch# 801 Dt:05/08/2017] , Billno-SMR072082017100016",1,6510,0,0,6510
16, ,08-2202-02-109-01-S00N-V-N-03-TRAVEL EXPENSES,Total,4,8948,0,0,8948
17, , ,"[TRVch# 1226 Dt:21/08/2017] , Billno-SMR072082017100020",1,1176,0,0,1176
18, , ,"[TRVch# 1227 Dt:21/08/2017] , Billno-SMR072082017100021",1,1209,0,0,1209
19, , ,"[TRVch# 1433 Dt:31/08/2017] , Billno-SMR072082017100026",1,1737,0,0,1737
20, , ,"[TRVch# 1435 Dt:31/08/2017] , Billno-SMR072082017100029",1,4826,0,0,4826
21, ,08-2202-02-109-01-S00N-V-N-05-OFFICE EXPENSES,Total,1,4068,0,0,4068
22, , ,"[TRVch# 1229 Dt:21/08/2017] , Billno-SMR072082017100024",1,4068,0,0,4068
23, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,2,3627,0,0,3627
24, , ,"[TRVch# 1224 Dt:21/08/2017] , Billno-SMR072082017100018",1,2271,0,0,2271
25, , ,"[TRVch# 1434 Dt:31/08/2017] , Billno-SMR072082017100028",1,1356,0,0,1356
0,Grand Total, , ,10,738370,140706,51984,545680
1,SMR07-208-GSSS BAGTHAN,Total, ,10,738370,140706,51984,545680
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,144966,0,9428,135538
3, , ,"[TRVch# 1563 Dt:29/09/2017] , Billno-SMR072082017100031",1,8877,0,693,8184
4, , ,"[TRVch# 792 Dt:08/09/2017] , Billno-SMR07208082017-001",1,136089,0,8735,127354
5, ,08-2202-02-109-01-S00N-V-N-01-SALARIES,Total,6,579229,140706,42556,395967
6, , ,"[TRVch# 1564 Dt:29/09/2017] , Billno-SMR072082017100032",1,8932,0,894,8038
7, , ,"[TRVch# 1565 Dt:29/09/2017] , Billno-SMR072082017100033",1,2808,0,280,2528
8, , ,"[TRVch# 1566 Dt:29/09/2017] , Billno-SMR072082017100034",1,50707,32706,1798,16203
9, , ,"[TRVch# 793 Dt:08/09/2017] , Billno-SMR07208082017-002",1,69635,0,8687,60948
10, , ,"[TRVch# 794 Dt:08/09/2017] , Billno-SMR07208082017-003",1,425547,108000,28254,289293
11, , ,"[TRVch# 795 Dt:08/09/2017] , Billno-SMR07208082017-004",1,21600,0,2643,18957
12, ,08-2202-02-109-01-S00N-V-N-02-WAGES,Total,1,6510,0,0,6510
13, , ,"[TRVch# 871 Dt:08/09/2017] , Billno-SMR072082017100030",1,6510,0,0,6510
14, ,08-2202-02-109-01-S00N-V-N-06-MEDICAL REIMBURSEMENT,Total,1,7665,0,0,7665
15, , ,"[TRVch# 1143 Dt:22/09/2017] , Billno-SMR072082017100027",1,7665,0,0,7665
0,Grand Total, , ,16,721296,110000,48962,562334
1,SMR07-208-GSSS BAGTHAN,Total, ,16,721296,110000,48962,562334
2, ,08-2202-01-101-03-S00N-V-N-01-SALARIES,Total,2,140435,0,8822,131613
