DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,28,30659293,0,0,30659293
SMR07-722-E.E.I.P.H.NAHAN,Total, ,28,30659293,0,0,30659293
 ,00-8782-00-102-00-S00N-V-N-00- ,Total,28,30659293,0,0,30659293
 , ,"[TRVch# 100 Dt:23/03/2018] , Billno-SMR077220417119915",1,2862263,0,0,2862263
 , ,"[TRVch# 101 Dt:23/03/2018] , Billno-SMR077220417119916",1,885887,0,0,885887
 , ,"[TRVch# 111 Dt:30/06/2018] , Billno-SMR077220418100804",1,18126,0,0,18126
 , ,"[TRVch# 115 Dt:30/06/2017] , Billno-SMR077220416129812",1,21755,0,0,21755
 , ,"[TRVch# 117 Dt:31/07/2018] , Billno-SMR077220418100805",1,2137806,0,0,2137806
 , ,"[TRVch# 122 Dt:31/07/2017] , Billno-SMR077220417119901",1,4359901,0,0,4359901
 , ,"[TRVch# 125 Dt:31/08/2018] , Billno-SMR077220418100808",1,789272,0,0,789272
 , ,"[TRVch# 130 Dt:29/09/2017] , Billno-SMR077220417119904",1,24734,0,0,24734
 , ,"[TRVch# 131 Dt:31/08/2017] , Billno-SMR077220417119903",1,11253,0,0,11253
 , ,"[TRVch# 134 Dt:30/10/2017] , Billno-SMR077220417119905",1,5094170,0,0,5094170
 , ,"[TRVch# 135 Dt:30/10/2017] , Billno-SMR077220417119906",1,1928,0,0,1928
 , ,"[TRVch# 19 Dt:05/08/2017] , Billno-SMR077220417119902",1,651014,0,0,651014
 , ,"[TRVch# 26 Dt:09/08/2018] , Billno-SMR077220418100806",1,1388,0,0,1388
 , ,"[TRVch# 328 Dt:31/03/2018] , Billno-SMR077220417119917",1,24798,0,0,24798
 , ,"[TRVch# 331 Dt:31/03/2018] , Billno-SMR077220417119918",1,100033,0,0,100033
 , ,"[TRVch# 56 Dt:21/02/2018] , Billno-SMR077220417119914",1,1953065,0,0,1953065
 , ,"[TRVch# 56 Dt:21/11/2017] , Billno-SMR077220417119907",1,627062,0,0,627062
 , ,"[TRVch# 57 Dt:21/11/2017] , Billno-SMR077220417119908",1,1136678,0,0,1136678
 , ,"[TRVch# 58 Dt:20/06/2017] , Billno-SMR077220400105088",1,10000,0,0,10000
 , ,"[TRVch# 58 Dt:21/08/2018] , Billno-SMR077220418100807",1,1184471,0,0,1184471
 , ,"[TRVch# 59 Dt:21/12/2017] , Billno-SMR077220417119909",1,30194,0,0,30194
 , ,"[TRVch# 60 Dt:21/12/2017] , Billno-SMR077220417119910",1,6625,0,0,6625
 , ,"[TRVch# 61 Dt:21/12/2017] , Billno-SMR077220417119911",1,1939328,0,0,1939328
 , ,"[TRVch# 78 Dt:21/06/2018] , Billno-SMR077220418100802",1,1695460,0,0,1695460
 , ,"[TRVch# 79 Dt:21/06/2018] , Billno-SMR077220418100803",1,263670,0,0,263670
 , ,"[TRVch# 79 Dt:29/05/2018] , Billno-SMR077220418100801",1,2309289,0,0,2309289
 , ,"[TRVch# 80 Dt:20/01/2018] , Billno-SMR077220417119912",1,2355342,0,0,2355342
 , ,"[TRVch# 82 Dt:20/01/2018] , Billno-SMR077220417119913",1,163781,0,0,163781
